R rho Te mu radheat radcool PdV advheat advcool
1.00102e+00 2.03240e-14 4.35150e+03 2.57413e+00 4.31270e-07 3.97030e-07 2.61396e-08 0.00000e+00 3.74345e-09
1.00186e+00 2.01939e-14 4.35407e+03 2.57377e+00 4.30893e-07 3.95341e-07 2.62815e-08 0.00000e+00 3.99402e-09
1.00269e+00 2.00636e-14 4.35663e+03 2.57340e+00 4.30516e-07 3.93651e-07 2.64159e-08 0.00000e+00 4.22825e-09
1.00352e+00 1.99333e-14 4.35920e+03 2.57304e+00 4.30139e-07 3.91959e-07 2.65423e-08 0.00000e+00 4.44522e-09
1.00436e+00 1.97759e-14 4.36230e+03 2.57217e+00 4.29436e-07 3.90983e-07 2.66603e-08 0.00000e+00 4.64418e-09
1.00519e+00 1.96161e-14 4.36543e+03 2.57126e+00 4.28705e-07 3.90066e-07 2.67693e-08 0.00000e+00 4.82453e-09
1.00603e+00 1.94563e-14 4.36858e+03 2.57035e+00 4.27974e-07 3.89148e-07 2.68691e-08 0.00000e+00 4.98589e-09
1.00687e+00 1.92983e-14 4.37168e+03 2.56941e+00 4.27253e-07 3.88295e-07 2.69593e-08 0.00000e+00 5.12802e-09
1.00771e+00 1.91470e-14 4.37466e+03 2.56839e+00 4.26568e-07 3.87661e-07 2.70398e-08 0.00000e+00 5.25085e-09
1.00854e+00 1.89956e-14 4.37764e+03 2.56738e+00 4.25882e-07 3.87026e-07 2.71105e-08 0.00000e+00 5.35449e-09
1.00938e+00 1.88440e-14 4.38062e+03 2.56636e+00 4.25196e-07 3.86391e-07 2.71712e-08 0.00000e+00 5.43921e-09
1.01022e+00 1.86889e-14 4.38368e+03 2.56530e+00 4.24389e-07 3.85699e-07 2.72221e-08 0.00000e+00 5.50541e-09
1.01106e+00 1.85269e-14 4.38688e+03 2.56416e+00 4.23348e-07 3.84895e-07 2.72632e-08 0.00000e+00 5.55367e-09
1.01191e+00 1.83648e-14 4.39009e+03 2.56303e+00 4.22306e-07 3.84090e-07 2.73104e-08 0.00000e+00 5.53805e-09
1.01275e+00 1.82025e-14 4.39329e+03 2.56189e+00 4.21263e-07 3.83285e-07 2.73448e-08 0.00000e+00 5.54624e-09
1.01359e+00 1.80349e-14 4.39661e+03 2.56077e+00 4.20058e-07 3.82234e-07 2.73662e-08 0.00000e+00 5.54555e-09
1.01443e+00 1.78517e-14 4.40026e+03 2.55968e+00 4.18369e-07 3.80450e-07 2.73743e-08 0.00000e+00 5.52795e-09
