R rho Te mu radheat radcool PdV advheat advcool
1.00148e+00 1.97591e-14 4.43050e+03 1.27033e+00 2.73350e-07 1.81780e-08 3.05184e-07 4.15539e-08 -0.00000e+00
1.00232e+00 1.96777e-14 4.42793e+03 1.27025e+00 2.74151e-07 1.79862e-08 3.05243e-07 4.14886e-08 -0.00000e+00
1.00315e+00 1.95961e-14 4.42536e+03 1.27017e+00 2.74953e-07 1.77942e-08 3.05301e-07 4.14257e-08 -0.00000e+00
1.00398e+00 1.95145e-14 4.42279e+03 1.27010e+00 2.75755e-07 1.76021e-08 3.05359e-07 4.13628e-08 -0.00000e+00
1.00482e+00 1.94329e-14 4.42022e+03 1.27002e+00 2.76558e-07 1.74097e-08 3.05417e-07 4.23689e-08 -0.00000e+00
1.00566e+00 1.93471e-14 4.41751e+03 1.26994e+00 2.77311e-07 1.72127e-08 3.05467e-07 4.99959e-08 -0.00000e+00
1.00649e+00 1.92358e-14 4.41402e+03 1.26984e+00 2.77754e-07 1.69870e-08 3.05465e-07 5.65381e-08 -0.00000e+00
1.00733e+00 1.91245e-14 4.41051e+03 1.26975e+00 2.78196e-07 1.67611e-08 3.05462e-07 5.64529e-08 -0.00000e+00
1.00817e+00 1.90131e-14 4.40701e+03 1.26965e+00 2.78639e-07 1.65350e-08 3.05460e-07 5.63676e-08 -0.00000e+00
1.00901e+00 1.89016e-14 4.40350e+03 1.26955e+00 2.79082e-07 1.63087e-08 3.05457e-07 5.62822e-08 -0.00000e+00
1.00984e+00 1.87900e-14 4.39999e+03 1.26946e+00 2.79526e-07 1.60823e-08 3.05453e-07 5.61967e-08 -0.00000e+00
1.01068e+00 1.86783e-14 4.39647e+03 1.26936e+00 2.79970e-07 1.58556e-08 3.05450e-07 5.62864e-08 -0.00000e+00
1.01153e+00 1.85649e-14 4.39292e+03 1.26926e+00 2.80276e-07 1.56352e-08 3.05444e-07 5.64031e-08 -0.00000e+00
1.01237e+00 1.84512e-14 4.38936e+03 1.26916e+00 2.80561e-07 1.54156e-08 3.05438e-07 5.63445e-08 -0.00000e+00
1.01321e+00 1.83374e-14 4.38579e+03 1.26906e+00 2.80846e-07 1.51959e-08 3.05432e-07 5.62585e-08 -0.00000e+00
