ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"88.367"	""	"5.49e+09"	"6.43e-03"	C	"0.00000"	"10.3124"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P).5d"	"2P"	"3/2"		"T5741"	""	
"88.425"	"100g"	"5.53e+10"	"9.73e-02"	C+	"0.00000"	"10.3055"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P).5d"	"2D"	"5/2"		"T5741"	"L3463"	
"88.547"	"400g,bl"	"4.05e+10"	"4.76e-02"	C+	"0.00000"	"10.2914"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P).5d"	"2D"	"3/2"		"T5741"	"L3463"	
"88.547"	""	"1.51e+10"	"8.87e-03"	C	"0.00000"	"10.2914"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P).5d"	"2P"	"1/2"		"T5741"	""	
"88.636"	"100g"	"6.12e+10"	"1.44e-01"	C+	"0.03137"	"10.3124"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(3P).5d"	"2P"	"3/2"		"T5741"	"L3463"	
"88.817"	"50g"	"1.06e+10"	"2.51e-02"	C	"0.03137"	"10.2914"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(3P).5d"	"2D"	"3/2"		"T5741"	"L3463"	
"88.817"	""	"2.73e+10"	"3.23e-02"	C	"0.03137"	"10.2914"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(3P).5d"	"2P"	"1/2"		"T5741"	""	
"93.653"	"20g"	"1.04e+10"	"1.37e-02"	C	"0.00000"	"9.7302"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P).4d"	"2P"	"3/2"		"T5741"	"L3463"	
"93.755"	"350g"	"6.95e+10"	"1.37e-01"	C+	"0.00000"	"9.7197"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P).4d"	"2D"	"5/2"		"T5741"	"L3463"	
"93.856"	"200g"	"5.10e+10"	"6.73e-02"	C+	"0.00000"	"9.7092"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P).4d"	"2D"	"3/2"		"T5741"	"L3463"	
"93.882"	"70g"	"1.99e+10"	"1.31e-02"	C	"0.00000"	"9.7065"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P).4d"	"2P"	"1/2"		"T5741"	"L3463"	
