configuration	term	J	energy
2s2.2p4	3P	2	0.0
2s2.2p4	3P	1	0.0249
2s2.2p4	3P	0	0.03489
2s2.2p4	1D	2	0.37514
2s2.2p4	1S	0	0.80386
2s.2p5	3P*	2	2.94341
2s.2p5	3P*	1	2.96589
2s.2p5	3P*	0	2.97816
2s.2p5	1P*	1	4.11342
2p6	1S	0	6.88579
2s2.2p3.(4S*).3s	5S*	2	8.149
2s2.2p3.(4S*).3s	3S*	1	8.32089
2s2.2p3.(2D*).3s	3D*	1	8.758
2s2.2p3.(2D*).3s	3D*	3	8.758
2s2.2p3.(2D*).3s	3D*	2	8.758
2s2.2p3.(4S*).3p	5P	1	8.83401
2s2.2p3.(4S*).3p	5P	2	8.8358
2s2.2p3.(4S*).3p	5P	3	8.83899
2s2.2p3.(2D*).3s	1D*	2	8.8424
2s2.2p3.(4S*).3p	3P	1	8.99095
2s2.2p3.(4S*).3p	3P	2	8.99153
2s2.2p3.(4S*).3p	3P	0	8.99206
2s2.2p3.(2P*).3s	3P*	0	9.0541
2s2.2p3.(2P*).3s	3P*	1	9.05489
2s2.2p3.(2P*).3s	3P*	2	9.05685
2s2.2p3.(2P*).3s	1P*	1	9.14242
2s2.2p3.(2D*).3p	3D	1	9.39432
2s2.2p3.(2D*).3p	3D	2	9.39521
2s2.2p3.(2D*).3p	3D	3	9.39876
2s2.2p3.(2D*).3p	3F	2	9.44379
2s2.2p3.(2D*).3p	3F	3	9.44598
2s2.2p3.(2D*).3p	3F	4	9.44824
2s2.2p3.(2D*).3p	1F	3	9.4743
2s2.2p3.(2P*).3p	3S	1	9.70037
2s2.2p3.(4S*).3d	5D*	4	9.70193
2s2.2p3.(4S*).3d	5D*	3	9.70196
2s2.2p3.(4S*).3d	5D*	2	9.70207
2s2.2p3.(4S*).3d	5D*	0	9.70216
2s2.2p3.(4S*).3d	5D*	1	9.70216
2s2.2p3.(4S*).3d	3D*	1	9.83655
2s2.2p3.(4S*).3d	3D*	2	9.83673
2s2.2p3.(4S*).3d	3D*	3	9.8381
2s2.2p3.(2D*).3d	1G*	4	10.31209
2s2.2p3.(2D*).3d	3D*	1	10.3361
2s2.2p3.(2D*).3d	3D*	3	10.3361
2s2.2p3.(2D*).3d	3D*	2	10.337
2s2.2p3.(2D*).3d	1P*	1	10.3526
2s2.2p3.(2D*).3d	3P*	2	10.3965
2s2.2p3.(2D*).3d	3P*	1	10.4041
2s2.2p3.(2D*).3d	1D*	2	10.4049
2s2.2p3.(2D*).3d	3P*	0	10.4067
2s2.2p3.(2D*).3d	3S*	1	10.4346
2s2.2p3.(2D*).3d	1F*	3	10.4783
2s2.2p3.(2P*).3d	3P*	0	10.6094
2s2.2p3.(2P*).3d	3P*	1	10.6127
2s2.2p3.(2P*).3d	3P*	2	10.6187
2s2.2p3.(2P*).3d	3D*	2	10.6499
2s2.2p3.(2P*).3d	3D*	1	10.655
2s2.2p3.(2P*).3d	3D*	3	10.6559
2s2.2p3.(2P*).3d	1D*	2	10.6677
2s2.2p3.(2P*).3d	1F*	3	10.6989
2s.2p4.(4P).3s	3P	2	10.9764
2s.2p4.(4P).3s	3P	1	10.9979
2s.2p4.(4P).3s	3P	0	11.0076
2s2.2p3.(4S*).4s	3S*	1	11.102
2s2.2p3.(2D*).4s	3D*	1	11.6146
2s2.2p3.(2D*).4s	3D*	2	11.6146
2s2.2p3.(2D*).4s	3D*	3	11.6146
2s2.2p3.(2D*).4s	1D*	2	11.6574
2s2.2p3.(4S*).4d	3D*	2	11.6912
2s2.2p3.(4S*).4d	3D*	3	11.6912
2s2.2p3.(4S*).4d	3D*	1	11.6912
2s.2p4.(2D).3s	3D	3	11.7853
2s2.2p3.(2P*).4s	3P*	2	11.9273
2s2.2p3.(2P*).4s	1P*	1	11.9524
2s2.2p3.(2D*).4d	3D*	2	12.2059
2s2.2p3.(2D*).4d	3D*	3	12.2059
2s2.2p3.(2D*).4d	3D*	1	12.2059
2s2.2p3.(2D*).4d	1P*	1	12.217
2s2.2p3.(2D*).4d	3P*	2	12.2412
