ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"871.1000"	"0.0007"	"500"	"1.59e+08"	"1.09e-02"	C	"0.00000000"	"1.0461107"	"3s2.3p4"	"3P"	"2"	"3s.3p5"	"3P*"	"1"		"T8043"	"L8114"	
"875.5354"	"0.0010"	"450"	"3.74e+08"	"1.43e-02"	C	"0.01013484"	"1.0509461"	"3s2.3p4"	"3P"	"1"	"3s.3p5"	"3P*"	"0"		"T8043"	"L8114"	
"878.7306"	"0.0009"	"600"	"2.79e+08"	"3.23e-02"	C	"0.00000000"	"1.0370266"	"3s2.3p4"	"3P"	"2"	"3s.3p5"	"3P*"	"2"		"T8043"	"L8114"	
"879.6219"	"0.0007"	"400"	"9.2e+07"	"1.1e-02"	C	"0.01013484"	"1.0461107"	"3s2.3p4"	"3P"	"1"	"3s.3p5"	"3P*"	"1"		"T8043"	"L8114"	
"883.1804"	"0.0007"	"450"	"1.22e+08"	"4.28e-02"	C	"0.01430899"	"1.0461107"	"3s2.3p4"	"3P"	"0"	"3s.3p5"	"3P*"	"1"		"T8043"	"L8114"	
"887.4032"	"0.0009"	"500"	"9.0e+07"	"1.8e-02"	C	"0.01013484"	"1.0370266"	"3s2.3p4"	"3P"	"1"	"3s.3p5"	"3P*"	"2"		"T8043"	"L8114"	
"1669.0964"	"0.0006"	""	"6.2e+06"	"3.6e-03"	E	"1.32034103"	"1.866305338"	"3s2.3p3.(4S*).3d"	"5D*"	"2"	"3s2.3p3.(4S*).4p"	"5P"	"3"		"T1619CA,LS"	"L8114"	
"1669.2869"	"0.0020"	""	"4.3e+07"	"1.8e-02"	E	"1.3204034"	"1.866305338"	"3s2.3p3.(4S*).3d"	"5D*"	"3"	"3s2.3p3.(4S*).4p"	"5P"	"3"		"T1619CA,LS"	"L8114"	
"1669.6702"	"0.0011"	""	"1.7e+08"	"5.5e-02"	E	"1.3205287"	"1.866305338"	"3s2.3p3.(4S*).3d"	"5D*"	"4"	"3s2.3p3.(4S*).4p"	"5P"	"3"		"T1619CA,LS"	"L8114"	
"1673.0709"	"0.0008"	""	"2.0e+07"	"1.4e-02"	E	"1.3202935"	"1.864960770"	"3s2.3p3.(4S*).3d"	"5D*"	"1"	"3s2.3p3.(4S*).4p"	"5P"	"2"		"T1619CA,LS"	"L8114"	
