configuration	term	J	energy
2s2.2p5	2P*	3/2	0.0
2s2.2p5	2P*	1/2	0.16464312
2s.2p6	2S	1/2	5.50487
2s2.2p4.(3P).3s	4P	5/2	20.4979
2s2.2p4.(3P).3s	4P	3/2	20.58821
2s2.2p4.(3P).3s	4P	1/2	20.65071
2s2.2p4.(3P).3s	2P	3/2	20.74593
2s2.2p4.(3P).3s	2P	1/2	20.8485
2s2.2p4.(1D).3s	2D	5/2	21.22178
2s2.2p4.(1D).3s	2D	3/2	21.22448
2s2.2p4.(3P).3p	4P*	5/2	21.69078
2s2.2p4.(3P).3p	4P*	3/2	21.7098
2s2.2p4.(3P).3p	4P*	1/2	21.76081
2s2.2p4.(3P).3p	4D*	7/2	21.84244
2s2.2p4.(3P).3p	4D*	5/2	21.87966
2s2.2p4.(1S).3s	2S	1/2	21.92
2s2.2p4.(3P).3p	4D*	3/2	21.9406
2s2.2p4.(3P).3p	4D*	1/2	21.9642
2s2.2p4.(3P).3p	2D*	5/2	22.00516
2s2.2p4.(3P).3p	4S*	3/2	22.11312
2s2.2p4.(1D).3p	2F*	5/2	22.45832
2s2.2p4.(1D).3p	2F*	7/2	22.4865
2s2.2p4.(1D).3p	2D*	3/2	22.62291
2s2.2p4.(1D).3p	2D*	5/2	22.64126
2s2.2p4.(1D).3p	2P*	3/2	22.9065
2s2.2p4.(3P).3d	4D	7/2	23.37383
2s2.2p4.(3P).3d	4D	5/2	23.38344
2s2.2p4.(3P).3d	4D	3/2	23.40286
2s2.2p4.(3P).3d	4D	1/2	23.42465
2s2.2p4.(3P).3d	4F	9/2	23.51821
2s2.2p4.(3P).3d	4F	7/2	23.56438
2s2.2p4.(3P).3d	4F	5/2	23.62258
2s2.2p4.(3P).3d	4F	3/2	23.66027
2s2.2p4.(3P).3d	2F	7/2	23.66427
2s2.2p4.(3P).3d	2D	3/2	23.724
2s2.2p4.(3P).3d	2D	5/2	23.8351
2s2.2p4.(1D).3d	2G	7/2	24.11992
2s2.2p4.(1D).3d	2G	9/2	24.12232
2s2.2p4.(1D).3d	2S	1/2	24.267
2s2.2p4.(1D).3d	2F	5/2	24.2845
2s2.2p4.(1D).3d	2F	7/2	24.30037
2s2.2p4.(1D).3d	2D	5/2	24.3452
2s2.2p4.(1D).3d	2D	3/2	24.4017
2s2.2p4.(1S).3d	2D	5/2	24.93
2s2.2p4.(1S).3d	2D	3/2	24.956
2s.2p5.(3P*).3s	2P*	3/2	25.7436
2s.2p5.(3P*).3s	2P*	1/2	25.827
2s2.2p4.(3P).4s	4P	5/2	27.6246
2s2.2p4.(3P).4s	4P	3/2	27.7761
2s2.2p4.(1D).4s	2D	5/2	28.2865
2s2.2p4.(3P).4d	4D	5/2	28.6814
2s2.2p4.(3P).4d	4F	9/2	28.7278
2s2.2p4.(3P).4d	4F	7/2	28.8701
2s2.2p4.(3P).4d	4F	3/2	28.8977
2s2.2p4.(3P).4f	4F*	9/2	28.9379
2s2.2p4.(3P).4f	4F*	7/2	28.943
2s2.2p4.(3P).4f	4G*	11/2	28.9902
2s2.2p4.(3P).4f	4G*	9/2	28.9942
2s2.2p4.(1D).4d	2G	9/2	29.3718
2s2.2p4.(1D).4d	2G	7/2	29.3739
2s2.2p4.(1D).4d	2F	5/2	29.4662
2s2.2p4.(1D).4d	2F	7/2	29.4762
2s2.2p4.(1D).4f	2H*	11/2	29.6152
2s2.2p4.(1D).4f	2H*	9/2	29.6154
2s2.2p4.(1D).4f	2G*	7/2	29.6454
2s2.2p4.(1D).4f	2G*	9/2	29.6458
2s2.2p4.(1S).4f	2F*	5/2	30.319
2s2.2p4.(3P).5d	2D	5/2	31.304
2s2.2p4.(3P).6d	4F	5/2	32.428
2s2.2p4.(3P).6d	2D	5/2	32.618
