Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Reference
"3s2.3p5"	"2P*"	"3/2"	" 0.000000000"	"0.000000007"	""	"L15349"
"3s2.3p5"	"2P*"	"1/2"	" 0.013045545"	"0.000000007"	""	"L15349"
"3s.3p6"	"2S"	"1/2"	" 0.99074354"	"0.00000011"	""	"L15349"
"3s2.3p4.(3P).3d"	"4D"	"7/2"	" 1.205855645"	"0.000000004"	""	"L15349"
"3s2.3p4.(3P).3d"	"4D"	"5/2"	" 1.207257586"	"0.000000004"	""	"L15349"
"3s2.3p4.(3P).3d"	"4D"	"3/2"	" 1.208620120"	"0.000000004"	""	"L15349"
"3s2.3p4.(3P).3d"	"4D"	"1/2"	" 1.209594959"	"0.000000005"	""	"L15349"
"3s2.3p4.(3P).4s"	"4P"	"5/2"	" 1.223300735"	"0.000000003"	"1.598"	"L15349"
"3s2.3p4.(3P).4s"	"4P"	"3/2"	" 1.230994170"	""	"1.722"	"L15349"
"3s2.3p4.(3P).4s"	"4P"	"1/2"	" 1.235693918"	"0.000000003"	"2.650"	"L15349"
"3s2.3p4.(3P).4s"	"2P"	"3/2"	" 1.2597687809"	"0.0000000018"	"1.334"	"L15349"
"3s2.3p4.(3P).4s"	"2P"	"1/2"	" 1.2690153576"	"0.0000000018"	"0.676"	"L15349"
"3s2.3p4.(3P).3d"	"4F"	"9/2"	" 1.295697042"	"0.000000003"	""	"L15349"
"3s2.3p4.(3P).3d"	"4F"	"7/2"	" 1.300533876"	"0.000000003"	""	"L15349"
"3s2.3p4.(3P).3d"	"4F"	"5/2"	" 1.304093136"	"0.000000003"	""	"L15349"
"3s2.3p4.(3P).3d"	"4F"	"3/2"	" 1.306496660"	"0.000000005"	""	"L15349"
"3s2.3p4.(3P).3d"	"2P"	"1/2"	" 1.318694383"	"0.000000003"	""	"L15349"
"3s2.3p4.(3P).3d"	"2P"	"3/2"	" 1.327432547"	"0.000000003"	""	"L15349"
"3s2.3p4.(3P).3d"	"4P"	"1/2"	" 1.341640728"	"0.000000007"	""	"L15349"
"3s2.3p4.(3P).3d"	"4P"	"3/2"	" 1.344147271"	"0.000000005"	""	"L15349"
"3s2.3p4.(3P).3d"	"4P"	"5/2"	" 1.347544787"	"0.000000004"	""	"L15349"
"3s2.3p4.(1D).4s"	"2D"	"3/2"	" 1.3543263791"	"0.0000000018"	"0.803"	"L15349"
"3s2.3p4.(1D).4s"	"2D"	"5/2"	" 1.3563523627"	"0.0000000018"	"1.202"	"L15349"
"3s2.3p4.(3P).3d"	"2F"	"7/2"	" 1.3594213005"	"0.0000000018"	""	"L15349"
"3s2.3p4.(3P).3d"	"2F"	"5/2"	" 1.3682465364"	"0.0000000018"	""	"L15349"
"3s2.3p4.(3P).3d"	"2D"	"3/2"	" 1.3712290060"	"0.0000000018"	""	"L15349"
"3s2.3p4.(3P).3d"	"2D"	"5/2"	" 1.3768088992"	"0.0000000018"	""	"L15349"
"3s2.3p4.(1D).3d"	"2G"	"9/2"	" 1.405005155"	"0.000000003"	""	"L15349"
"3s2.3p4.(1D).3d"	"2G"	"7/2"	" 1.405210461"	"0.000000003"	""	"L15349"
"3s2.3p4.(3P).4p"	"4P*"	"5/2"	" 1.4128572486"	"0.0000000018"	"1.599"	"L15349"
"3s2.3p4.(3P).4p"	"4P*"	"3/2"	" 1.4156635747"	"0.0000000018"	"1.720"	"L15349"
"3s2.3p4.(3P).4p"	"4P*"	"1/2"	" 1.418916679"	"0.000000003"	"2.638"	"L15349"
"3s2.3p4.(3P).4p"	"4D*"	"7/2"	" 1.432821813"	"0.000000003"	"1.427"	"L15349"
"3s2.3p4.(3P).4p"	"4D*"	"5/2"	" 1.4368258638"	"0.0000000018"	"1.334"	"L15349"
"3s2.3p4.(3P).4p"	"4D*"	"3/2"	" 1.441331045"	"0.000000003"	"1.199"	"L15349"
"3s2.3p4.(3P).4p"	"4D*"	"1/2"	" 1.443703153"	"0.000000004"	"0.000"	"L15349"
"3s2.3p4.(3P).4p"	"2D*"	"5/2"	" 1.4464569186"	"0.0000000018"	"1.241"	"L15349"
"3s2.3p4.(3P).4p"	"2D*"	"3/2"	" 1.4524993983"	"0.0000000018"	"0.918"	"L15349"
"3s2.3p4.(3P).4p"	"2P*"	"1/2"	" 1.4553530192"	"0.0000000018"	"0.983"	"L15349"
"3s2.3p4.(3P).4p"	"2P*"	"3/2"	" 1.4602091094"	"0.0000000018"	"1.244"	"L15349"
"3s2.3p4.(3P).4p"	"4S*"	"3/2"	" 1.467584113"	"0.000000003"	"1.987"	"L15349"
"3s2.3p4.(3P).4p"	"2S*"	"1/2"	" 1.4679544838"	"0.0000000018"	"1.695"	"L15349"
"3s2.3p4.(1D).3d"	"2F"	"5/2"	" 1.488095099"	"0.000000004"	""	"L15349"
"3s2.3p4.(1D).3d"	"2F"	"7/2"	" 1.4899811954"	"0.0000000018"	""	"L15349"
"3s2.3p4.(1S).4s"	"2S"	"1/2"	" 1.524622515"	"0.000000004"	"1.993"	"L15349"
"3s2.3p4.(1D).4p"	"2F*"	"5/2"	" 1.5528083218"	"0.0000000018"	"0.857"	"L15349"
"3s2.3p4.(1D).4p"	"2F*"	"7/2"	" 1.5539873829"	"0.0000000018"	"1.140"	"L15349"
"3s2.3p4.(1D).4p"	"2P*"	"3/2"	" 1.5693283431"	"0.0000000018"	"1.332"	"L15349"
"3s2.3p4.(1D).3d"	"2D"	"5/2"	" 1.570437526"	"0.000000008"	""	"L15349"
"3s2.3p4.(1D).4p"	"2P*"	"1/2"	" 1.574817933"	"0.000000004"	"0.677"	"L15349"
"3s2.3p4.(1D).3d"	"2D"	"3/2"	" 1.574939690"	"0.000000014"	""	"L15349"
"3s2.3p4.(1D).4p"	"2D*"	"3/2"	" 1.5796624396"	"0.0000000018"	"0.804"	"L15349"
"3s2.3p4.(1D).4p"	"2D*"	"5/2"	" 1.5800775217"	"0.0000000018"	"1.202"	"L15349"
