configuration	term	J	energy
1s2.2s	2S	1/2	0.0
1s2.2p	2P*	1/2	0.44067357
1s2.2p	2P*	3/2	0.44098432
1s2.3s	2S	1/2	1.6421207
1s2.3p	2P*	1/2	1.758301
1s2.3p	2P*	3/2	1.7583922
1s2.3d	2D	3/2	1.7867099
1s2.3d	2D	5/2	1.7867365
1s2.4s	2S	1/2	2.166066
1s2.4p	2P*	1/2	2.2128274
1s2.4p	2P*	3/2	2.212863
1s2.4d	2D	3/2	2.2247822
1s2.4d	2D	5/2	2.2247934
1s2.4f	2F*	5/2	2.2253061
1s2.4f	2F*	7/2	2.2253118
1s2.5s	2S	1/2	2.3980884
1s2.5p	2P*	1/2	2.4214336
1s2.5p	2P*	3/2	2.421453
1s2.5d	2D	3/2	2.4275367
1s2.5d	2D	5/2	2.4275424
1s2.5f	2F*	5/2	2.4278194
1s2.5f	2F*	7/2	2.4278223
1s2.5g	2G	7/2,9/2	2.4278609
1s2.6s	2S	1/2	2.520841
1s2.6p	2P*	1/2	2.5341439
1s2.6p	2P*	3/2	2.5341439
1s2.6d	2D	3/2	2.5376643
1s2.6d	2D	5/2	2.5376643
1s2.6f	2F*	5/2	2.5378345
1s2.6f	2F*	7/2	2.5378345
1s2.6g	2G	7/2,9/2	2.5378521
1s2.6h	2H*	9/2,11/2	2.5378565
1s2.7s	2S	1/2	2.5935559
1s2.7p	2P*	1/2	2.6018432
1s2.7p	2P*	3/2	2.6018432
1s2.7d	2D	3/2,5/2	2.6040568
1s2.7f	2F*	5/2	2.6041662
1s2.7f	2F*	7/2	2.6041662
1s2.7g	2G	7/2,9/2	2.6041775
1s2.7h	2H*	9/2,11/2	2.6041803
1s2.8s	2S	1/2	2.6401537
1s2.8p	2P*	1/2	2.6456621
1s2.8p	2P*	3/2	2.6456621
1s2.8d	2D	3/2,5/2	2.6471433
1s2.8f	2F*	5/2	2.6472175
1s2.8f	2F*	7/2	2.6472175
1s2.8g	2G	7/2,9/2	2.6472252
1s2.8h	2H*	9/2,11/2	2.6472271
1s2.9s	2S	1/2	2.6717954
1s2.9p	2P*	1/2	2.6756413
1s2.9p	2P*	3/2	2.6756413
1s2.9d	2D	3/2,5/2	2.6766805
1s2.9f	2F*	5/2	2.6767331
1s2.9f	2F*	7/2	2.6767331
1s2.9g	2G	7/2,9/2	2.6767385
1s2.9h	2H*	9/2,11/2	2.67674
1s2.10d	2D	3/2,5/2	2.6978067
1s2.10f	2F*	5/2,7/2	2.6978452
1s2.10g	2G	7/2,9/2	2.6978492
1s2.10h	2H*	9/2,11/2	2.6978502
1s2.11d	2D	3/2,5/2	2.7134366
1s2.11f	2F*	5/2,7/2	2.7134657
