ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"535.82"	"0.49"	"30a"	"1.58e+07"	"2.04e-03"	B	"0.0000000"	"1.7006970"	"1s2.2s2"	"1S"	"0"	"1s2.2p.3s"	"1P*"	"1"		"u27"	"L12120"	
"550.159"	"0.009"	"1"	"1.77e+08"	"2.41e-02"	B	"0.0000000"	"1.656371"	"1s2.2s2"	"1S"	"0"	"1s2.2s.5p"	"1P*"	"1"		"u27"	"L12120"	
"586.1963"	"0.0003"	"2"	"3.32e+08"	"5.14e-02"	B	"0.0000000"	"1.5545426"	"1s2.2s2"	"1S"	"0"	"1s2.2s.4p"	"1P*"	"1"		"u27"	"L12120"	
"631.8021"	"0.0016"	""	"3.37e+07"	"3.37e-03"	B	"0.3402822"	"1.7826119"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2p.3p"	"3P"	"2"		"u27,LS"	""	
"631.8210"	"0.0016"	""	"4.50e+07"	"8.08e-03"	B	"0.3402265"	"1.7825133"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2p.3p"	"3P"	"1"		"u27,LS"	""	
"631.8714"	"0.0016"	""	"1.35e+08"	"2.69e-03"	C	"0.3402822"	"1.782454"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2p.3p"	"3P"	"0"		"u27,LS"	""	
"631.8454"	"0.0024"	"2*"	"3.37e+07"	"2.02e-03"	B	"0.3402822"	"1.7825133"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2p.3p"	"3P"	"1"		"u27,LS"	"L12120"	
"631.8666"	"0.0024"	"2*"	"1.01e+08"	"6.06e-03"	B	"0.3404293"	"1.7826119"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2p.3p"	"3P"	"2"		"u27,LS"	"L12120"	
"631.9099"	"0.0016"	""	"5.62e+07"	"2.02e-03"	C	"0.3404293"	"1.7825133"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2p.3p"	"3P"	"1"		"u27,LS"	""	
"641.474"	"0.004"	"220*"	"2.16e+07"	"4.00e-03"	B	"0.3402265"	"1.760809"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2p.3p"	"3S"	"1"		"u27,LS"	"L12120"	
"641.499"	"0.004"	"220*"	"6.47e+07"	"3.99e-03"	B	"0.3402822"	"1.760809"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2p.3p"	"3S"	"1"		"u27,LS"	"L12120"	
"641.566"	"0.004"	"220*"	"1.08e+08"	"4.00e-03"	B	"0.3404293"	"1.760809"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2p.3p"	"3S"	"1"		"u27,LS"	"L12120"	
"650.5944"	"0.0508"	"60*"	"5.3e+07"	"4.7e-03"	C	"0.3404293"	"1.741098"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2p.3p"	"3D"	"3"		"u27,LS"	"L12120"	
"650.6056"	"0.0508"	"60*"	"3.96e+07"	"4.19e-03"	C	"0.3402822"	"1.740926"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2p.3p"	"3D"	"2"		"u27,LS"	"L12120"	
"650.6212"	"0.0508"	"60*"	"2.94e+07"	"5.60e-03"	C	"0.3402265"	"1.740837"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2p.3p"	"3D"	"1"		"u27,LS"	"L12120"	
"650.6471"	"0.0021"	""	"2.2e+07"	"1.4e-03"	C	"0.3402822"	"1.740837"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2p.3p"	"3D"	"1"		"u27,LS"	""	
"650.6740"	"0.0021"	""	"1.3e+07"	"8.4e-04"	C	"0.3404293"	"1.740926"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2p.3p"	"3D"	"2"		"u27,LS"	""	
"650.7155"	"0.0021"	""	"1.5e+06"	"5.6e-05"	C	"0.3404293"	"1.740837"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2p.3p"	"3D"	"1"		"u27,LS"	""	
"678.8950"	"0.0023"	"220*"	"2.59e+08"	"5.37e-02"	B	"0.3402265"	"1.6825063"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.5d"	"3D"	"1"		"u27,LS"	"L12120"	
"678.9232"	"0.0023"	"220*"	"3.50e+08"	"4.03e-02"	B	"0.3402822"	"1.6825063"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.5d"	"3D"	"2"		"u27,LS"	"L12120"	
"678.9232"	"0.0023"	"220*"	"1.94e+08"	"1.34e-02"	B	"0.3402822"	"1.6825063"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.5d"	"3D"	"1"		"u27,LS"	"L12120"	
"678.9976"	"0.0023"	"220*"	"1.29e+07"	"5.36e-04"	B	"0.3404293"	"1.6825063"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"1"		"u27,LS"	"L12120"	
"678.9976"	"0.0023"	"220*"	"4.65e+08"	"4.50e-02"	B	"0.3404293"	"1.6825063"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"3"		"u27,LS"	"L12120"	
"678.9976"	"0.0023"	"220*"	"1.16e+08"	"8.03e-03"	B	"0.3404293"	"1.6825063"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"2"		"u27,LS"	"L12120"	
"693.9484"	"0.0007"	"820"	"5.01e+08"	"1.09e-01"	A	"0.0000000"	"1.3131626"	"1s2.2s2"	"1S"	"0"	"1s2.2s.3p"	"1P*"	"1"		"T7096"	"L12120"	
"694.4900"	"0.0024"	""	"2.34e+05"	"5.07e-05"	B	"0.0000000"	"1.3121385"	"1s2.2s2"	"1S"	"0"	"1s2.2s.3p"	"3P*"	"1"		"T7096"	""	
"696.5652"	"0.0024"	"40*"	"2.16e+07"	"4.71e-03"	B	"0.3402265"	"1.6484559"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.5s"	"3S"	"1"		"u27,LS"	"L12120"	
"696.5948"	"0.0024"	"40*"	"6.45e+07"	"4.69e-03"	B	"0.3402822"	"1.6484559"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.5s"	"3S"	"1"		"u27,LS"	"L12120"	
