ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"945.18745"	"0.00004"	"7800"	"3.8e+08"	"1.5e-01"	C+	"0.000000000000"	"0.96411251"	"2s2.2p2"	"3P"	"0"	"2s.2p3"	"3S*"	"1"		"T5520LS"	"L12129"	
"945.33414"	"0.00003"	"17000"	"1.14e+09"	"1.5e-01"	C+	"0.000149600096"	"0.96411251"	"2s2.2p2"	"3P"	"1"	"2s.2p3"	"3S*"	"1"		"T5520LS"	"L12129"	
"945.57546"	"0.00003"	"18000"	"1.9e+09"	"1.5e-01"	C+	"0.000395612526"	"0.96411251"	"2s2.2p2"	"3P"	"2"	"2s.2p3"	"3S*"	"1"		"T5520LS"	"L12129"	
"1103.861"	"0.009"	"190000*"	"2.5e+05"	"6.e-05"	E	"0.000395612526"	"0.825922"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).21d"	"2[7/2]*"	"3"		"T9787"	"L8445"	
"1104.165"	"0.004"	"220000*"	"2.6e+05"	"7.e-05"	E	"0.000395612526"	"0.825695"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).20d"	"2[7/2]*"	"3"		"T9787"	"L8445"	
"1104.22"	"0.03"	"9500bl*"	"1.1e+06"	"2.8e-04"	E	"0.000395612526"	"0.825654"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).20d"	"2[5/2]*"	"3"		"T9787"	"L5455"	
"1104.5421"	"0.0023"	"180000"	"2.3e+05"	"6.e-05"	E	"0.000395612526"	"0.8254136"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).19d"	"2[7/2]*"	"3"		"T9787"	"L8445"	
"1104.59"	"0.03"	"9500bl*"	"1.3e+06"	"3.4e-04"	E	"0.000395612526"	"0.825377"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).19d"	"2[5/2]*"	"3"		"T9787"	"L5455"	
"1104.975"	"0.021"	"38000bl*"	"1.7e+06"	"4.e-04"	E	"0.000395612526"	"0.825090"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).18d"	"2[5/2]*"	"3"		"T9787"	"L5455"	
"1105.466"	"0.021"	"58000bl*"	"1.7e+06"	"4.e-04"	E	"0.000395612526"	"0.824724"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).17d"	"2[5/2]*"	"3"		"T9787"	"L5455"	
"1105.4695"	"0.0023"	"190000*"	"6.e+05"	"1.6e-04"	E	"0.000395612526"	"0.8247215"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).17d"	"2[7/2]*"	"3"		"T9787"	"L8445"	
"1106.077"	"0.021"	"120000bl*"	"2.2e+06"	"6.e-04"	E	"0.000395612526"	"0.824268"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).16d"	"2[5/2]*"	"3"		"T9787"	"L5455"	
"1106.2570"	"0.0023"	"160000*"	"7.e+05"	"1.7e-04"	E	"0.000395612526"	"0.8241346"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<1/2>).17d"	"2[5/2]*"	"3"		"T9787"	"L8445"	
"1106.45"	"0.03"	"49000bl*"	"4.e+06"	"2.6e-04"	E	"0.000149600096"	"0.823748"	"2s2.2p2"	"3P"	"1"	"2s2.2p.(2P*<3/2>).15d"	"2[1/2]*"	"0"		"T9787"	"L5455"	
"1106.45"	"0.03"	"49000bl*"	"5.e+05"	"9.e-05"	E	"0.000149600096"	"0.823748"	"2s2.2p2"	"3P"	"1"	"2s2.2p.(2P*<3/2>).15d"	"2[1/2]*"	"1"		"T9787"	"L5455"	
"1106.503"	"0.005"	"88000bl*"	"2.0e+06"	"6.e-04"	E	"0.000149600096"	"0.823705"	"2s2.2p2"	"3P"	"1"	"2s2.2p.(2P*<1/2>).16d"	"2[3/2]*"	"2"		"T9787"	"L5455"	
