Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Reference
"3s2.3p5"	"2P*"	"3/2"	""	"0.000000"	""	""	"L7185"
"3s2.3p5"	"2P*"	"1/2"	""	"0.028415"	""	""	""
"3s.3p6"	"2S"	"1/2"	""	"1.389132"	""	""	""
"3s2.3p4.(3P).3d"	"4D"	"7/2"	""	"1.83625"	""	""	""
"3s2.3p4.(3P).3d"	"4D"	"5/2"	""	"1.83845"	""	""	""
"3s2.3p4.(3P).3d"	"4D"	"3/2"	""	"1.84104"	""	""	""
"3s2.3p4.(3P).3d"	"4D"	"1/2"	""	"1.84307"	""	""	""
"3s2.3p4.(3P).3d"	"4F"	"9/2"	""	"1.99005"	""	""	""
"3s2.3p4.(3P).3d"	"4F"	"7/2"	""	"1.99993"	""	""	""
"3s2.3p4.(1D).3d"	"2P"	"1/2"	""	"2.00471"	""	""	""
"3s2.3p4.(3P).3d"	"4F"	"5/2"	""	"2.0070"	""	""	""
"3s2.3p4.(3P).3d"	"4F"	"3/2"	""	"2.01154"	""	""	""
"3s2.3p4.(1D).3d"	"2P"	"3/2"	""	"2.02251"	""	""	""
"3s2.3p4.(3P).3d"	"4P"	"1/2"	""	"2.07053"	""	""	""
"3s2.3p4.(3P).3d"	"4P"	"3/2"	""	"2.07609"	""	""	""
"3s2.3p4.(1D).3d"	"2D"	"3/2"	""	"2.08166"	""	""	""
"3s2.3p4.(3P).3d"	"4P"	"5/2"	""	"2.08401"	""	""	""
"3s2.3p4.(1D).3d"	"2D"	"5/2"	""	"2.09700"	""	""	""
"3s2.3p4.(3P).3d"	"2F"	"7/2"	""	"2.10765"	""	""	""
"3s2.3p4.(3P).3d"	"2F"	"5/2"	""	"2.13101"	""	""	""
"3s2.3p4.(1D).3d"	"2G"	"9/2"	""	"2.13690"	""	""	""
"3s2.3p4.(1D).3d"	"2G"	"7/2"	""	"2.13822"	""	""	""
"3s2.3p4.(1D).3d"	"2F"	"5/2"	""	"2.29900"	""	""	""
"3s2.3p4.(1D).3d"	"2F"	"7/2"	""	"2.30462"	""	""	""
"3s2.3p4.(1S).3d"	"2D"	"3/2"	""	"2.46018"	""	""	""
"3s2.3p4.(1S).3d"	"2D"	"5/2"	""	"2.46527"	""	""	""
"3s2.3p4.(3P).4s"	"4P"	"5/2"	""	"2.65594"	""	""	""
"3s2.3p4.(3P).4s"	"4P"	"3/2"	""	"2.66877"	""	""	""
"3s2.3p4.(1D).3d"	"2S"	"1/2"	""	"2.67009"	""	""	""
