ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"1287.203"	""	"2.42e+07"	"9.02e-03"	C	"0.1243897"	"0.832333"	"3p6.3d"	"2D"	"3/2"	"3p6.10f"	"2F*"	"5/2"		"u7,LS"	""	
"1288.210"	""	"1.72e+06"	"4.28e-04"	C	"0.1249427"	"0.832333"	"3p6.3d"	"2D"	"5/2"	"3p6.10f"	"2F*"	"5/2"		"u7,LS"	""	
"1288.210"	""	"2.58e+07"	"8.56e-03"	C	"0.1249427"	"0.832333"	"3p6.3d"	"2D"	"5/2"	"3p6.10f"	"2F*"	"7/2"		"u7,LS"	""	
"1304.635"	""	"3.28e+07"	"1.26e-02"	C	"0.1243897"	"0.822874"	"3p6.3d"	"2D"	"3/2"	"3p6.9f"	"2F*"	"5/2"		"u7,LS"	""	
"1305.668"	""	"2.34e+06"	"5.98e-04"	C	"0.1249427"	"0.822874"	"3p6.3d"	"2D"	"5/2"	"3p6.9f"	"2F*"	"5/2"		"u7,LS"	""	
"1305.668"	""	"3.52e+07"	"1.20e-02"	C	"0.1249427"	"0.822874"	"3p6.3d"	"2D"	"5/2"	"3p6.9f"	"2F*"	"7/2"		"u7,LS"	""	
"1329.838"	""	"4.59e+07"	"1.83e-02"	C	"0.1243897"	"0.8096363"	"3p6.3d"	"2D"	"3/2"	"3p6.8f"	"2F*"	"5/2"		"u7,LS"	""	
"1330.912"	""	"3.28e+06"	"8.71e-04"	C	"0.1249427"	"0.8096363"	"3p6.3d"	"2D"	"5/2"	"3p6.8f"	"2F*"	"5/2"		"u7,LS"	""	
"1330.912"	""	"4.91e+07"	"1.74e-02"	C	"0.1249427"	"0.8096363"	"3p6.3d"	"2D"	"5/2"	"3p6.8f"	"2F*"	"7/2"		"u7,LS"	""	
"1368.422"	""	"6.6e+07"	"2.8e-02"	C	"0.1243897"	"0.7903151"	"3p6.3d"	"2D"	"3/2"	"3p6.7f"	"2F*"	"5/2"		"u7,LS"	""	
"1369.559"	""	"4.73e+06"	"1.33e-03"	C	"0.1249427"	"0.7903151"	"3p6.3d"	"2D"	"5/2"	"3p6.7f"	"2F*"	"5/2"		"u7,LS"	""	
"1369.559"	""	"7.1e+07"	"2.7e-02"	C	"0.1249427"	"0.7903151"	"3p6.3d"	"2D"	"5/2"	"3p6.7f"	"2F*"	"7/2"		"u7,LS"	""	
"1432.503"	"12"	"1.01e+08"	"4.66e-02"	C	"0.1243897"	"0.7605260"	"3p6.3d"	"2D"	"3/2"	"3p6.6f"	"2F*"	"5/2"		"u7,LS"	"L7256"	
"1433.749"	"20*"	"7.2e+06"	"2.2e-03"	C	"0.1249427"	"0.7605260"	"3p6.3d"	"2D"	"5/2"	"3p6.6f"	"2F*"	"5/2"		"u7,LS"	"L7256"	
"1433.749"	"20*"	"1.07e+08"	"4.40e-02"	C	"0.1249427"	"0.7605260"	"3p6.3d"	"2D"	"5/2"	"3p6.6f"	"2F*"	"7/2"		"u7,LS"	"L7256"	
"1455.541"	""	"1.31e+06"	"8.32e-04"	C	"0.2295619"	"0.855630"	"3p6.4p"	"2P*"	"1/2"	"3p6.16d"	"2D"	"3/2"		"u7,LS"	""	
"1460.278"	""	"2.59e+05"	"8.28e-05"	C	"0.2315931"	"0.855630"	"3p6.4p"	"2P*"	"3/2"	"3p6.16d"	"2D"	"3/2"		"u7,LS"	""	
"1460.278"	""	"1.55e+06"	"7.43e-04"	C	"0.2315931"	"0.855630"	"3p6.4p"	"2P*"	"3/2"	"3p6.16d"	"2D"	"5/2"		"u7,LS"	""	
"1461.232"	""	"1.61e+06"	"1.03e-03"	C	"0.2295619"	"0.853191"	"3p6.4p"	"2P*"	"1/2"	"3p6.15d"	"2D"	"3/2"		"u7,LS"	""	
"1466.007"	""	"3.20e+05"	"1.03e-04"	C	"0.2315931"	"0.853191"	"3p6.4p"	"2P*"	"3/2"	"3p6.15d"	"2D"	"3/2"		"u7,LS"	""	
"1466.007"	""	"1.92e+06"	"9.28e-04"	C	"0.2315931"	"0.853191"	"3p6.4p"	"2P*"	"3/2"	"3p6.15d"	"2D"	"5/2"		"u7,LS"	""	
"1468.297"	""	"2.02e+06"	"1.31e-03"	C	"0.2295619"	"0.850190"	"3p6.4p"	"2P*"	"1/2"	"3p6.14d"	"2D"	"3/2"		"u7,LS"	""	
"1473.119"	""	"3.99e+05"	"1.30e-04"	C	"0.2315931"	"0.850190"	"3p6.4p"	"2P*"	"3/2"	"3p6.14d"	"2D"	"3/2"		"u7,LS"	""	
"1473.119"	""	"2.40e+06"	"1.17e-03"	C	"0.2315931"	"0.850190"	"3p6.4p"	"2P*"	"3/2"	"3p6.14d"	"2D"	"5/2"		"u7,LS"	""	
"1477.291"	""	"2.56e+06"	"1.68e-03"	C	"0.2295619"	"0.846412"	"3p6.4p"	"2P*"	"1/2"	"3p6.13d"	"2D"	"3/2"		"u7,LS"	""	
"1482.171"	""	"5.1e+05"	"1.7e-04"	C	"0.2315931"	"0.846412"	"3p6.4p"	"2P*"	"3/2"	"3p6.13d"	"2D"	"3/2"		"u7,LS"	""	
"1482.171"	""	"3.04e+06"	"1.50e-03"	C	"0.2315931"	"0.846412"	"3p6.4p"	"2P*"	"3/2"	"3p6.13d"	"2D"	"5/2"		"u7,LS"	""	
"1488.815"	""	"3.33e+06"	"2.21e-03"	C	"0.2295619"	"0.841637"	"3p6.4p"	"2P*"	"1/2"	"3p6.12d"	"2D"	"3/2"		"u7,LS"	""	
"1493.772"	""	"6.6e+05"	"2.2e-04"	C	"0.2315931"	"0.841637"	"3p6.4p"	"2P*"	"3/2"	"3p6.12d"	"2D"	"3/2"		"u7,LS"	""	
"1493.772"	""	"3.95e+06"	"1.98e-03"	C	"0.2315931"	"0.841637"	"3p6.4p"	"2P*"	"3/2"	"3p6.12d"	"2D"	"5/2"		"u7,LS"	""	
"1504.201"	""	"4.46e+06"	"3.03e-03"	C	"0.2295619"	"0.835377"	"3p6.4p"	"2P*"	"1/2"	"3p6.11d"	"2D"	"3/2"		"u7,LS"	""	
"1509.261"	""	"8.8e+05"	"3.0e-04"	C	"0.2315931"	"0.835377"	"3p6.4p"	"2P*"	"3/2"	"3p6.11d"	"2D"	"3/2"		"u7,LS"	""	
