Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"2p6.3s2"	"1S"	"0"	""	"0.00000"	""	""	"  96         :     4  3p2   1S   "	"L8473"
"3s.3p"	"3P*"	"0"	""	"0.89361"	""	""	"  99                             "	""
"3s.3p"	"3P*"	"1"	""	"0.89870"	""	""	"  99                             "	""
"3s.3p"	"3P*"	"2"	""	"0.90928"	""	""	"  99                             "	""
"3s.3p"	"1P*"	"1"	""	"1.35730"	""	""	"  96         :     4  3p.3d 1P*  "	""
"3p2"	"1D"	"2"	""	"2.08880"	""	""	"  72         :    27  3s.3d 1D   "	""
"3p2"	"3P"	"0"	""	"2.14044"	""	""	"  99                             "	""
"3p2"	"3P"	"1"	""	"2.14620"	""	""	"  99                             "	""
"3p2"	"3P"	"2"	""	"2.15716"	""	""	"  99                             "	""
"3p2"	"1S"	"0"	""	"2.51499"	""	""	"  93         :     4  3d2   1S   "	""
"3s.3d"	"3D"	"1"	""	"2.54934"	""	""	"  99                             "	""
"3s.3d"	"3D"	"2"	""	"2.54948"	""	""	"  99                             "	""
"3s.3d"	"3D"	"3"	""	"2.54976"	""	""	"  99                             "	""
"3s.3d"	"1D"	"2"	""	"2.92448"	""	""	"  70         :    26  3p2   1D   "	""
"3p.3d"	"3F*"	"2"	""	"3.49587"	""	""	"  98                             "	""
"3p.3d"	"3F*"	"3"	""	"3.5018"	""	""	"  99                             "	""
"3p.3d"	"3F*"	"4"	""	"3.50943"	""	""	"  99                             "	""
"3p.3d"	"1D*"	"2"	""	"3.54906"	""	""	"  99                             "	""
"3s.4s"	"3S"	"1"	""	"3.71180"	""	""	"  99                             "	""
"3p.3d"	"3P*"	"2"	""	"3.72712"	""	""	"  95                             "	""
"3p.3d"	"3P*"	"1"	""	"3.73210"	""	""	"  95         :     3  3p.3d 3D*  "	""
"3p.3d"	"3P*"	"0"	""	"3.73573"	""	""	"  98         :     2  3p.3d 3P*  "	""
