configuration	term	J	energy
3s2.3p5	2P*	3/2	0.0
3s2.3p5	2P*	1/2	0.008040578
3s2.3p4.(3P).4s	4P	5/2	0.65573285
3s2.3p4.(3P).4s	4P	3/2	0.66056444
3s2.3p4.(3P).4s	4P	1/2	0.6636488
3s2.3p4.(3P).4s	2P	3/2	0.67639568
3s2.3p4.(3P).4s	2P	1/2	0.68222616
3s2.3p4.(3P).4p	4P*	5/2	0.75561255
3s2.3p4.(3P).4p	4P*	3/2	0.7575445
3s2.3p4.(3P).4p	4P*	1/2	0.75967711
3s2.3p4.(3P).4p	4D*	7/2	0.76449872
3s2.3p4.(1D).4s	2D	5/2	0.76656024
3s2.3p4.(1D).4s	2D	3/2	0.7665749
3s2.3p4.(3P).4p	4D*	5/2	0.76666958
3s2.3p4.(3P).4p	4D*	3/2	0.76988678
3s2.3p4.(3P).4p	2D*	5/2	0.77137024
3s2.3p4.(3P).4p	4D*	1/2	0.77173964
3s2.3p4.(3P).4p	2D*	3/2	0.77447202
3s2.3p4.(3P).4p	2P*	1/2	0.77680349
3s2.3p4.(3P).4p	2P*	3/2	0.77860871
