configuration	term	J	energy
3d7	a 4F	9/2	0.0
3d7	a 4F	7/2	0.007667
3d7	a 4F	5/2	0.0132255
3d7	a 4F	3/2	0.0170179
3d7	a 4P	5/2	0.1385359
3d7	a 4P	3/2	0.14059549999999998
3d7	a 4P	1/2	0.1440929
3d7	a 2G	9/2	0.1547291
3d7	a 2G	7/2	0.1619219
3d7	a 2P	3/2	0.1840518
3d7	a 2P	1/2	0.1906489
3d7	a 2H	11/2	0.20705279999999998
3d7	a 2D2	5/2	0.2101468
3d7	a 2H	9/2	0.2135639
3d7	a 2D2	3/2	0.2208803
3d7	a 2F	5/2	0.3373731
3d7	a 2F	7/2	0.34006529999999996
3d6.(5D).4s	a 6D	9/2	0.42318224
3d6.(5D).4s	a 6D	7/2	0.42832945
3d6.(5D).4s	a 6D	5/2	0.43208653
3d6.(5D).4s	a 6D	3/2	0.43466765
3d6.(5D).4s	a 6D	1/2	0.43618122
3d6.(5D).4s	a 4D	7/2	0.50784423
3d6.(5D).4s	a 4D	5/2	0.51371718
3d6.(5D).4s	a 4D	3/2	0.51755358
3d6.(5D).4s	a 4D	1/2	0.51976024
3d7	b 2D1	3/2	0.521478
3d7	b 2D1	5/2	0.525792
3d6.(3P2).4s	b 4P	5/2	0.6464095
3d6.(3H).4s	a 4H	13/2	0.65268858
3d6.(3H).4s	a 4H	11/2	0.6549740310000001
3d6.(3H).4s	a 4H	9/2	0.65688361
3d6.(3H).4s	a 4H	7/2	0.65858976
3d6.(3P2).4s	b 4P	3/2	0.65923852
3d6.(3P2).4s	b 4P	1/2	0.66719379
3d6.(3F2).4s	b 4F	9/2	0.66784249
3d6.(3F2).4s	b 4F	7/2	0.67016019
3d6.(3F2).4s	b 4F	5/2	0.67185855
3d6.(3F2).4s	b 4F	3/2	0.67308944
3d6.(3G).4s	a 4G	11/2	0.69730527
3d6.(3P2).4s	b 2P	3/2	0.6997857
3d6.(3G).4s	a 4G	9/2	0.70279211
3d6.(3G).4s	a 4G	7/2	0.70517758
3d6.(3H).4s	b 2H	11/2	0.70543874
3d6.(3G).4s	a 4G	5/2	0.7059908
3d6.(3H).4s	b 2H	9/2	0.70736449
3d6.(3P2).4s	b 2P	1/2	0.71475797
3d6.(3F2).4s	b 2F	7/2	0.71925296
3d6.(3F2).4s	b 2F	5/2	0.7237881
3d6.(3G).4s	b 2G	9/2	0.75056147
3d6.(3G).4s	b 2G	7/2	0.75563947
3d6.(3D).4s	b 4D	3/2	0.76341813
3d6.(3D).4s	b 4D	1/2	0.7635629
3d6.(3D).4s	b 4D	5/2	0.76365382
3d6.(3D).4s	b 4D	7/2	0.76492006
3d6.(1I).4s	a 2I	13/2	0.7789109
3d6.(1I).4s	a 2I	11/2	0.7793042
