ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"559.521"	"0.003"	"230"	"1.0e+08"	"4.1e-03"	D+	"0.1547291"	"1.783384"	"3d7"	"a 2G"	"9/2"	"3d6.(1D1).4p"	"r 2F*"	"7/2"		"u37"	"L6156"	
"564.420"	"0.004"	"300p"	"1.0e+08"	"4.3e-03"	D+	"0.1619219"	"1.776441"	"3d7"	"a 2G"	"7/2"	"3d6.(1D1).4p"	"r 2F*"	"5/2"		"u37"	"L6156c153"	
"576.945"	"0.003"	"110p"	"6.e+07"	"2.4e-03"	D	"0.2101468"	"1.789616"	"3d7"	"a 2D2"	"5/2"	"3d6.(1D1).4p"	"u 2P*"	"3/2"		"u37"	"L6156c153"	
"579.230"	"0.003"	"98p"	"1.6e+07"	"1.3e-03"	D	"0.2101468"	"1.783384"	"3d7"	"a 2D2"	"5/2"	"3d6.(1D1).4p"	"r 2F*"	"7/2"		"u37"	"L6156c153"	
"579.798"	"0.004"	"62d"	"6.e+07"	"1.9e-03"	D	"0.2208803"	"1.792577"	"3d7"	"a 2D2"	"3/2"	"3d6.(1D1).4p"	"u 2P*"	"1/2"		"u37"	"L6156c153"	
"584.4141"	"0.0020"	"110d"	"1.2e+07"	"1.2e-03"	D	"0.1840518"	"1.743335"	"3d7"	"a 2P"	"3/2"	"3d6.(1D1).4p"	"s 2D*"	"5/2"		"u37"	"L6156c153"	
"585.380"	"0.003"	"63d"	"1.7e+07"	"1.2e-03"	D	"0.1840518"	"1.740763"	"3d7"	"a 2P"	"3/2"	"3d6.(1D1).4p"	"s 2D*"	"3/2"		"u37"	"L6156c153"	
"585.812"	"0.004"	"62d"	"1.1e+07"	"1.1e-03"	D	"0.2208803"	"1.776441"	"3d7"	"a 2D2"	"3/2"	"3d6.(1D1).4p"	"r 2F*"	"5/2"		"u37"	"L6156c153"	
"587.871"	"0.003"	"86p"	"2.1e+07"	"4.3e-03"	D	"0.1906489"	"1.740763"	"3d7"	"a 2P"	"1/2"	"3d6.(1D1).4p"	"s 2D*"	"3/2"		"u37"	"L6156c153"	
"594.3609"	"0.0021"	"130"	"4.8e+07"	"3.0e-03"	D	"0.2101468"	"1.743335"	"3d7"	"a 2D2"	"5/2"	"3d6.(1D1).4p"	"s 2D*"	"5/2"		"u37"	"L6156"	
"598.5512"	"0.0021"	"69d"	"1.8e+07"	"1.9e-03"	D	"0.2208803"	"1.743335"	"3d7"	"a 2D2"	"3/2"	"3d6.(1D1).4p"	"s 2D*"	"5/2"		"u37"	"L6156c153"	
"602.9270"	"0.0006"	"500"	"1.0e+08"	"4.9e-03"	D+	"0.0000000"	"1.5114053"	"3d7"	"a 4F"	"9/2"	"3d6.(3P1).4p"	"v 4D*"	"7/2"		"u37"	"L6156"	
"603.8427"	"0.0009"	"570w"	"1.6e+08"	"1.0e-02"	D+	"0.0000000"	"1.5091134"	"3d7"	"a 4F"	"9/2"	"3d6.(3F1).4p"	"v 4F*"	"9/2"		"u37"	"L6156c153"	
"605.3281"	"0.0006"	"46"	"4.0e+06"	"2.0e-04"	D	"0.0000000"	"1.5054101"	"3d7"	"a 4F"	"9/2"	"3d6.(3F1).4p"	"v 4F*"	"7/2"		"u37"	"L6156"	
"606.0011"	"0.0006"	"160"	"1.9e+07"	"1.2e-03"	D	"0.0076670"	"1.5114053"	"3d7"	"a 4F"	"7/2"	"3d6.(3P1).4p"	"v 4D*"	"7/2"		"u37"	"L6156"	
"606.6513"	"0.0007"	"46"	"4.1e+06"	"1.8e-04"	D	"0.0132255"	"1.5153522"	"3d7"	"a 4F"	"5/2"	"3d6.(3P1).4p"	"t 2D*"	"3/2"		"u37"	"L6156"	
"606.9262"	"0.0008"	"440"	"1.5e+07"	"1.2e-03"	D	"0.0076670"	"1.5091134"	"3d7"	"a 4F"	"7/2"	"3d6.(3F1).4p"	"v 4F*"	"9/2"		"u37"	"L6156"	
"607.3512"	"0.0006"	"510qs"	"1.1e+08"	"5.4e-03"	D+	"0.0076670"	"1.5080627"	"3d7"	"a 4F"	"7/2"	"3d6.(3F1).4p"	"v 4F*"	"5/2"		"u37"	"L6156c153"	
"608.4268"	"0.0006"	"580w"	"1.3e+08"	"8.e-03"	D+	"0.0076670"	"1.5054101"	"3d7"	"a 4F"	"7/2"	"3d6.(3F1).4p"	"v 4F*"	"7/2"		"u37"	"L6156c153"	
"609.6096"	"0.0006"	"450"	"3.0e+07"	"2.0e-03"	D	"0.0132255"	"1.5080627"	"3d7"	"a 4F"	"5/2"	"3d6.(3F1).4p"	"v 4F*"	"5/2"		"u37"	"L6156"	
"610.4614"	"0.0011"	"480"	"1.2e+07"	"7.e-04"	D	"0.0000000"	"1.4927514"	"3d7"	"a 4F"	"9/2"	"3d6.(3F1).4p"	"u 2G*"	"9/2"		"u37"	"L6156"	
"610.6933"	"0.0006"	"240"	"2.0e+07"	"1.8e-03"	D	"0.0132255"	"1.5054101"	"3d7"	"a 4F"	"5/2"	"3d6.(3F1).4p"	"v 4F*"	"7/2"		"u37"	"L6156"	
"610.8713"	"0.0006"	"310"	"9.e+07"	"4.1e-03"	D	"0.0132255"	"1.5049750"	"3d7"	"a 4F"	"5/2"	"3d6.(3F1).4p"	"v 4F*"	"3/2"		"u37"	"L6156"	
"611.1601"	"0.0008"	"82"	"9.e+06"	"1.0e-03"	D	"0.0170179"	"1.5080627"	"3d7"	"a 4F"	"3/2"	"3d6.(3F1).4p"	"v 4F*"	"5/2"		"u37"	"L6156"	
"611.5769"	"0.0007"	"550"	"1.1e+08"	"7.e-03"	D+	"0.0132255"	"1.5032541"	"3d7"	"a 4F"	"5/2"	"3d6.(3P1).4p"	"v 4D*"	"5/2"		"u37"	"L6156"	
"611.7840"	"0.0006"	"48"	"1.0e+07"	"7.e-04"	D	"0.0076670"	"1.49719111"	"3d7"	"a 4F"	"7/2"	"3d6.(3F1).4p"	"u 2G*"	"7/2"		"u37"	"L6156"	
"612.4283"	"0.0008"	"290"	"9.e+07"	"7.e-03"	D	"0.0170179"	"1.5049750"	"3d7"	"a 4F"	"3/2"	"3d6.(3F1).4p"	"v 4F*"	"3/2"		"u37"	"L6156"	
"612.4899"	"0.0006"	"210"	"4.6e+07"	"2.1e-03"	D	"0.0132255"	"1.5010331"	"3d7"	"a 4F"	"5/2"	"3d6.(3F1).4p"	"u 4D*"	"3/2"		"u37"	"L6156"	
"612.5536"	"0.0009"	"97"	"9.e+06"	"4.4e-04"	D	"0.0076670"	"1.4953198"	"3d7"	"a 4F"	"7/2"	"3d6.(3P1).4p"	"w 4P*"	"5/2"		"u37"	"L6156"	
"613.1374"	"0.0008"	"140"	"1.6e+07"	"1.8e-03"	D	"0.0170179"	"1.5032541"	"3d7"	"a 4F"	"3/2"	"3d6.(3P1).4p"	"v 4D*"	"5/2"		"u37"	"L6156"	
"614.0551"	"0.0008"	"310"	"9.e+07"	"7.e-03"	D	"0.0170179"	"1.5010331"	"3d7"	"a 4F"	"3/2"	"3d6.(3F1).4p"	"u 4D*"	"3/2"		"u37"	"L6156"	
"614.8509"	"0.0008"	"110"	"1.9e+07"	"1.3e-03"	D	"0.0132255"	"1.4953198"	"3d7"	"a 4F"	"5/2"	"3d6.(3P1).4p"	"w 4P*"	"5/2"		"u37"	"L6156"	
"614.9080"	"0.0009"	"230"	"1.4e+08"	"5.e-03"	D	"0.0170179"	"1.4989746"	"3d7"	"a 4F"	"3/2"	"3d6.(3F1).4p"	"u 4D*"	"1/2"		"u37"	"L6156"	
"620.4947"	"0.0006"	"620"	"9.e+06"	"7.e-04"	D	"0.0000000"	"1.46861367"	"3d7"	"a 4F"	"9/2"	"3d6.(3F1).4p"	"w 4G*"	"11/2"		"u37"	"L6156"	
"624.9901"	"0.0006"	"170"	"1.0e+07"	"9.e-04"	D	"0.0076670"	"1.46571739"	"3d7"	"a 4F"	"7/2"	"3d6.(3F1).4p"	"w 4G*"	"9/2"		"u37"	"L6156"	
"628.4648"	"0.0006"	"160"	"1.0e+07"	"1.0e-03"	D	"0.0132255"	"1.46321447"	"3d7"	"a 4F"	"5/2"	"3d6.(3F1).4p"	"w 4G*"	"7/2"		"u37"	"L6156"	
"631.1920"	"0.0008"	"150"	"1.0e+07"	"1.2e-03"	D	"0.0170179"	"1.46074191"	"3d7"	"a 4F"	"3/2"	"3d6.(3F1).4p"	"w 4G*"	"5/2"		"u37"	"L6156"	
"631.369"	"0.004"	"130"	"7.e+07"	"4.8e-03"	D+	"0.3400653"	"1.783384"	"3d7"	"a 2F"	"7/2"	"3d6.(1D1).4p"	"r 2F*"	"7/2"		"u37"	"L6156"	
