configuration	term	J	energy
3s2.3p4	3P	2	0.0
3s2.3p4	3P	1	0.07127
3s2.3p4	3P	0	0.08702
3s2.3p4	1D	2	0.27597
3s2.3p4	1S	0	0.60923
3s.3p5	3P*	2	2.17855
3s.3p5	3P*	1	2.23549
3s.3p5	3P*	0	2.2692
3s.3p5	1P*	1	2.78448
3s2.3p3.(2D*).3d	3P*	2	4.1418
3s2.3p3.(4S*).3d	3D*	3	4.3268
3s2.3p3.(4S*).3d	3D*	2	4.3702
3s2.3p3.(4S*).3d	3D*	1	4.3992
3s2.3p3.(2D*).3d	1D*	2	4.4954
3s2.3p3.(2D*).3d	1F*	3	4.627
3s2.3p3.(2D*).3d	1P*	1	4.8468
3s2.3p3.(4S*).4s	3S*	1	7.482
3s2.3p3.(2D*).4s	3D*	1	7.708
3s2.3p3.(2D*).4s	3D*	2	7.7117
3s2.3p3.(2D*).4s	3D*	3	7.7264
3s2.3p3.(2D*).4s	1D*	2	7.7889
3s2.3p3.(2P*).4s	1P*	1	8.0356
3s2.3p3.(4S*).4d	3D*	2	9.372
3s2.3p3.(4S*).4d	3D*	3	9.376
3s2.3p3.(4S*).4d	3D*	1	9.378
3s2.3p3.(2D*).4d	1D*	2	9.721
3s2.3p3.(2D*).4d	3D*	2	9.731
3s2.3p3.(2D*).4d	1F*	3	9.751
3s2.3p3.4d	1P*	1	10.048
