Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3d5.(6S).4s"	"a 7S"	"3"	" 0.000000000"	"0.000000010"	"2.00183"	" 100                                                 "	"L18327,L7185"
"3d5.(6S).4s"	"a 5S"	"2"	" 0.069193859"	"0.000000013"	"2.006"	" 100                                                 "	"L18327,L7185"
"3d4.4s2"	"a 5D"	"0"	" 0.070629999"	"0.000000012"	""	"                                                     "	"L18327"
"3d4.4s2"	"a 5D"	"1"	" 0.071177060"	"0.000000010"	"1.50060"	"                                                     "	"L18327,L7185"
"3d4.4s2"	"a 5D"	"2"	" 0.072240158"	"0.000000010"	"1.50060"	"                                                     "	"L18327,L7185"
"3d4.4s2"	"a 5D"	"3"	" 0.073768746"	"0.000000010"	"1.50060"	"                                                     "	"L18327,L7185"
"3d4.4s2"	"a 5D"	"4"	" 0.075704196"	"0.000000011"	"1.50060"	"                                                     "	"L18327,L7185"
"3d5.(4G).4s"	"a 5G"	"2"	" 0.186968508"	"0.000000011"	"0.37"	" 100                                                 "	"L18327,L7185"
"3d5.(4G).4s"	"a 5G"	"6"	" 0.186987912"	"0.000000013"	"1.33"	" 100                                                 "	"L18327,L7185"
"3d5.(4G).4s"	"a 5G"	"3"	" 0.187000227"	"0.000000011"	"0.93"	" 100                                                 "	"L18327,L7185"
"3d5.(4G).4s"	"a 5G"	"4"	" 0.187025069"	"0.000000012"	"1.13"	" 100                                                 "	"L18327,L7185"
"3d5.(4G).4s"	"a 5G"	"5"	" 0.187027537"	"0.000000013"	"1.25"	" 100                                                 "	"L18327,L7185"
"3d5.(4P).4s"	"a 5P"	"3"	" 0.199028101"	"0.000000011"	"1.6"	"  98                                                 "	"L18327,L7185"
"3d5.(4P).4s"	"a 5P"	"2"	" 0.199092121"	"0.000000011"	"1.847"	"  98                                                 "	"L18327,L7185"
"3d5.(4P).4s"	"a 5P"	"1"	" 0.199174990"	"0.000000010"	"2.500"	" 100                                                 "	"L18327,L7185"
"3d4.4s2"	"a 3P"	"0"	" 0.211078796"	"0.000000016"	""	"                                                     "	"L18327"
"3d5.(6S).4p"	"z 7P*"	"2"	" 0.212370810"	"0.000000014"	"2.334"	"  67             :    33  3d4.(5D).4s.4p.(3P*)  7P*  "	"L18327,L7185"
"3d5.(6S).4p"	"z 7P*"	"3"	" 0.213112028"	"0.000000013"	"1.9176"	"  67             :    33  3d4.(5D).4s.4p.(3P*)  7P*  "	"L18327,L7185"
"3d5.(6S).4p"	"z 7P*"	"4"	" 0.214136964"	"0.000000013"	"1.7510"	"  67             :    31  3d4.(5D).4s.4p.(3P*)  7P*  "	"L18327,L7185"
"3d4.4s2"	"a 3P"	"1"	" 0.214256871"	"0.000000013"	""	"                                                     "	"L18327"
"3d4.4s2"	"a 3H"	"4"	" 0.218101345"	"0.000000014"	""	"                                                     "	"L18327"
"3d4.4s2"	"a 3H"	"5"	" 0.219214770"	"0.000000013"	""	"                                                     "	"L18327"
"3d4.4s2"	"a 3P"	"2"	" 0.219552648"	"0.000000013"	""	"                                                     "	"L18327"
"3d4.4s2"	"a 3H"	"6"	" 0.220528431"	"0.000000013"	""	"                                                     "	"L18327"
"3d5.(4D).4s"	"b 5D"	"0"	" 0.221228799"	"0.000000014"	""	" 100                                                 "	"L18327,L7185"
"3d5.(4D).4s"	"b 5D"	"4"	" 0.221277042"	"0.000000011"	"1.51"	" 100                                                 "	"L18327,L7185"
"3d5.(4D).4s"	"b 5D"	"1"	" 0.221315253"	"0.000000011"	"1.48"	" 100                                                 "	"L18327,L7185"
"3d5.(4D).4s"	"b 5D"	"2"	" 0.221436453"	"0.000000011"	"1.51"	"  98                                                 "	"L18327,L7185"
"3d5.(4D).4s"	"b 5D"	"3"	" 0.221473455"	"0.000000011"	"1.55"	"  98                                                 "	"L18327,L7185"
"3d5.(4G).4s"	"a 3G"	"3"	" 0.226302198"	"0.000000013"	""	" 100                                                 "	"L18327,L7185"
"3d5.(4G).4s"	"a 3G"	"4"	" 0.226882381"	"0.000000013"	""	" 100                                                 "	"L18327,L7185"
"3d4.4s2"	"a 3F"	"2"	" 0.227275415"	"0.000000020"	""	"                                                     "	"L18327"
"3d4.(5D).4s.4p.(3P*)"	"z 7F*"	"0"	" 0.22755333"	"0.00000003"	""	" 100                                                 "	"L18327,L7185"
"3d4.(5D).4s.4p.(3P*)"	"z 7F*"	"1"	" 0.227913719"	"0.000000018"	"1.52"	" 100                                                 "	"L18327,L7185"
"3d5.(4G).4s"	"a 3G"	"5"	" 0.228167583"	"0.000000013"	""	" 100                                                 "	"L18327,L7185"
"3d4.(5D).4s.4p.(3P*)"	"z 7F*"	"2"	" 0.228630066"	"0.000000018"	"1.50"	" 100                                                 "	"L18327,L7185"
