Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"3p6.3d8"	"3F"	"4"	""	"0.000000"	""	""	" 100                                        "	"L10559"
"3p6.3d8"	"3F"	"3"	""	"0.016962"	""	""	" 100                                        "	""
"3p6.3d8"	"3F"	"2"	""	"0.028045"	""	""	"  99             :     1  3d8          1D   "	""
"3p6.3d8"	"1D"	"2"	""	"0.148063"	""	""	"  84             :    15  3d8          3P   "	""
"3p6.3d8"	"3P"	"2"	""	"0.179489"	""	""	"  85             :    15  3d8          1D   "	""
"3p6.3d8"	"3P"	"1"	""	"0.183134"	""	""	" 100                                        "	""
"3p6.3d8"	"3P"	"0"	""	"0.186104"	""	""	" 100                                        "	""
"3p6.3d8"	"1G"	"4"	""	"0.245249"	""	""	" 100                                        "	""
"3p6.3d8"	"1S"	"0"	""	"0.560032"	""	""	" 100                                        "	""
"3p6.3d7.(4F).4s"	"5F"	"5"	""	"1.090171"	""	""	" 100                                        "	""
"3p6.3d7.(4F).4s"	"5F"	"4"	""	"1.101892"	""	""	"  99             :     1  3d7.(4F).4s  3F   "	""
"3p6.3d7.(4F).4s"	"5F"	"3"	""	"1.111106"	""	""	"  99                                        "	""
"3p6.3d7.(4F).4s"	"5F"	"2"	""	"1.117795"	""	""	" 100                                        "	""
"3p6.3d7.(4F).4s"	"5F"	"1"	""	"1.122132"	""	""	" 100                                        "	""
"3p6.3d7.(4F).4s"	"3F"	"4"	""	"1.169550"	""	""	"  99             :     1  3d7.(4F).4s  5F   "	""
"3p6.3d7.(4F).4s"	"3F"	"3"	""	"1.185197"	""	""	"  99                                        "	""
"3p6.3d7.(4F).4s"	"3F"	"2"	""	"1.195752"	""	""	"  99                                        "	""
"3p6.3d7.(4P).4s"	"5P"	"3"	""	"1.272997"	""	""	" 100                                        "	""
"3p6.3d7.(4P).4s"	"5P"	"2"	""	"1.276373"	""	""	"  95             :     5  3d7.(2P).4s  3P   "	""
"3p6.3d7.(4P).4s"	"5P"	"1"	""	"1.282289"	""	""	"  97             :     3  3d7.(2P).4s  3P   "	""
"3p6.3d7.(2G).4s"	"3G"	"5"	""	"1.312825"	""	""	"  97             :     2  3d7.(2H).4s  3H   "	""
"3p6.3d7.(2G).4s"	"3G"	"4"	""	"1.319050"	""	""	"  94             :     3  3d7.(2G).4s  1G   "	""
"3p6.3d7.(2G).4s"	"3G"	"3"	""	"1.326622"	""	""	" 100                                        "	""
"3p6.3d7.(2P).4s"	"3P"	"2"	""	"1.346275"	""	""	"  47             :    45  3d7.(4P).4s  3P   "	""
"3p6.3d7.(4P).4s"	"3P"	"1"	""	"1.348036"	""	""	"  49             :    32  3d7.(2P).4s  3P   "	""
"3p6.3d7.(2P).4s"	"3P"	"0"	""	"1.350806"	""	""	"  55             :    45  3d7.(4P).4s  3P   "	""
