Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"3d6"	"5D"	"4"	" 0.0000000"	"0"	" 100                                                        "	"L11223"
"3d6"	"5D"	"3"	" 0.0039749"	"0.0000004"	" 100                                                        "	"L11223"
"3d6"	"5D"	"2"	" 0.0067331"	"0.0000013"	" 100                                                        "	"L11223"
"3d6"	"5D"	"1"	" 0.0084977"	"0.0000015"	" 100                                                        "	"L11223"
"3d6"	"5D"	"0"	" 0.0093611"	"0.0000023"	" 100                                                        "	"L11223"
"3d6"	"a 3P"	"2"	" 0.1768261"	"0.0000013"	"  61                           :    39  3d6            b 3P "	"L11223"
"3d6"	"3H"	"6"	" 0.1827214"	"0.0000013"	" 100                                                        "	"L11223"
"3d6"	"3H"	"5"	" 0.1849926"	"0.0000012"	"  99                                                        "	"L11223"
"3d6"	"3H"	"4"	" 0.1866432"	"0.0000012"	"  97                                                        "	"L11223"
"3d6"	"a 3P"	"1"	" 0.1885240"	"0.0000015"	"  62                           :    38  3d6            b 3P "	"L11223"
"3d6"	"a 3P"	"0"	" 0.1932626"	"0.0000021"	"  62                           :    38  3d6            b 3P "	"L11223"
"3d6"	"a 3F"	"4"	" 0.1955754"	"0.0000011"	"  75                           :    21  3d6            b 3F "	"L11223"
"3d6"	"a 3F"	"3"	" 0.1977430"	"0.0000010"	"  77                           :    21  3d6            b 3F "	"L11223"
"3d6"	"a 3F"	"2"	" 0.1991764"	"0.0000012"	"  80                           :    20  3d6            b 3F "	"L11223"
"3d6"	"3G"	"5"	" 0.2237930"	"0.0000013"	"  99                                                        "	"L11223"
"3d6"	"3G"	"4"	" 0.2272802"	"0.0000011"	"  96                                                        "	"L11223"
"3d6"	"3G"	"3"	" 0.2291119"	"0.0000011"	"  98                                                        "	"L11223"
"3d5.(6S).4s"	"7S"	"3"	" 0.2741974"	"0.0000012"	" 100                                                        "	"L11223"
"3d6"	"1I"	"6"	" 0.2766231"	"0.0000015"	" 100                                                        "	"L11223"
"3d6"	"3D"	"2"	" 0.2799046"	"0.0000010"	"  99                                                        "	"L11223"
"3d6"	"3D"	"1"	" 0.2799910"	"0.0000012"	" 100                                                        "	"L11223"
