Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"3d4"	"5D"	"0"	""	"0.000000"	""	"0.000008"	" 100                                                   "	"L7185,L18477c149"
"3d4"	"5D"	"1"	""	"0.001298"	""	"0.000005"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d4"	"5D"	"2"	""	"0.003805"	""	"0.000005"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d4"	"5D"	"3"	""	"0.007318"	""	"0.000005"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d4"	"5D"	"4"	""	"0.011689"	""	"0.000005"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d4"	"3P2"	"0"	""	"0.219210"	""	"0.000006"	"  59                        :    40  3d4          3P1  "	"L18718,L7185,L18477c149"
"3d4"	"3H"	"4"	""	"0.227201"	""	"0.000005"	"  97                        :     1  3d4          3G   "	"L18718,L7185,L18477c149"
"3d4"	"3P2"	"1"	""	"0.227569"	""	"0.000004"	"  60                        :    40  3d4          3P1  "	"L18718,L7185,L18477c149"
"3d4"	"3H"	"5"	""	"0.229872"	""	"0.000005"	"  98                        :     2  3d4          3G   "	"L18718,L7185,L18477c149"
"3d4"	"3H"	"6"	""	"0.232632"	""	"0.000005"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d4"	"3P2"	"2"	""	"0.241196"	""	"0.000004"	"  60                        :    39  3d4          3P1  "	"L18718,L7185,L18477c149"
"3d4"	"3F2"	"2"	""	"0.243861"	""	"0.000004"	"  78                        :    22  3d4          3F1  "	"L18718,L7185,L18477c149"
"3d4"	"3F2"	"3"	""	"0.244605"	""	"0.000003"	"  75                        :    20  3d4          3F1  "	"L18718,L7185,L18477c149"
"3d4"	"3F2"	"4"	""	"0.245802"	""	"0.000004"	"  75                        :    19  3d4          3F1  "	"L18718,L7185,L18477c149"
"3d4"	"3G"	"3"	""	"0.271713"	""	"0.000004"	"  95                        :     4  3d4          3F2  "	"L18718,L7185,L18477c149"
"3d4"	"3G"	"4"	""	"0.274722"	""	"0.000004"	"  94                        :     3  3d4          3F2  "	"L18718,L7185,L18477c149"
"3d4"	"3G"	"5"	""	"0.277298"	""	"0.000004"	"  98                        :     2  3d4          3H   "	"L18718,L7185,L18477c149"
"3d4"	"1G2"	"4"	""	"0.333393"	""	"0.000005"	"  65                        :    33  3d4          1G1  "	"L18718,L7185,L18477c149"
"3d4"	"3D"	"3"	""	"0.333797"	""	"0.000004"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d4"	"3D"	"2"	""	"0.334965"	""	"0.000003"	"  99                                                   "	"L18718,L7185,L18477c149"
"3d4"	"3D"	"1"	""	"0.336487"	""	"0.000004"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d4"	"1I"	"6"	""	"0.341831"	""	"0.000006"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d4"	"1S2"	"0"	""	"0.361162"	""	"0.000006"	"  78                        :    21  3d4          1S1  "	"L18718,L7185,L18477c149"
"3d4"	"1D2"	"2"	""	"0.421836"	""	"0.000004"	"  78                        :    21  3d4          1D1  "	"L18718,L7185,L18477c149"
"3d4"	"1F"	"3"	""	"0.480535"	""	"0.000005"	"  99                                                   "	"L18718,L7185,L18477c149"
"3d4"	"3P1"	"2"	""	"0.563656"	""	"0.000004"	"  61                        :    39  3d4          3P2  "	"L18718,L7185,L18477c149"
"3d4"	"3F1"	"4"	""	"0.567154"	""	"0.000004"	"  79                        :    20  3d4          3F2  "	"L18718,L7185,L18477c149"
"3d4"	"3F1"	"2"	""	"0.567912"	""	"0.000004"	"  78                        :    22  3d4          3F2  "	"L18718,L7185,L18477c149"
"3d4"	"3F1"	"3"	""	"0.568305"	""	"0.000003"	"  78                        :    21  3d4          3F2  "	"L18718,L7185,L18477c149"
"3d4"	"3P1"	"1"	""	"0.573315"	""	"0.000005"	"  60                        :    40  3d4          3P2  "	"L18718,L7185,L18477c149"
"3d4"	"3P1"	"0"	""	"0.577924"	""	"0.000006"	"  60                        :    40  3d4          3P2  "	"L18718,L7185,L18477c149"
"3d4"	"1G1"	"4"	""	"0.649554"	""	"0.000004"	"  66                        :    34  3d4          1G2  "	"L18718,L7185,L18477c149"
"3d4"	"1D1"	"2"	""	"0.855065"	""	"0.000005"	"  78                        :    22  3d4          1D2  "	"L18718,L7185,L18477c149"
"3d4"	"1S1"	"0"	""	"1.103819"	""	"0.000014"	"  79                        :    21  3d4          1S2  "	"L18718,L7185,L18477c149"
"3d3.(4F).4s"	"5F"	"1"	""	"1.6989094"	""	"0.0000011"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d3.(4F).4s"	"5F"	"2"	""	"1.7015699"	""	"0.0000009"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d3.(4F).4s"	"5F"	"3"	""	"1.7055060"	""	""	" 100                                                   "	"L18718,L7185,L18477c149"
"3d3.(4F).4s"	"5F"	"4"	""	"1.7106218"	""	"0.0000010"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d3.(4F).4s"	"5F"	"5"	""	"1.7167849"	""	"0.0000011"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d3.(4F).4s"	"3F"	"2"	""	"1.7787611"	""	"0.0000008"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d3.(4F).4s"	"3F"	"3"	""	"1.7854743"	""	"0.0000008"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d3.(4F).4s"	"3F"	"4"	""	"1.7937262"	""	"0.0000010"	"  99                                                   "	"L18718,L7185,L18477c149"
"3d3.(4P).4s"	"5P"	"1"	""	"1.8656347"	""	"0.0000012"	"  99                        :     1  3d3.(2P).4s  3P   "	"L18718,L7185,L18477c149"
"3d3.(4P).4s"	"5P"	"2"	""	"1.8678714"	""	"0.0000012"	"  99                        :     1  3d3.(2P).4s  3P   "	"L18718,L7185,L18477c149"
"3d3.(4P).4s"	"5P"	"3"	""	"1.8729838"	""	"0.0000012"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d3.(2G).4s"	"3G"	"3"	""	"1.9030714"	""	"0.0000012"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d3.(2G).4s"	"3G"	"4"	""	"1.9055494"	""	"0.0000012"	"  98                        :     1  3d3.(2G).4s  1G   "	"L18718,L7185,L18477c149"
"3d3.(2G).4s"	"3G"	"5"	""	"1.9093205"	""	"0.0000012"	"  98                        :     1  3d3.(2H).4s  3H   "	"L18718,L7185,L18477c149"
"3d3.(4P).4s"	"3P"	"0"	""	"1.9368248"	""	"0.0000013"	"  84                        :    17  3d3.(2P).4s  3P   "	"L18718,L7185,L18477c149"
"3d3.(4P).4s"	"3P"	"1"	""	"1.9393399"	""	"0.0000011"	"  87                        :     8  3d3.(2P).4s  3P   "	"L18718,L7185,L18477c149"
"3d3.(2G).4s"	"1G"	"4"	""	"1.9458636"	""	"0.0000012"	"  94                        :     6  3d3.(2H).4s  3H   "	"L18718,L7185,L18477c149"
"3d3.(4P).4s"	"3P"	"2"	""	"1.9469132"	""	"0.0000011"	"  93                        :     2  3d3.(2P).4s  3P   "	"L18718,L7185,L18477c149"
"3d3.(2P).4s"	"3P"	"2"	""	"1.9549010"	""	"0.0000011"	"  63                        :    23  3d3.(2D2).4s 3D   "	"L18718,L7185,L18477c149"
"3d3.(2P).4s"	"3P"	"1"	""	"1.9556818"	""	"0.0000011"	"  71                        :    15  3d3.(2D2).4s 3D   "	"L18718,L7185,L18477c149"
"3d3.(2P).4s"	"3P"	"0"	""	"1.9582702"	"?"	"0.0000022"	"  83                        :    17  3d3.(4P).4s  3P   "	"L18718,L18477c149"
"3d3.(2D2).4s"	"3D"	"1"	""	"1.9663543"	""	"0.0000012"	"  56                        :    21  3d3.(2P).4s  3P   "	"L18718,L7185,L18477c149"
"3d3.(2D2).4s"	"3D"	"3"	""	"1.9732390"	""	"0.0000011"	"  80                        :    20  3d3.(2D1).4s 3D   "	"L18718,L7185,L18477c149"
"3d3.(2D2).4s"	"3D"	"2"	""	"1.9742780"	""	"0.0000018"	"  55                        :    28  3d3.(2P).4s  3P   "	"L18718,L11803,L18477c149"
"3d3.(2H).4s"	"3H"	"4"	""	"1.9754368"	""	"0.0000013"	"  94                        :     6  3d3.(2G).4s  1G   "	"L18718,L7185,L18477c149"
"3d3.(2H).4s"	"3H"	"5"	""	"1.9761758"	""	"0.0000012"	"  98                        :     1  3d3.(2G).4s  3G   "	"L18718,L7185,L18477c149"
"3d3.(2H).4s"	"3H"	"6"	""	"1.9785640"	""	"0.0000013"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d3.(2P).4s"	"1P"	"1"	""	"2.0001103"	""	"0.0000012"	"  90                        :     5  3d3.(2D2).4s 3D   "	"L18718,L7185,L18477c149"
"3d3.(2D2).4s"	"1D"	"2"	""	"2.0104443"	""	"0.0000011"	"  78                        :    20  3d3.(2D1).4s 1D   "	"L18718,L7185,L18477c149"
"3d3.(2H).4s"	"1H"	"5"	""	"2.0166785"	""	"0.0000014"	"  99                                                   "	"L18718,L7185,L18477c149"
"3d3.(2F).4s"	"3F"	"4"	""	"2.1290246"	""	"0.0000014"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d3.(2F).4s"	"3F"	"3"	""	"2.1309865"	""	"0.0000015"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d3.(2F).4s"	"3F"	"2"	""	"2.1326123"	""	"0.0000014"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d3.(2F).4s"	"1F"	"3"	""	"2.1663484"	""	"0.0000017"	"  99                                                   "	"L18718,L7185,L18477c149"
"3d3.(4F).4p"	"5G*"	"2"	""	"2.3219403"	""	"0.0000011"	"  99                        :     1  3d3.(4F).4p  3F*  "	"L18718,L7185,L18477c149"
"3d3.(4F).4p"	"5G*"	"3"	""	"2.3273704"	""	"0.0000011"	"  99                                                   "	"L18718,L7185,L18477c149"
"3d3.(4F).4p"	"5G*"	"4"	""	"2.3344654"	""	"0.0000010"	"  99                        :     1  3d3.(4F).4p  5F*  "	"L18718,L7185,L18477c149"
"3d3.(4F).4p"	"5G*"	"5"	""	"2.3432138"	""	"0.0000014"	"  99                        :     1  3d3.(4F).4p  5F*  "	"L18718,L7185,L18477c149"
"3d3.(4F).4p"	"3D*"	"1"	""	"2.3487218"	""	"0.0000013"	"  44                        :    34  3d3.(4F).4p  5F*  "	"L18718,L7185,L18477c149"
"3d3.(4F).4p"	"5D*"	"2"	""	"2.3522417"	""	"0.0000010"	"  42                        :    29  3d3.(4F).4p  3D*  "	"L18718,L7185,L18477c149"
"3d3.(4F).4p"	"5G*"	"6"	""	"2.3537795"	""	"0.0000018"	" 100                                                   "	"L18718,L7185,L18477c149"
"3d3.(2D1).4s"	"3D"	"3"	""	"2.3550274"	""	"0.000003"	"  80                        :    20  3d3.(2D2).4s 3D   "	"L18718,L7185,L18477c149"
"3d3.(4F).4p"	"5D*"	"0"	""	"2.3567160"	""	"0.0000019"	"  96                        :     4  3d3.(4P).4p  5D*  "	"L18718,L7185,L18477c149"
"3d3.(2D1).4s"	"3D"	"2"	""	"2.3567977"	""	"0.000003"	"  78                        :    21  3d3.(2D2).4s 3D   "	"L18718,L7185,L18477c149"
