configuration	term	J	energy
3p6.3d2	3F	2.000	0.0
3p6.3d2	3F	3.000	0.009566
3p6.3d2	3F	4.000	0.0212278
3p6.3d2	1D	2.000	0.1592348
3p6.3d2	3P	0	0.182618
3p6.3d2	3P	1.000	0.186161
3p6.3d2	3P	2.000	0.1938809
3p6.3d2	1G	4.000	0.26357
3p6.3d2	1S	0	0.61125
3p6.3d.4s	3D	1.000	3.138965
3p6.3d.4s	3D	2.000	3.1441145
3p6.3d.4s	3D	3.000	3.1553522
3p6.3d.4s	1D	2.000	3.1924442
3p5.3d3.(4P)	5S*	2.000	3.54793
3p5.3d3.(4F)	5D*	2.000	3.60346
3p5.3d3.(4F)	5D*	3.000	3.60403
3p5.3d3.(4F)	5D*	1.000	3.6042
3p5.3d3.(4F)	5D*	4.000	3.60818
3p5.3d3.(4F)	5F*	5.000	3.6766
3p5.3d3.(4F)	5F*	4.000	3.68631
3p5.3d3.(4F)	5F*	3.000	3.68972
3p5.3d3.(2G)	3F*	3.000	3.857274
3p5.3d3.(4F)	5G*	2.000	3.864478
3p5.3d3.(2D2)	3D*	2.000	3.869501
3p5.3d3.(2G)	3F*	4.000	3.872805
3p6.3d.4p	3D*	1.000	3.874043
3p5.3d3.(2D2)	3D*	3.000	3.875159
3p6.3d.4p	1D*	2.000	3.876382
3p6.3d.4p	3D*	2.000	3.8982424
3p5.3d3.(2P)	3P*	1.000	3.89904
3p5.3d3.(2P)	3P*	2.000	3.920292
3p6.3d.4p	3F*	2.000	3.920373
3p5.3d3.(2G)	3G*	3.000	3.927073
3p5.3d3.(2G)	3G*	4.000	3.931706
3p6.3d.4p	3D*	3.000	3.933106
3p5.3d3.(2D2)	3D*	1.000	3.933514
3p5.3d3.(2G)	3G*	5.000	3.93665
3p6.3d.4p	3F*	3.000	3.939953
3p6.3d.4p	3F*	4.000	3.953705
3p6.3d.4p	3P*	1.000	3.981783
3p6.3d.4p	3P*	0	3.982232
3p6.3d.4p	3P*	2.000	3.987303
3p6.3d.4p	1F*	3.000	4.007836
3p5.3d3.(2G)	1G*	4.000	4.03433
3p6.3d.4p	1P*	1.000	4.040964
3p5.3d3.(2G)	3H*	5.000	4.05599
3p5.3d3.(2P)	3D*	3.000	4.07496
3p5.3d3.(4F)	3G*	3.000	4.18741
3p5.3d3.(4F)	3G*	4.000	4.22246
3p5.3d3.(4F)	3G*	5.000	4.228578
3p5.3d3.(2D2)	1F*	3.000	4.23389
3p5.3d3.(2G)	1H*	5.000	4.30628
3p5.3d3.(2F)	3F*	4.000	4.30941
3p5.3d3.(2F)	3F*	3.000	4.34494
3p5.3d3.(2F)	3G*	4.000	4.36108
3p5.3d3.(2F)	3G*	5.000	4.36242
3p5.3d3.(2F)	3G*	3.000	4.387149
3p5.3d3.(2F)	1G*	4.000	4.52397
3p5.3d3.(2H)	3G*	3.000	4.64817
3p5.3d3.(2D1)	3F*	4.000	4.64879
3p5.3d3.(2H)	3G*	4.000	4.67123
3p5.3d3.(2D1)	3F*	3.000	4.67866
3p5.3d3.(2H)	3G*	5.000	4.68508
3p5.3d3.(2D1)	3F*	2.000	4.70338
3p5.3d3.(2H)	1H*	5.000	4.90788
3p5.3d3.(2D2)	1D*	2.000	4.91561
3p5.3d3.(2F)	3D*	1.000	4.99582
3p5.3d3.(2F)	3D*	2.000	4.996252
3p5.3d3.(2F)	3D*	3.000	5.026247
3p6.3d.4d	1F	3.000	5.037856
3p5.3d3.(2F)	1D*	2.000	5.041341
3p6.3d.4d	3D	1.000	5.054834
3p6.3d.4d	3D	2.000	5.059685
3p6.3d.4d	3G	3.000	5.067412
3p6.3d.4d	3D	3.000	5.069795
3p5.3d3.(2G)	1F*	3.000	5.070479
3p6.3d.4d	1P	1.000	5.072501
3p6.3d.4d	3G	4.000	5.076166
3p6.3d.4d	3G	5.000	5.086954
3p5.3d3.(4P)	3P*	0	5.10158
3p5.3d3.(4P)	3P*	1.000	5.115008
3p6.3d.4d	3S	1.000	5.118695
3p6.3d.4d	3F	2.000	5.14292
3p5.3d3.(4P)	3P*	2.000	5.14342
3p6.3d.4d	3F	3.000	5.149853
3p5.3d3.(4F)	3F*	2.000	5.15116
3p6.3d.4d	3F	4.000	5.15724
3p5.3d3.(4F)	3F*	3.000	5.1601
3p5.3d3.(4F)	3F*	4.000	5.17713
3p6.3d.4d	1D	2.000	5.205305
3p6.3d.4d	3P	0	5.211353
3p6.3d.4d	3P	1.000	5.214492
3p6.3d.4d	3P	2.000	5.220668
3p6.3d.4d	1G	4.000	5.239242
3p5.3d3.(2P)	1P*	1.000	5.455183
3p5.3d3.(4F)	3D*	3.000	5.49879
3p5.3d3.(4F)	3D*	2.000	5.50182
3p5.3d3.(4F)	3D*	1.000	5.50651
3p5.3d3.(2H)	1G*	4.000	5.51762
3p5.3d3.(4P)	3S*	1.000	5.68354
3p5.3d3.(2F)	1F*	3.000	5.69854
3p5.3d3.(2D1)	1P*	1.000	5.74359
3p6.3d.4f	3H*	4.000	5.979
3p6.3d.4f	3H*	5.000	5.9878
3p6.3d.4f	3H*	6.000	5.9967
3p6.3d.4f	3F*	4.000	6.01357
3p6.3d.4f	3F*	2.000	6.01448
3p6.3d.4f	3F*	3.000	6.01761
3p6.3d.4f	1G*	4.000	6.02499
3p6.3d.4f	3G*	3.000	6.04261
3p6.3d.4f	1D*	2.000	6.04962
3p6.3d.4f	3G*	4.000	6.05034
3p6.3d.4f	3G*	5.000	6.05519
3p6.3d.4f	1F*	3.000	6.06368
3p6.3d.4f	3D*	1.000	6.0675
3p6.3d.4f	3D*	2.000	6.06833
3p6.3d.4f	3D*	3.000	6.07494
3p6.3d.4f	3P*	2.000	6.08633
3p6.3d.4f	3P*	1.000	6.08955
3p6.3d.4f	3P*	0	6.09171
3p6.3d.4f	1H*	5.000	6.10526
3p6.3d.4f	1P*	1.000	6.13116
3p5.3d2.(3F). (4D*).4s	3D*	1.000	6.79401
3p5.3d2.(3F). (4D*).4s	3D*	2.000	6.80684
3p5.3d2.(3F). (4D*).4s	3D*	3.000	6.82686
3p5.3d2.(3F). (4G*).4s	3G*	5.000	6.98922
3p5.3d2.(3P). (4P*).4s	3P*	2.000	7.00239
3p5.3d2.(3F). (4G*).4s	3G*	4.000	7.00592
3p5.3d2.(3F). (4G*).4s	3G*	3.000	7.01667
3p5.3d2.(3P). (4P*).4s	3P*	1.000	7.03144
3p5.3d2.(3P). (4P*).4s	3P*	0	7.04852
3p5.3d2.(1G). (2F*).4s	3F*	3.000	7.09346
3p5.3d2.(1D). (2D*).4s	1D*	2.000	7.09883
3p5.3d2.(1G). (2F*).4s	3F*	4.000	7.10399
3p5.3d2.(3F). (4F*).4s	3F*	4.000	7.13237
3p5.3d2.(3F). (4F*).4s	3F*	3.000	7.13628
3p6.3d.5f	1G*	4.000	7.14589
3p6.3d.5f	3H*	4.000	7.14865
3p6.3d.5f	3F*	2.000	7.15099
3p6.3d.5f	3F*	3.000	7.15355
3p6.3d.5f	3F*	4.000	7.16081
3p6.3d.5f	3G*	3.000	7.16921
3p6.3d.5f	1D*	2.000	7.1701
3p6.3d.5f	3G*	4.000	7.17836
3p6.3d.5f	3D*	1.000	7.18029
3p6.3d.5f	3P*	2.000	7.18105
3p6.3d.5f	3G*	5.000	7.18209
3p6.3d.5f	3D*	3.000	7.18353
3p6.3d.5f	3D*	2.000	7.18984
3p6.3d.5f	3P*	1.000	7.1914
3p6.3d.5f	1F*	3.000	7.19187
3p6.3d.5f	3P*	0	7.19321
3p6.3d.5f	1P*	1.000	7.20544
3p6.3d.5f	1H*	5.000	7.20963
3p5.3d2.(1D). (2F*).4s	3F*	3.000	7.23681
3p5.3d2.(3F). (2G*).4s	3G*	3.000	7.26512
3p5.3d2.(3F). (2G*).4s	3G*	4.000	7.26927
3p5.3d2.(3F). (2G*).4s	3G*	5.000	7.29589
3p5.3d2.(3F). (2G*).4s	1G*	4.000	7.31255
3p5.3d2.(1G). (2H*).4s	1H*	5.000	7.34509
3p5.3d2.(1D). (2F*).4s	1F*	3.000	7.35962
3p5.3d2.(3P). (4D*).4s	3D*	3.000	7.40025
3p5.3d2.(3P). (4D*).4s	3D*	2.000	7.41658
3p5.3d2.(3P). (4D*).4s	3D*	1.000	7.44682
3p5.3d2.(3P). (2D*).4s	3D*	1.000	7.49688
3p5.3d2.(3P). (2D*).4s	3D*	2.000	7.51051
3p5.3d2.(3P). (2S*).4s	3S*	1.000	7.52801
3p5.3d2.(3P). (2D*).4s	3D*	3.000	7.54101
3p5.3d2.(3P). (2D*).4s	1D*	2.000	7.56009
3p5.3d2.(1G). (2G*).4s	3G*	5.000	7.58982
