ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"104.838"	"0.003"	"3"	"6.7e+09"	"1.4e-02"	D+	"0.0095660"	"8.7017"	"3p6.3d2"	"3F"	"3.000"	"3p6.3d.10f"	"3G*"	"4.000"		"u37"	"L5267"	
"104.972"	"0.003"	"3"	"1.1e+10"	"2.2e-02"	D+	"0.0212278"	"8.7022"	"3p6.3d2"	"3F"	"4.000"	"3p6.3d.10f"	"3G*"	"5.000"		"u37"	"L5267"	
"106.285"	"0.003"	"3"	"9.4e+09"	"2.0e-02"	D+	"0.0095660"	"8.5834"	"3p6.3d2"	"3F"	"3.000"	"3p6.3d.9f"	"3G*"	"4.000"		"u37"	"L5267"	
"106.418"	"0.003"	"3"	"1.5e+10"	"3.0e-02"	D+	"0.0212278"	"8.5843"	"3p6.3d2"	"3F"	"4.000"	"3p6.3d.9f"	"3G*"	"5.000"		"u37"	"L5267"	
"107.947"	"0.003"	"4"	"1.3e+10"	"2.7e-02"	D+	"0.263570"	"8.7053"	"3p6.3d2"	"1G"	"4.000"	"3p6.3d.10f"	"1H*"	"5.000"		"u37"	"L5267"	
"108.3818"	"0.0021"	"13"	"1.4e+10"	"3.2e-02"	D+	"0.0095660"	"8.41750"	"3p6.3d2"	"3F"	"3.000"	"3p6.3d.8f"	"3G*"	"4.000"		"u37"	"L5267"	
"108.4959"	"0.0018"	"3"	"8.1e+09"	"2.0e-02"	D+	"0.0000000"	"8.39909"	"3p6.3d2"	"3F"	"2.000"	"3p6.3d.8f"	"3F*"	"3.000"		"u37"	"L5267"	
"108.519"	"0.003"	"24"	"2.2e+10"	"4.7e-02"	D+	"0.0212278"	"8.41856"	"3p6.3d2"	"3F"	"4.000"	"3p6.3d.8f"	"3G*"	"5.000"		"u37"	"L5267"	
"108.5323"	"0.0021"	"7"	"5.9e+09"	"1.0e-02"	D+	"0.0212278"	"8.41750"	"3p6.3d2"	"3F"	"4.000"	"3p6.3d.8f"	"3G*"	"4.000"		"u37"	"L5267"	
"108.5836"	"0.0020"	"13"	"4.6e+09"	"8.1e-03"	D	"0.0212278"	"8.41354"	"3p6.3d2"	"3F"	"4.000"	"3p6.3d.8f"	"3F*"	"4.000"		"T10439"	"L5267"	
"108.6196"	"0.0018"	"7"	"3.3e+09"	"5.9e-03"	D	"0.0095660"	"8.39909"	"3p6.3d2"	"3F"	"3.000"	"3p6.3d.8f"	"3F*"	"3.000"		"T10439"	"L5267"	
"109.464"	"0.003"	"9"	"1.8e+10"	"3.9e-02"	D+	"0.263570"	"8.58842"	"3p6.3d2"	"1G"	"4.000"	"3p6.3d.9f"	"1H*"	"5.000"		"u37"	"L5267"	
"109.7444"	"0.0017"	"4"	"4.3e+08"	"7.8e-04"	D	"0.1592348"	"8.46277"	"3p6.3d2"	"1D"	"2.000"	"3p5.3d2.(3P). (2P*).4s"	"3P*"	"2.000"		"T10439"	"L5267"	
"110.1015"	"0.0017"	"4"	"1.6e+09"	"4.9e-03"	D	"0.186161"	"8.46277"	"3p6.3d2"	"3P"	"1.000"	"3p5.3d2.(3P). (2P*).4s"	"3P*"	"2.000"		"T10439"	"L5267"	
"110.2042"	"0.0017"	"4"	"3.7e+09"	"6.7e-03"	D	"0.1938809"	"8.46277"	"3p6.3d2"	"3P"	"2.000"	"3p5.3d2.(3P). (2P*).4s"	"3P*"	"2.000"		"T10439"	"L5267"	
"110.5926"	"0.0018"	"4"	"1.7e+09"	"4.4e-03"	D	"0.1592348"	"8.39909"	"3p6.3d2"	"1D"	"2.000"	"3p6.3d.8f"	"3F*"	"3.000"		"u37"	"L5267"	
"111.604"	"0.003"	"26"	"2.3e+10"	"5.6e-02"	D+	"0.0095660"	"8.17475"	"3p6.3d2"	"3F"	"3.000"	"3p6.3d.7f"	"3G*"	"4.000"		"u37"	"L5267"	
"111.6389"	"0.0016"	"14"	"2.1e+10"	"5.4e-02"	D+	"0.0000000"	"8.16263"	"3p6.3d2"	"3F"	"2.000"	"3p6.3d.7f"	"3G*"	"3.000"		"u37"	"L5267"	
"111.663"	"0.003"	"4"	"2.6e+10"	"5.9e-02"	D+	"0.263570"	"8.42444"	"3p6.3d2"	"1G"	"4.000"	"3p6.3d.8f"	"1H*"	"5.000"		"u37"	"L5267"	
"111.6908"	"0.0017"	"4"	"2.2e+09"	"5.3e-03"	D	"0.0095660"	"8.16841"	"3p6.3d2"	"3F"	"3.000"	"3p6.3d.7f"	"3F*"	"4.000"		"u37"	"L5267"	
"111.7419"	"0.0021"	"46*"	"3.4e+10"	"7.8e-02"	D+	"0.0212278"	"8.17633"	"3p6.3d2"	"3F"	"4.000"	"3p6.3d.7f"	"3G*"	"5.000"		"u37"	"L5267"	
"111.744"	"0.003"	"46*"	"1.1e+09"	"2.6e-03"	D	"0.263570"	"8.41856"	"3p6.3d2"	"1G"	"4.000"	"3p6.3d.8f"	"3G*"	"5.000"		"T10439"	"L5267"	
"111.7673"	"0.0022"	"7*"	"1.1e+10"	"2.0e-02"	D+	"0.0000000"	"8.15325"	"3p6.3d2"	"3F"	"2.000"	"3p6.3d.7f"	"3F*"	"2.000"		"u37"	"L5267"	
"111.7699"	"0.0016"	"7*"	"4.3e+09"	"8.1e-03"	D	"0.0095660"	"8.16263"	"3p6.3d2"	"3F"	"3.000"	"3p6.3d.7f"	"3G*"	"3.000"		"T10439"	"L5267"	
"111.8124"	"0.0021"	"4"	"2.5e+09"	"4.7e-03"	D	"0.263570"	"8.41354"	"3p6.3d2"	"1G"	"4.000"	"3p6.3d.8f"	"3F*"	"4.000"		"u37"	"L5267"	
"111.8506"	"0.0018"	"14"	"6.3e+09"	"1.2e-02"	D+	"0.0212278"	"8.16841"	"3p6.3d2"	"3F"	"4.000"	"3p6.3d.7f"	"3F*"	"4.000"		"u37"	"L5267"	
"112.0109"	"0.0019"	"9i"	"1.1e+07"	"1.6e-05"	E	"0.263570"	"8.39909"	"3p6.3d2"	"1G"	"4.000"	"3p6.3d.8f"	"3F*"	"3.000"		"u37"	"L5267"	
"112.0302"	"0.0021"	"7"	"1.4e+08"	"2.0e-04"	D	"0.0212278"	"8.15535"	"3p6.3d2"	"3F"	"4.000"	"3p6.3d.7f"	"3F*"	"3.000"		"T10439"	"L5267"	
"113.8601"	"0.0017"	"17"	"1.0e+10"	"2.7e-02"	D+	"0.1592348"	"8.16263"	"3p6.3d2"	"1D"	"2.000"	"3p6.3d.7f"	"3G*"	"3.000"		"u37"	"L5267"	
"113.9638"	"0.0022"	"32"	"2.1e+09"	"5.8e-03"	D	"0.1592348"	"8.15535"	"3p6.3d2"	"1D"	"2.000"	"3p6.3d.7f"	"3F*"	"3.000"		"u37"	"L5267"	
