Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3d6.4s2"	"a 5D"	"4"	" 0.00000000"	""	"1.50020"	" 100                                                 "	"L11631"
"3d6.4s2"	"a 5D"	"3"	" 0.003790260"	"0.000000009"	"1.50034"	" 100                                                 "	""
"3d6.4s2"	"a 5D"	"2"	" 0.006415384"	"0.000000009"	"1.50041"	" 100                                                 "	""
"3d6.4s2"	"a 5D"	"1"	" 0.008093254"	"0.000000009"	"1.50022"	" 100                                                 "	""
"3d6.4s2"	"a 5D"	"0"	" 0.008912866"	"0.000000009"	""	" 100                                                 "	""
"3d7.(4F).4s"	"a 5F"	"5"	" 0.063135023"	"0.000000009"	"1.40021"	" 100                                                 "	""
"3d7.(4F).4s"	"a 5F"	"4"	" 0.067222020"	"0.000000009"	"1.35004"	" 100                                                 "	""
"3d7.(4F).4s"	"a 5F"	"3"	" 0.070423264"	"0.000000009"	"1.24988"	" 100                                                 "	""
"3d7.(4F).4s"	"a 5F"	"2"	" 0.072771827"	"0.000000009"	"0.99953"	" 100                                                 "	""
"3d7.(4F).4s"	"a 5F"	"1"	" 0.074311222"	"0.000000009"	"-0.014"	" 100                                                 "	""
"3d7.(4F).4s"	"a 3F"	"4"	" 0.109135520"	"0.000000009"	"1.254"	"  98             :     1  3d6.4s2               3F2  "	""
"3d7.(4F).4s"	"a 3F"	"3"	" 0.114463653"	"0.000000009"	"1.086"	"  98             :     1  3d6.4s2               3F2  "	""
"3d7.(4F).4s"	"a 3F"	"2"	" 0.118178160"	"0.000000009"	"0.670"	"  98             :     1  3d6.4s2               3F2  "	""
"3d7.(4P).4s"	"a 5P"	"3"	" 0.159929017"	"0.000000009"	"1.666"	"  99                                                 "	""
"3d7.(4P).4s"	"a 5P"	"2"	" 0.161540201"	"0.000000009"	"1.820"	"  99                                                 "	""
"3d7.(4P).4s"	"a 5P"	"1"	" 0.163366325"	"0.000000009"	"2.499"	"  99                                                 "	""
"3d6.4s2"	"a 3P2"	"2"	" 0.167474354"	"0.000000009"	"1.506"	"  55             :    32  3d6.4s2               3P1  "	""
"3d6.4s2"	"a 3P2"	"1"	" 0.178175290"	"0.000000009"	"1.500"	"  55             :    32  3d6.4s2               3P1  "	""
"3d6.4s2"	"a 3P2"	"0"	" 0.182598015"	"0.000000018"	""	"  55             :    32  3d6.4s2               3P1  "	""
