Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Reference
"1s2"	"1S"	"0"	" 0.000000000"	"0.000000010"	"L8948"
	term		"0.000000000"		
"1s.2s"	"3S"	"1"	"[1.456714822454]"	"0.000000000018"	"L8948"
	term		"1.456714822"		
"1s.2s"	"1S"	"0"	"[1.51523152456]"	"0.00000000005"	"L8948"
	term		"1.515231525"		
"1s.2p"	"3P*"	"2"	"[1.540831989759]"	"0.000000000018"	"L8948"
"1s.2p"	"3P*"	"1"	"[1.540832686199]"	"0.000000000018"	"L8948"
"1s.2p"	"3P*"	"0"	"[1.540841688744]"	"0.000000000018"	"L8948"
	term		"1.540833300"		
"1s.2p"	"1P*"	"1"	"[1.55949592792]"	"0.00000000006"	"L8948"
	term		"1.559495928"		
"1s.3s"	"3S"	"1"	"[1.6697765073]"	"0.0000000006"	"L8948"
	term		"1.669776507"		
"1s.3s"	"1S"	"0"	"[1.6846122777]"	"0.0000000003"	"L8948"
	term		"1.684612278"		
"1s.3p"	"3P*"	"2"	"[1.69098871033]"	"0.00000000006"	"L8948"
"1s.3p"	"3P*"	"1"	"[1.69098891059]"	"0.00000000006"	"L8948"
"1s.3p"	"3P*"	"0"	"[1.69099137688]"	"0.00000000006"	"L8948"
	term		"1.690989073"		
"1s.3d"	"3D"	"3"	"[1.695882070933]"	"0.000000000007"	"L8948"
"1s.3d"	"3D"	"2"	"[1.695882093827]"	"0.000000000007"	"L8948"
"1s.3d"	"3D"	"1"	"[1.695882496618]"	"0.000000000007"	"L8948"
	term		"1.695882164"		
"1s.3d"	"1D"	"2"	"[1.695913240937]"	"0.000000000007"	"L8948"
	term		"1.695913241"		
"1s.3p"	"1P*"	"1"	"[1.69686458780]"	"0.00000000006"	"L8948"
	term		"1.696864588"		
"1s.4s"	"3S"	"1"	"[1.73412400402]"	"0.00000000021"	"L8948"
	term		"1.734124004"		
"1s.4s"	"1S"	"0"	"[1.73997536908]"	"0.00000000018"	"L8948"
	term		"1.739975369"		
"1s.4p"	"3P*"	"2"	"[1.74249788943]"	"0.00000000006"	"L8948"
"1s.4p"	"3P*"	"1"	"[1.74249797141]"	"0.00000000006"	"L8948"
"1s.4p"	"3P*"	"0"	"[1.74249897678]"	"0.00000000006"	"L8948"
	term		"1.742498038"		
"1s.4d"	"3D"	"3"	"[1.744570474866]"	"0.000000000004"	"L8948"
"1s.4d"	"3D"	"2"	"[1.744570485815]"	"0.000000000004"	"L8948"
"1s.4d"	"3D"	"1"	"[1.744570654586]"	"0.000000000004"	"L8948"
	term		"1.744570514"		
"1s.4d"	"1D"	"2"	"[1.744588470671]"	"0.000000000004"	"L8948"
	term		"1.744588471"		
"1s.4f"	"3F*"	"3"	"[1.744637845018]"	"0.000000000004"	"L8948"
"1s.4f"	"3F*"	"4"	"[1.744637910080]"	"0.000000000004"	"L8948"
"1s.4f"	"3F*"	"2"	"[1.744637988616]"	"0.000000000004"	"L8948"
	term		"1.744637907"		
"1s.4f"	"1F*"	"3"	"[1.744638059275]"	"0.000000000004"	"L8948"
	term		"1.744638059"		
"1s.4p"	"1P*"	"1"	"[1.74500998789]"	"0.00000000006"	"L8948"
	term		"1.745009988"		
"1s.5s"	"3S"	"1"	"[1.76190742541]"	"0.00000000009"	"L8948"
	term		"1.761907425"		
"1s.5s"	"1S"	"0"	"[1.76479177472]"	"0.00000000009"	"L8948"
	term		"1.764791775"		
"1s.5p"	"3P*"	"2"	"[1.76604199211]"	"0.00000000003"	"L8948"
"1s.5p"	"3P*"	"1"	"[1.76604203333]"	"0.00000000003"	"L8948"
"1s.5p"	"3P*"	"0"	"[1.76604253858]"	"0.00000000003"	"L8948"
	term		"1.766042067"		
"1s.5d"	"3D"	"3"	"[1.767103105110]"	"0.000000000004"	"L8948"
