configuration	term	J	energy
1s2	1S		0.0
1s.2s	3S		1.456714822
1s.2s	1S		1.515231525
1s.2p	3P*	0.0	1.540841688744
1s.2p	3P*	1.0	1.540832686199
1s.2p	3P*	2.0	1.540831989759
1s.2p	1P*		1.559495928
1s.3s	3S		1.669776507
1s.3s	1S		1.684612278
1s.3p	3P*		1.690989073
1s.3d	3D		1.695882164
1s.3d	1D		1.695913241
1s.3p	1P*		1.696864588
1s.4s	3S		1.734124004
1s.4s	1S		1.739975369
1s.4p	3P*		1.742498038
1s.4d	3D		1.744570514
1s.4d	1D		1.744588471
1s.4f	3F*		1.744637907
1s.4f	1F*		1.744638059
1s.4p	1P*		1.745009988
1s.5s	3S		1.761907425
1s.5s	1S		1.764791775
1s.5p	3P*		1.766042067
1s.5d	3D		1.767103125
1s.5d	1D		1.767113481
1s.5f	3F*		1.767139283
1s.5f	1F*		1.76713937
1s.5g	3G		1.767143804
1s.5g	1G		1.767143845
1s.5p	1P*		1.767333756
1s.6s	3S		1.776388628
1s.6s	1S		1.778017509
1s.6p	3P*		1.778727194
1s.6d	3D		1.779340705
1s.6d	1D		1.779347064
1s.6f	3F*		1.779362149
1s.6f	1F*		1.779362203
1s.6g	3G		1.779364871
1s.6g	1G		1.779364894
1s.6h	3H*		1.779365504
1s.6h	1H*		1.77936552
1s.6p	1P*		1.779475899
1s.7s	3S		1.784882706
1s.7s	1S		1.785891098
1s.7p	3P*		1.786332359
1s.7d	3D		1.786718332
1s.7d	1D		1.786722476
1s.7f	3F*		1.786732033
1s.7f	1F*		1.786732069
1s.7g	3G		1.786733787
1s.7g	1G		1.786733802
1s.7h	3H*		1.786734202
1s.7h	1H*		1.786734212
1s.7i	3I		1.786734331
1s.7i	1I		1.786734338
1s.7p	1P*		1.786804118
1s.8s	3S		1.790287657
1s.8s	1S		1.790954726
1s.8p	3P*		1.791247695
1s.8d	3D		1.79150603
1s.8d	1D		1.791508867
1s.8f	3F*		1.791515294
1s.8f	1F*		1.791515319
1s.8g	3G		1.791516487
1s.8g	1G		1.791516497
1s.8h	3H*		1.791516771
1s.8h	1H*		1.791516778
1s.8i	3I		1.791516861
1s.8i	1I		1.791516866
1s.8k	3K*		1.791516896
1s.8k	1K*		1.791516899
1s.8p	1P*		1.791563781
1s.9s	3S		1.793938426
1s.9s	1S		1.794402401
1s.9p	3P*		1.794606799
1s.9d	3D		1.794788087
1s.9d	1D		1.794790109
1s.9f	3F*		1.794794635
1s.9f	1F*		1.794794653
1s.9g	3G		1.794795481
1s.9g	1G		1.794795488
1s.9h	3H*		1.794795684
1s.9h	1H*		1.794795689
1s.9i	3I		1.794795749
1s.9i	1I		1.794795752
1s.9k	3K*		1.794795774
1s.9k	1K*		1.794795776
1s.9p	1P*		1.794828784
1s.10s	3S		1.796519552
1s.10s	1S		1.796855193
1s.10p	3P*		1.797003439
1s.10d	3D		1.797135504
1s.10d	1D		1.797136993
1s.10f	3F*		1.797140299
1s.10f	1F*		1.797140312
1s.10g	3G		1.79714092
1s.10g	1G		1.797140925
1s.10h	3H*		1.79714107
1s.10h	1H*		1.797141073
1s.10i	3I		1.797141118
1s.10i	1I		1.79714112
1s.10k	3K*		1.797141136
1s.10k	1K*		1.797141138
1s.10p	1P*		1.797165243
1s.11p	1P*		1.79889465
1s.12p	1P*		1.80021025
1s.13p	1P*		1.80123442
1s.14p	1P*		1.80204718
1s.15p	1P*		1.80270302
