ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"256.829"	"0.020"	"3"	"3.75e+09"	"6.18e-02"		"0.0103203"	"3.5585"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4s"	"3P*"	"2"		"T4909"	"L3496"	
"257.655"	"0.020"	"2"	"4.78e+09"	"1.43e-01"		"0.000000"	"3.5368"	"3s2.3p2"	"3P"	"0"	"3s2.3p.4s"	"3P*"	"1"		"T4909"	"L3496"	
"258.019"	"0.020"	"4"	"1.10e+10"	"1.10e-01"		"0.026675"	"3.5585"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4s"	"3P*"	"2"		"T4909"	"L3496"	
"258.409"	"0.020"	"1"	"3.46e+09"	"3.46e-02"		"0.0103203"	"3.5368"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4s"	"3P*"	"1"		"T4909"	"L3496"	
"258.873"	"0.020"	"3"	"1.46e+10"	"4.89e-02"		"0.0103203"	"3.5305"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4s"	"3P*"	"0"		"T4909"	"L3496"	
"259.613"	"0.020"	"2"	"6.11e+09"	"3.70e-02"		"0.026675"	"3.5368"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4s"	"3P*"	"1"		"T4909"	"L3496"	
"266.353"	"0.021"	"4"	"2.18e+10"	"1.39e-01"		"0.172938"	"3.5942"	"3s2.3p2"	"1D"	"2"	"3s2.3p.4s"	"1P*"	"1"		"T4909"	"L3496"	
"284.851"	"0.024"	"0"	"3.34e+09"	"1.22e-01"		"0.395114"	"3.5942"	"3s2.3p2"	"1S"	"0"	"3s2.3p.4s"	"1P*"	"1"		"T4909"	"L3496"	
"374.940"	"0.023"	"5"	"3.38e+10"	"9.97e-01"		"0.172938"	"2.60337"	"3s2.3p2"	"1D"	"2"	"3s2.3p.3d"	"1F*"	"3"		"T4909"	"L1111"	
"384.513"	"0.021"	"2"	"1.47e+10"	"9.77e-01"		"0.000000"	"2.36992"	"3s2.3p2"	"3P"	"0"	"3s2.3p.3d"	"3D*"	"1"		"T4909"	"L1111"	
"385.549"	"0.021"	"4"	"2.04e+10"	"7.58e-01"		"0.0103203"	"2.37388"	"3s2.3p2"	"3P"	"1"	"3s2.3p.3d"	"3D*"	"2"		"T4909"	"L1111"	
"387.809"	"0.021"	"6"	"3.16e+10"	"9.97e-01"		"0.026675"	"2.37646"	"3s2.3p2"	"3P"	"2"	"3s2.3p.3d"	"3D*"	"3"		"T4909"	"L1111"	
"388.235"	"0.021"	"3"	"1.15e+10"	"2.60e-01"		"0.026675"	"2.37388"	"3s2.3p2"	"3P"	"2"	"3s2.3p.3d"	"3D*"	"2"		"T4909"	"L1111"	
"394.473"	"0.020"	"3"	"1.00e+10"	"7.00e-01"		"0.000000"	"2.31009"	"3s2.3p2"	"3P"	"0"	"3s2.3p.3d"	"3P*"	"1"		"T4909"	"L1111"	
"395.406"	"0.020"	"3"	"2.08e+10"	"1.63e-01"		"0.0103203"	"2.31496"	"3s2.3p2"	"3P"	"1"	"3s2.3p.3d"	"3P*"	"0"		"T4909"	"L1111"	
"396.243"	"0.020"	"1"	"2.99e+09"	"7.04e-02"		"0.0103203"	"2.31009"	"3s2.3p2"	"3P"	"1"	"3s2.3p.3d"	"3P*"	"1"		"T4909"	"L1111"	
"398.098"	"0.021"	"3"	"7.71e+09"	"3.05e-01"		"0.0103203"	"2.29937"	"3s2.3p2"	"3P"	"1"	"3s2.3p.3d"	"3P*"	"2"		"T4909"	"L1111"	
"399.081"	"0.021"	"2"	"7.84e+09"	"1.12e-01"		"0.026675"	"2.31009"	"3s2.3p2"	"3P"	"2"	"3s2.3p.3d"	"3P*"	"1"		"T4909"	"L1111"	
"399.42"	"0.03"	"2"	"2.59e+10"	"1.86e+00"		"0.395114"	"2.67660"	"3s2.3p2"	"1S"	"0"	"3s2.3p.3d"	"1P*"	"1"		"T4909"	"L1111"	
"400.963"	"0.021"	"4"	"1.12e+10"	"2.70e-01"		"0.026675"	"2.29937"	"3s2.3p2"	"3P"	"2"	"3s2.3p.3d"	"3P*"	"2"		"T4909"	"L1111"	
"428.542"	"0.024"	"1"	"2.23e+09"	"6.14e-02"		"0.172938"	"2.29937"	"3s2.3p2"	"1D"	"2"	"3s2.3p.3d"	"3P*"	"2"		"T4909"	"L1111"	
"449.019"	"0.004"	"0"	"9.86e+08"	"2.98e-02"		"0.0103203"	"2.039781"	"3s2.3p2"	"3P"	"1"	"3s.3p3"	"1P*"	"1"		"T4909"	"L3633"	
"452.667"	"0.006"	"0"	"8.11e+08"	"1.49e-02"		"0.026675"	"2.039781"	"3s2.3p2"	"3P"	"2"	"3s.3p3"	"1P*"	"1"		"T4909"	"L3633"	
"458.049"	"0.006"	"2"	"2.81e+09"	"2.65e-01"		"0.000000"	"1.989454"	"3s2.3p2"	"3P"	"0"	"3s.3p3"	"3S*"	"1"		"T4909"	"L3633"	
"460.437"	"0.004"	"4"	"8.98e+09"	"2.85e-01"		"0.0103203"	"1.989454"	"3s2.3p2"	"3P"	"1"	"3s.3p3"	"3S*"	"1"		"T4909"	"L3633"	
