ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"405.5"	"0.7"	""	"1.3e+09"	"9.6e-02"		"0.000000"	"2.247"	"3p6"	"1S"	"0"	"3p5.7d"	"(1/2,3/2)*"	"1"		"T6166"	"L11572"	
"411.7"	"0.7"	""	"2.6e+09"	"2.0e-01"		"0.000000"	"2.213"	"3p6"	"1S"	"0"	"3p5.6d"	"(1/2,3/2)*"	"1"		"T6166"	"L11572"	
"414.9"	"0.7"	"bl*"	"2.2e+08"	"1.7e-02"		"0.000000"	"2.196"	"3p6"	"1S"	"0"	"3p5.7s"	"(1/2,1/2)*"	"1"		"T6166"	"L11572"	
"421.9"	"0.7"	""	"4.0e+09"	"3.2e-01"		"0.000000"	"2.160"	"3p6"	"1S"	"0"	"3p5.5d"	"(1/2,3/2)*"	"1"		"T6166"	"L11572"	
"465.0847"	"0.0007"	"5"	"1.0e+09"	"9.7e-02"		"0.000000"	"1.9593572"	"3p6"	"1S"	"0"	"3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"T6166"	"L3496"	
"495.1534"	"0.0009"	"15"	"6.7e+10"	"7.4e+00"		"0.000000"	"1.8403731"	"3p6"	"1S"	"0"	"3p5.3d"	"1P*"	"1"		"T6798"	"L12188"	
"554.1735"	"0.0010"	"30"	"1.06e+07"	"1.46e-03"		"0.000000"	"1.6443714"	"3p6"	"1S"	"0"	"3p5.3d"	"3D*"	"1"		"T6798"	"L12188"	
"600.7547"	"0.0011"	"50"	"2.3e+09"	"3.7e-01"		"0.000000"	"1.5168705"	"3p6"	"1S"	"0"	"3p5.4s"	"1P*"	"1"		"T6798"	"L12188"	
"607.9323"	"0.0012"	"60"	"4.2e+08"	"7.0e-02"		"0.000000"	"1.4989614"	"3p6"	"1S"	"0"	"3p5.3d"	"3P*"	"1"		"T6798"	"L12188"	
"612.6242"	"0.0012"	"65"	"1.2e+08"	"2.0e-02"		"0.000000"	"1.4874813"	"3p6"	"1S"	"0"	"3p5.4s"	"3P*"	"1"		"T6798"	"L12188"	
"1247.040"	"0.008"	"5"	"6.88e+05"	"9.62e-05"		"1.4808336"	"2.211578"	"3p5.4s"	"3P*"	"2"	"3p5.(2P*<3/2>).6f"	"2[3/2]"	"1"		"T8304"	"L12188"	
"1258.367"	"0.005"	"2"	"8.68e+07"	"3.43e-02"		"1.4874813"	"2.211648"	"3p5.4s"	"3P*"	"1"	"3p5.(2P*<3/2>).6f"	"2[3/2]"	"2"		"T8304"	"L12188"	
"1261.662"	"0.008"	"2"	"2.08e+08"	"1.49e-01"		"1.4893029"	"2.211578"	"3p5.3d"	"3P*"	"0"	"3p5.(2P*<3/2>).6f"	"2[3/2]"	"1"		"T8304"	"L12188"	
"1278.637"	"0.005"	"5"	"3.11e+08"	"1.27e-01"		"1.4989614"	"2.211648"	"3p5.3d"	"3P*"	"1"	"3p5.(2P*<3/2>).6f"	"2[3/2]"	"2"		"T8304"	"L12188"	
"1284.632"	"0.005"	"8"	"5.46e+08"	"1.89e-01"		"1.5029336"	"2.212294"	"3p5.3d"	"3P*"	"2"	"3p5.(2P*<3/2>).6f"	"2[5/2]"	"3"		"T8304"	"L12188"	
"1285.803"	"0.005"	"2"	"1.41e+08"	"3.49e-02"		"1.5029336"	"2.211648"	"3p5.3d"	"3P*"	"2"	"3p5.(2P*<3/2>).6f"	"2[3/2]"	"2"		"T8304"	"L12188"	
"1298.691"	"0.005"	"8"	"2.05e+06"	"5.18e-04"		"1.4808336"	"2.182515"	"3p5.4s"	"3P*"	"2"	"3p5.(2P*<1/2>).5f"	"2[5/2]"	"2"		"T8304"	"L12188"	
"1338.371"	"0.011"	"2"	"8.85e+06"	"2.38e-03"		"1.4808336"	"2.161711"	"3p5.4s"	"3P*"	"2"	"3p5.(2P*<3/2>).5f"	"2[3/2]"	"2"		"T8304"	"L12188"	
"1340.925"	"0.006"	"5"	"7.43e+06"	"2.00e-03"		"1.5029336"	"2.182515"	"3p5.3d"	"3P*"	"2"	"3p5.(2P*<1/2>).5f"	"2[5/2]"	"2"		"T8304"	"L12188"	
"1341.223"	"0.007"	"15"	"1.04e+08"	"3.93e-02"		"1.5029336"	"2.182363"	"3p5.3d"	"3P*"	"2"	"3p5.(2P*<1/2>).5f"	"2[5/2]"	"3"		"T8304"	"L12188"	
"1349.082"	"0.004"	"15"	"1.02e+07"	"4.64e-03"		"1.4874813"	"2.1629534"	"3p5.4s"	"3P*"	"1"	"3p5.(2P*<3/2>).5f"	"2[5/2]"	"2"		"T8304"	"L12188"	
"1351.854"	"0.006"	"10"	"2.76e+07"	"7.56e-03"		"1.4874813"	"2.161568"	"3p5.4s"	"3P*"	"1"	"3p5.(2P*<3/2>).5f"	"2[3/2]"	"1"		"T8304"	"L12188"	
"1355.517"	"0.006"	"20"	"8.08e+07"	"6.68e-02"		"1.4893029"	"2.161568"	"3p5.3d"	"3P*"	"0"	"3p5.(2P*<3/2>).5f"	"2[3/2]"	"1"		"T8304"	"L12188"	
"1374.979"	"0.012"	"25"	"8.35e+07"	"3.94e-02"		"1.4989614"	"2.161711"	"3p5.3d"	"3P*"	"1"	"3p5.(2P*<3/2>).5f"	"2[3/2]"	"2"		"T8304"	"L12188"	
