configuration	term	J	energy
1s2	1S		0.0
1s.2s	3S		97.83487
1s.2s	1S		98.77021
1s.2p	3P*	0	98.70835
1s.2p	3P*	1	98.7159
1s.2p	3P*	2	98.74843
1s.2p	1P*		99.38836
1s.3s	3S		115.6505
1s.3p	3P*		115.89756
1s.3s	1S		115.89771
1s.3d	3D		116.03521
1s.3d	1D		116.04346
1s.3p	1P*		116.07725
1s.4s	3S		121.76342
1s.4p	3P*		121.86528
1s.4s	1S		121.86353
1s.4d	3D		121.923
1s.4d	1D		121.926
1s.4f	3F*		121.92656
1s.4f	1F*		121.9266
1s.4p	1P*		121.93906
1s.5s	3S		124.56672
1s.5p	3P*		124.61822
1s.5s	1S		124.61702
1s.5d	3D		124.6474
1s.5d	1D		124.6493
1s.5f	3F*		124.64941
1s.5f	1F*		124.64941
1s.5g	3G		124.64987
1s.5g	1G		124.64987
1s.5p	1P*		124.65553
1s.6h	1H*		126.12896
1s.6h	3H*		126.12896
1s.6p	1P*		126.13204
1s.7p	1P*		127.02263
1s.8p	1P*		127.60077
1s.9p	1P*		127.9972
1s.10p	1P*		128.28081
