ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"74.574"	""	"3.69e+09"	"3.08e-03"	D	"0.000000"	"12.2196?"	"2s2.2p3"	"4S*"	"3/2"	"2s.2p3.(5S*).4p"	"4P"	"3/2"		"c6,LS"	""	
"74.574"	""	"3.69e+09"	"4.62e-03"	D	"0.000000"	"12.2196?"	"2s2.2p3"	"4S*"	"3/2"	"2s.2p3.(5S*).4p"	"4P"	"5/2"		"c6,LS"	""	
"74.574"	""	"3.69e+09"	"1.54e-03"	D	"0.000000"	"12.2196?"	"2s2.2p3"	"4S*"	"3/2"	"2s.2p3.(5S*).4p"	"4P"	"1/2"		"c6,LS"	""	
"75.248"	""	"3.29e+09"	"1.86e-03"	E	"0.50444"	"12.6146"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).5d?"	"2D?"	"3/2"		"c6,LS"	""	
"75.248"	""	"3.06e+10"	"2.60e-02"	D+	"0.50444"	"12.6146"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).5d?"	"2D?"	"5/2"		"c6,LS"	""	
"75.249"	""	"2.96e+10"	"2.51e-02"	D	"0.504594"	"12.6146"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).5d?"	"2D?"	"3/2"		"c6,LS"	""	
"75.249"	""	"2.19e+09"	"2.79e-03"	E	"0.504594"	"12.6146"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).5d?"	"2D?"	"5/2"		"c6,LS"	""	
"75.334"	"100"	"2.73e+10"	"3.10e-02"	D+	"0.50444"	"12.6008?"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).5d"	"2F"	"7/2"		"c6,LS"	"L7482"	
"75.334"	""	"1.82e+09"	"1.55e-03"	E	"0.50444"	"12.6008?"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).5d"	"2F"	"5/2"		"c6,LS"	""	
"75.335"	""	"2.55e+10"	"3.26e-02"	D+	"0.504594"	"12.6008?"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).5d"	"2F"	"5/2"		"c6,LS"	""	
"75.834"	"200g"	"1.01e+10"	"1.31e-02"	D	"0.000000"	"12.0166?"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"5/2"		"c6,LS"	"L7482"	
"75.890"	"10g"	"1.01e+10"	"8.74e-03"	D	"0.000000"	"12.0078?"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"3/2"		"c6,LS"	"L7482"	
"76.901"	""	"7.67e+09"	"1.36e-02"	E	"0.764735"	"12.6146"	"2s2.2p3"	"2P*"	"1/2"	"2s2.2p2.(1D).5d?"	"2D?"	"3/2"		"c6,LS"	""	
"76.908"	""	"1.53e+09"	"1.36e-03"	E	"0.765723"	"12.6146"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(1D).5d?"	"2D?"	"3/2"		"c6,LS"	""	
"76.908"	""	"9.25e+09"	"1.23e-02"	D	"0.765723"	"12.6146"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(1D).5d?"	"2D?"	"5/2"		"c6,LS"	""	
"77.405"	"200"	"4.58e+10"	"5.48e-02"	C	"0.50444"	"12.2771?"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(3P).5d"	"2F"	"7/2"		"c6,LS"	"L7482"	
"77.510"	""	"3.03e+09"	"2.73e-03"	E	"0.50444"	"12.2612?"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(3P).5d"	"2F"	"5/2"		"c6,LS"	""	
"77.511"	"100"	"4.25e+10"	"5.74e-02"	D+	"0.504594"	"12.2612?"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(3P).5d"	"2F"	"5/2"		"c6,LS"	"L7482"	
"78.238"	""	"2.48e+07"	"1.52e-05"	E	"0.50444"	"12.1517?"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1S).4d"	"2D"	"3/2"		"c6,LS"	""	
"78.238"	"10"	"2.31e+08"	"2.12e-04"	D	"0.50444"	"12.1517?"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1S).4d"	"2D"	"5/2"		"c6,LS"	"L7482"	
"78.239"	""	"2.23e+08"	"2.05e-04"	D	"0.504594"	"12.1517?"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1S).4d"	"2D"	"3/2"		"c6,LS"	""	
"78.239"	""	"1.66e+07"	"2.28e-05"	E	"0.504594"	"12.1517?"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1S).4d"	"2D"	"5/2"		"c6,LS"	""	
"79.817"	"200g"	"7.73e+10"	"3.69e-02"	D+	"0.000000"	"11.4170"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"1/2"		"c6,LS"	"L7482"	
"79.830"	"400g"	"7.72e+10"	"7.38e-02"	D+	"0.000000"	"11.4151"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"3/2"		"c6,LS"	"L7482"	
"79.857"	"400g"	"7.74e+10"	"1.11e-01"	C	"0.000000"	"11.4113"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"5/2"		"c6,LS"	"L7482"	
"80.027"	""	"2.86e+10"	"5.49e-02"	D	"0.764735"	"12.1517?"	"2s2.2p3"	"2P*"	"1/2"	"2s2.2p2.(1S).4d"	"2D"	"3/2"		"c6,LS"	""	
