ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"855.883"	""	"6.10e+00"	""	C+	"0.0000000"	"1.0647103"	"2p6.3s"	"2S"	"1/2"	"2p6.10d"	"2D"	"5/2"	E2	"T2169"	""	
"863.600"	""	"9.75e+00"	""	D+	"0.0000000"	"1.0551961"	"2p6.3s"	"2S"	"1/2"	"2p6.9d"	"2D"	"5/2"	E2	"T2169"	""	
"870.3317"	"g,a*"	"1.04e+06"	"2.35e-04"	C	"0.0000000"	"1.0470342"	"2p6.3s"	"2S"	"1/2"	"2p6.9p"	"2P*"	"3/2"		"c31"	"L1790"	
"870.3463"	"g,a*"	"1.08e+06"	"1.22e-04"	C	"0.0000000"	"1.0470166"	"2p6.3s"	"2S"	"1/2"	"2p6.9p"	"2P*"	"1/2"		"c31"	"L1790"	
"874.640"	""	"1.69e+01"	""	C	"0.0000000"	"1.0418766"	"2p6.3s"	"2S"	"1/2"	"2p6.8d"	"2D"	"3/2"	E2	"T2169"	""	
"884.6967"	"g,a*"	"1.38e+06"	"3.24e-04"	C	"0.0000000"	"1.0300333"	"2p6.3s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"3/2"		"c31"	"L1790"	
"884.7189"	"g,a*"	"1.44e+06"	"1.68e-04"	C	"0.0000000"	"1.0300074"	"2p6.3s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"1/2"		"c31"	"L1790"	
"891.289"	""	"4.25e+00"	""	C	"0.0000000"	"1.0224147"	"2p6.3s"	"2S"	"1/2"	"2p6.7d"	"2D"	"5/2"	E2	"T5202"	""	
"907.3752"	"g,a*"	"1.94e+06"	"4.78e-04"	C	"0.0000000"	"1.0042891"	"2p6.3s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"3/2"		"c31"	"L1790"	
"907.4115"	"g,a*"	"2.02e+06"	"2.49e-04"	C	"0.0000000"	"1.0042489"	"2p6.3s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"1/2"		"c31"	"L1790"	
"918.273"	""	"2.69e+01"	""	B	"0.0000000"	"0.9923700"	"2p6.3s"	"2S"	"1/2"	"2p6.6d"	"2D"	"5/2"	E2	"T5202"	""	
"946.7033"	"8g"	"2.69e+06"	"7.22e-04"	B	"0.0000000"	"0.9625688"	"2p6.3s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"3/2"		"c31"	"L535"	
"946.7694"	"9g"	"2.81e+06"	"3.78e-04"	B	"0.0000000"	"0.9625016"	"2p6.3s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"1/2"		"c31"	"L535"	
"966.934"	""	"1.97e+02"	""	B+	"0.0000000"	"0.9424296"	"2p6.3s"	"2S"	"1/2"	"2p6.5d"	"2D"	"5/2"	E2	"T5202"	""	
"1025.9681"	"14g"	"3.43e+06"	"1.08e-03"	B	"0.0000000"	"0.8882022"	"2p6.3s"	"2S"	"1/2"	"2p6.5p"	"2P*"	"3/2"		"c31,T6870"	"L535"	
"1026.1134"	"12g"	"3.63e+06"	"5.72e-04"	B	"0.0000000"	"0.8880764"	"2p6.3s"	"2S"	"1/2"	"2p6.5p"	"2P*"	"1/2"		"c31,T6870"	"L535"	
"1071.690"	""	"1.04e+03"	""	A	"0.0000000"	"0.8503087"	"2p6.3s"	"2S"	"1/2"	"2p6.4d"	"2D"	"5/2"	E2	"T5202"	""	
"1239.925"	""	"4.33e-05"	""	D+	"0.0000000"	"0.7349371"	"2p6.3s"	"2S"	"1/2"	"2p6.4p"	"2P*"	"3/2"	M2	"c28"	""	
"1239.9253"	"25g"	"1.35e+06"	"6.21e-04"	C	"0.0000000"	"0.7349371"	"2p6.3s"	"2S"	"1/2"	"2p6.4p"	"2P*"	"3/2"		"c31,T6870,T7256,c23"	"L535"	
"1240.3947"	"20g"	"1.52e+06"	"3.51e-04"	C	"0.0000000"	"0.7346589"	"2p6.3s"	"2S"	"1/2"	"2p6.4p"	"2P*"	"1/2"		"c31,T6870,T7256,c23"	"L535"	
"1248.048"	""	"9.00e+05"	"4.20e-04"	C	"0.3250427"	"1.0551966"	"2p6.3p"	"2P*"	"1/2"	"2p6.9d"	"2D"	"3/2"		"c31"	""	
"1248.5068"	"6"	"3.83e+06"	"8.95e-04"	B	"0.3250427"	"1.0549282"	"2p6.3p"	"2P*"	"1/2"	"2p6.10s"	"2S"	"1/2"		"c31"	"L535"	
"1249.476"	""	"1.74e+05"	"4.08e-05"	C	"0.3258771"	"1.0551966"	"2p6.3p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"3/2"		"c31"	""	
"1249.477"	""	"1.06e+06"	"3.71e-04"	C	"0.3258771"	"1.0551961"	"2p6.3p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"5/2"		"c31"	""	
"1249.9358"	"8"	"7.64e+06"	"8.95e-04"	B	"0.3258771"	"1.0549282"	"2p6.3p"	"2P*"	"3/2"	"2p6.10s"	"2S"	"1/2"		"c31"	"L535"	
