ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"1591.001"	""	"3.0e-03"	""	E	"0.000000"	"0.572763"	"3d3"	"4F"	"3/2"	"3d3"	"2D1"	"3/2"	E2	"T233n"	""	
"1591.001"	""	"6.7e-02"	""	E	"0.000000"	"0.572763"	"3d3"	"4F"	"3/2"	"3d3"	"2D1"	"3/2"	M1	"T233"	""	
"1597.235"	""	"4.3e-03"	""	E	"0.000000"	"0.570528"	"3d3"	"4F"	"3/2"	"3d3"	"2D1"	"5/2"	M1	"T233"	""	
"1600.141"	""	"1.3e-01"	""	E	"0.003271"	"0.572763"	"3d3"	"4F"	"5/2"	"3d3"	"2D1"	"3/2"	M1	"T233"	""	
"1606.446"	""	"1.1e-02"	""	E	"0.003271"	"0.570528"	"3d3"	"4F"	"5/2"	"3d3"	"2D1"	"5/2"	M1	"T233"	""	
"1606.446"	""	"1.8e-03"	""	E	"0.003271"	"0.570528"	"3d3"	"4F"	"5/2"	"3d3"	"2D1"	"5/2"	E2	"T233n"	""	
"1612.425"	""	"8.5e-03"	""	E	"0.007610"	"0.572763"	"3d3"	"4F"	"7/2"	"3d3"	"2D1"	"3/2"	E2	"T233n"	""	
"1618.828"	""	"1.2e-01"	""	E	"0.007610"	"0.570528"	"3d3"	"4F"	"7/2"	"3d3"	"2D1"	"5/2"	M1	"T233"	""	
"1618.828"	""	"2.4e-03"	""	E	"0.007610"	"0.570528"	"3d3"	"4F"	"7/2"	"3d3"	"2D1"	"5/2"	E2	"T233n"	""	
"1634.094"	""	"3.5e-02"	""	E	"0.012869"	"0.570528"	"3d3"	"4F"	"9/2"	"3d3"	"2D1"	"5/2"	E2	"T233n"	""	
"2154.27"	""	"6.2e-02"	""	E	"0.149758"	"0.572763"	"3d3"	"4P"	"1/2"	"3d3"	"2D1"	"3/2"	M1	"T233"	""	
"2154.27"	""	"1.7e-02"	""	E	"0.149758"	"0.572763"	"3d3"	"4P"	"1/2"	"3d3"	"2D1"	"3/2"	E2	"T233n"	""	
"2161.75"	""	"2.4e-01"	""	E	"0.151221"	"0.572763"	"3d3"	"4P"	"3/2"	"3d3"	"2D1"	"3/2"	M1	"T233"	""	
"2161.75"	""	"5.2e-02"	""	E	"0.151221"	"0.572763"	"3d3"	"4P"	"3/2"	"3d3"	"2D1"	"3/2"	E2	"T233n"	""	
"2165.71"	""	"5.0e-03"	""	E	"0.149758"	"0.570528"	"3d3"	"4P"	"1/2"	"3d3"	"2D1"	"5/2"	E2	"T233n"	""	
"2173.27"	""	"1.1e-01"	""	E	"0.151221"	"0.570528"	"3d3"	"4P"	"3/2"	"3d3"	"2D1"	"5/2"	M1	"T233"	""	
"2173.27"	""	"5.2e-02"	""	E	"0.151221"	"0.570528"	"3d3"	"4P"	"3/2"	"3d3"	"2D1"	"5/2"	E2	"T233n"	""	
"2183.17"	""	"5.5e-02"	""	E	"0.155358"	"0.572763"	"3d3"	"4P"	"5/2"	"3d3"	"2D1"	"3/2"	M1	"T233"	""	
"2194.93"	""	"6.2e-01"	""	E	"0.155358"	"0.570528"	"3d3"	"4P"	"5/2"	"3d3"	"2D1"	"5/2"	M1	"T233"	""	
"2224.14"	""	"1.2e+01"	""	E	"0.163048"	"0.572763"	"3d3"	"2G"	"7/2"	"3d3"	"2D1"	"3/2"	E2	"T233n"	""	
"2236.35"	""	"9.3e-01"	""	E	"0.163048"	"0.570528"	"3d3"	"2G"	"7/2"	"3d3"	"2D1"	"5/2"	E2	"T233n"	""	
"2261.96"	""	"1.1e+01"	""	E	"0.167662"	"0.570528"	"3d3"	"2G"	"9/2"	"3d3"	"2D1"	"5/2"	E2	"T233n"	""	
"2456.57"	""	"2.2e-03"	""	E	"0.000000"	"0.370950"	"3d3"	"4F"	"3/2"	"3d3"	"2F"	"5/2"	E2	"T233n"	""	
"2456.57"	""	"8.4e-02"	""	D	"0.000000"	"0.370950"	"3d3"	"4F"	"3/2"	"3d3"	"2F"	"5/2"	M1	"T233"	""	
"2478.43"	""	"1.3e-02"	""	D	"0.003271"	"0.370950"	"3d3"	"4F"	"5/2"	"3d3"	"2F"	"5/2"	M1	"T233"	""	
"2495.99"	""	"3.7e-02"	""	D	"0.003271"	"0.368364"	"3d3"	"4F"	"5/2"	"3d3"	"2F"	"7/2"	M1	"T233"	""	
