configuration	term	J	energy
3d5.4s2	a 6S	5/2	0.0
3d6.(5D).4s	a 6D	9/2	0.1553919
3d6.(5D).4s	a 6D	7/2	0.15748520000000002
3d6.(5D).4s	a 6D	5/2	0.15903
3d6.(5D).4s	a 6D	3/2	0.16009579999999998
3d6.(5D).4s	a 6D	1/2	0.1607215
3d5.(6S).4s.4p.(3P*)	z 8P*	5/2	0.1676956
3d5.(6S).4s.4p.(3P*)	z 8P*	7/2	0.16887270000000001
3d5.(6S).4s.4p.(3P*)	z 8P*	9/2	0.1704559
3d6.(5D).4s	a 4D	7/2	0.2122949
3d6.(5D).4s	a 4D	5/2	0.2145961
3d6.(5D).4s	a 4D	3/2	0.21614819999999998
3d6.(5D).4s	a 4D	1/2	0.21705349999999998
3d5.(6S).4s.4p.(3P*)	z 6P*	3/2	0.2258058
3d5.(6S).4s.4p.(3P*)	z 6P*	5/2	0.2258853
3d5.(6S).4s.4p.(3P*)	z 6P*	7/2	0.22601469999999999
3d5.4s2	a 4G	11/2	0.2302384
3d5.4s2	a 4G	5/2	0.23037779999999997
3d5.4s2	a 4G	9/2	0.23041779999999998
3d5.4s2	a 4G	7/2	0.2304388
3d5.4s2	a 4P	5/2	0.24787870000000004
3d5.4s2	a 4P	3/2	0.248302
3d5.4s2	a 4P	1/2	0.2486105
3d5.4s2	b 4D	7/2	0.2766079
3d5.4s2	b 4D	1/2	0.2771322
3d5.4s2	b 4D	5/2	0.2772039
3d5.4s2	b 4D	3/2	0.2772595
3d5.(6S).4s.4p.(3P*)	z 4P*	5/2	0.2825033
3d5.(6S).4s.4p.(3P*)	z 4P*	3/2	0.28318920000000003
3d5.(6S).4s.4p.(3P*)	z 4P*	1/2	0.28363140000000003
3d6.(3P2).4s	b 4P	5/2	0.30824050000000003
3d6.(3H).4s	a 4H	13/2	0.31109640000000005
3d6.(3H).4s	a 4H	11/2	0.3121137
3d6.(3H).4s	a 4H	9/2	0.3129646
3d6.(3H).4s	a 4H	7/2	0.3136879
3d6.(3P2).4s	b 4P	3/2	0.3140533
3d6.(3P2).4s	b 4P	1/2	0.3175334
3d6.(3F2).4s	a 4F	9/2	0.3183849
3d6.(3F2).4s	a 4F	7/2	0.3193205
3d6.(3F2).4s	a 4F	5/2	0.31999120000000003
3d6.(3F2).4s	a 4F	3/2	0.3204475
3d5.(6S).4s.4p.(1P*)	y 6P*	3/2	0.325231
3d5.(6S).4s.4p.(1P*)	y 6P*	5/2	0.3255579
3d5.(6S).4s.4p.(1P*)	y 6P*	7/2	0.32595999999999997
3d5.4s2	a 2I	11/2	0.33852350000000003
3d5.4s2	a 2I	13/2	0.3386656
3d6.(3G).4s	b 4G	11/2	0.3409983
3d6.(3P2).4s	a 2P	3/2	0.3425091
3d6.(3G).4s	b 4G	9/2	0.34291540000000004
3d6.(3G).4s	b 4G	7/2	0.3438869
3d6.(3G).4s	b 4G	5/2	0.3443672
3d6.(3H).4s	a 2H	11/2	0.34636079999999997
3d6.(3H).4s	a 2H	9/2	0.3473766
3d6.(3P2).4s	a 2P	1/2	0.34948709999999994
3d6.(3F2).4s	a 2F	7/2	0.3523833
3d6.(3F2).4s	a 2F	5/2	0.3548013
3d5.4s.(7S).5s	e 8S	7/2	0.3593245
3d6.(3G).4s	a 2G	9/2	0.3739064
3d6.(3G).4s	a 2G	7/2	0.37571809999999994
3d5.4s.(7S).5s	e 6S	5/2	0.37730040000000004
