Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Reference
"1s2.2s2"	"1S"	"0"	""	"0.000000"	""	""	"L7288"
"1s2.2s.2p"	"3P*"	"0"	""	"0.612455"	""	""	""
"1s2.2s.2p"	"3P*"	"1"	""	"0.613030"	""	""	""
"1s2.2s.2p"	"3P*"	"2"	""	"0.614343"	""	""	""
"1s2.2s.2p"	"1P*"	"1"	""	"1.190970"	""	""	""
"1s2.2p2"	"3P"	"0"	""	"1.599596"	""	""	""
"1s2.2p2"	"3P"	"1"	""	"1.600259"	""	""	""
"1s2.2p2"	"3P"	"2"	""	"1.601396"	""	""	""
"1s2.2p2"	"1D"	"2"	""	"1.721224"	""	""	""
"1s2.2p2"	"1S"	"0"	""	"2.144843"	""	""	""
"1s2.2s.3s"	"3S"	"1"	""	"3.438072"	""	""	""
"1s2.2s.3s"	"1S"	"0"	""	"3.543504"	""	""	""
"1s2.2s.3p"	"1P*"	"1"	""	"3.686279"	""	""	""
"1s2.2s.3p"	"3P*"	"0"	""	"3.699485"	""	""	""
"1s2.2s.3p"	"3P*"	"1"	""	"3.699630"	""	""	""
"1s2.2s.3p"	"3P*"	"2"	""	"3.699952"	""	""	""
"1s2.2s.3d"	"3D"	"1"	""	"3.827739"	""	""	""
"1s2.2s.3d"	"3D"	"2"	""	"3.827774"	""	""	""
"1s2.2s.3d"	"3D"	"3"	""	"3.827850"	""	""	""
"1s2.2s.3d"	"1D"	"2"	""	"3.910790"	""	""	""
"1s2.2p.(2P*).3s"	"3P*"	"0"	""	"4.240051"	""	""	""
"1s2.2p.(2P*).3s"	"3P*"	"1"	""	"4.240773"	""	""	""
"1s2.2p.(2P*).3s"	"3P*"	"2"	""	"4.242282"	""	""	""
"1s2.2p.(2P*<3/2>).3s"	"1P*"	"1"	""	"4.310560"	""	""	""
"1s2.2p.(2P*<1/2>).3p"	"1P"	"1"	""	"4.382139"	""	""	""
"1s2.2p.(2P*).3p"	"3D"	"1"	""	"4.415072"	""	""	""
"1s2.2p.(2P*).3p"	"3D"	"2"	""	"4.415954"	""	""	""
"1s2.2p.(2P*).3p"	"3D"	"3"	""	"4.417332"	""	""	""
"1s2.2s.4s"	"3S"	"1"	""	"4.443406"	""	""	""
"1s2.2p.(2P*).3p"	"3P"	"0"	""	"4.503966"	""	""	""
