ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"131.248"	""	"3.88e+08"	"2.00e-03"	B	"0.000000"	"[6.943110]"	"1s2.2s"	"2S"	"1/2"	"1s2.10p"	"2P*"	"3/2"		"T3225LS"	""	
"131.248"	""	"3.88e+08"	"1.00e-03"	B	"0.000000"	"[6.943092]"	"1s2.2s"	"2S"	"1/2"	"1s2.10p"	"2P*"	"1/2"		"T3225LS"	""	
"132.378"	""	"5.31e+08"	"2.79e-03"	B	"0.000000"	"[6.883842]"	"1s2.2s"	"2S"	"1/2"	"1s2.9p"	"2P*"	"3/2"		"T3225LS"	""	
"132.378"	""	"5.31e+08"	"1.40e-03"	B	"0.000000"	"[6.883816]"	"1s2.2s"	"2S"	"1/2"	"1s2.9p"	"2P*"	"1/2"		"T3225LS"	""	
"133.993"	""	"7.72e+08"	"2.08e-03"	B	"0.000000"	"[6.800841]"	"1s2.2s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"1/2"		"T5118LS"	""	
"133.993"	""	"7.72e+08"	"4.16e-03"	B	"0.000000"	"[6.800876]"	"1s2.2s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"3/2"		"T5118LS"	""	
"136.424"	""	"1.14e+09"	"6.36e-03"	B	"0.000000"	"[6.679671]"	"1s2.2s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"3/2"		"T5118LS"	""	
"136.425"	""	"1.14e+09"	"3.18e-03"	B	"0.000000"	"[6.679618]"	"1s2.2s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"1/2"		"T5118LS"	""	
"140.356"	""	"1.80e+09"	"1.06e-02"	B	"0.000000"	"6.492528"	"1s2.2s"	"2S"	"1/2"	"1s2.6p"	"2P*"	"3/2"		"T5118LS"	""	
"140.358"	""	"1.80e+09"	"5.32e-03"	B	"0.000000"	"6.492442"	"1s2.2s"	"2S"	"1/2"	"1s2.6p"	"2P*"	"1/2"		"T5118LS"	""	
"146.717"	""	"6.07e+08"	"3.92e-03"	B	"0.733235"	"6.94429"	"1s2.2p"	"2P*"	"1/2"	"1s2.10d"	"2D"	"3/2"		"T3225LS"	""	
"146.768"	""	"7.28e+08"	"3.53e-03"	B	"0.735592"	"6.94450"	"1s2.2p"	"2P*"	"3/2"	"1s2.10d"	"2D"	"5/2"		"T3225LS"	""	
"146.773"	""	"1.21e+08"	"3.91e-04"	B	"0.735592"	"6.94429"	"1s2.2p"	"2P*"	"3/2"	"1s2.10d"	"2D"	"3/2"		"T3225LS"	""	
"146.860"	""	"6.23e+07"	"2.01e-04"	B	"0.733235"	"[6.938230]"	"1s2.2p"	"2P*"	"1/2"	"1s2.10s"	"2S"	"1/2"		"T3225LS"	""	
"146.916"	""	"1.24e+08"	"2.01e-04"	B	"0.735592"	"[6.938230]"	"1s2.2p"	"2P*"	"3/2"	"1s2.10s"	"2S"	"1/2"		"T3225LS"	""	
"147.424"	""	"3.07e+09"	"2.00e-02"	B+	"0.000000"	"6.181275"	"1s2.2s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"3/2"		"T5118LS"	""	
"147.427"	""	"3.07e+09"	"1.00e-02"	B+	"0.000000"	"6.181128"	"1s2.2s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"1/2"		"T5118LS"	""	
"148.116"	""	"8.42e+08"	"5.54e-03"	B	"0.733235"	"6.88561"	"1s2.2p"	"2P*"	"1/2"	"1s2.9d"	"2D"	"3/2"		"T3225LS"	""	
"148.168"	""	"1.01e+09"	"4.99e-03"	B	"0.735592"	"6.88583"	"1s2.2p"	"2P*"	"3/2"	"1s2.9d"	"2D"	"5/2"		"T3225LS"	""	
"148.173"	""	"1.68e+08"	"5.53e-04"	B	"0.735592"	"6.88561"	"1s2.2p"	"2P*"	"3/2"	"1s2.9d"	"2D"	"3/2"		"T3225LS"	""	
"148.321"	""	"8.60e+07"	"2.84e-04"	B	"0.733235"	"[6.877123]"	"1s2.2p"	"2P*"	"1/2"	"1s2.9s"	"2S"	"1/2"		"T3225LS"	""	
"148.378"	""	"1.72e+08"	"2.84e-04"	B	"0.735592"	"[6.877123]"	"1s2.2p"	"2P*"	"3/2"	"1s2.9s"	"2S"	"1/2"		"T3225LS"	""	
"150.108"	""	"1.21e+09"	"8.17e-03"	B+	"0.733235"	"[6.803962]"	"1s2.2p"	"2P*"	"1/2"	"1s2.8d"	"2D"	"3/2"		"T5118LS"	""	
"150.166"	""	"1.45e+09"	"7.35e-03"	B+	"0.735592"	"[6.803973]"	"1s2.2p"	"2P*"	"3/2"	"1s2.8d"	"2D"	"5/2"		"T5118LS"	""	
"150.167"	""	"2.42e+08"	"8.18e-04"	B+	"0.735592"	"[6.803962]"	"1s2.2p"	"2P*"	"3/2"	"1s2.8d"	"2D"	"3/2"		"T5118LS"	""	
"150.423"	""	"1.29e+08"	"4.38e-04"	B	"0.733235"	"[6.791269]"	"1s2.2p"	"2P*"	"1/2"	"1s2.8s"	"2S"	"1/2"		"T5118LS"	""	
"150.481"	""	"2.58e+08"	"4.38e-04"	B	"0.735592"	"[6.791269]"	"1s2.2p"	"2P*"	"3/2"	"1s2.8s"	"2S"	"1/2"		"T5118LS"	""	
"153.127"	""	"1.84e+09"	"1.29e-02"	B+	"0.733235"	"[6.684284]"	"1s2.2p"	"2P*"	"1/2"	"1s2.7d"	"2D"	"3/2"		"T5118LS"	""	
"153.187"	""	"2.21e+09"	"1.17e-02"	B+	"0.735592"	"[6.684301]"	"1s2.2p"	"2P*"	"3/2"	"1s2.7d"	"2D"	"5/2"		"T5118LS"	""	
"153.188"	""	"3.68e+08"	"1.29e-03"	B+	"0.735592"	"[6.684284]"	"1s2.2p"	"2P*"	"3/2"	"1s2.7d"	"2D"	"3/2"		"T5118LS"	""	
"153.619"	""	"1.96e+08"	"6.93e-04"	B	"0.733235"	"6.665239"	"1s2.2p"	"2P*"	"1/2"	"1s2.7s"	"2S"	"1/2"		"T5118LS"	""	
"153.680"	""	"3.91e+08"	"6.92e-04"	B	"0.735592"	"6.665239"	"1s2.2p"	"2P*"	"3/2"	"1s2.7s"	"2S"	"1/2"		"T5118LS"	""	
"158.024"	""	"3.02e+09"	"2.26e-02"	A	"0.733235"	"6.499879"	"1s2.2p"	"2P*"	"1/2"	"1s2.6d"	"2D"	"3/2"		"T5118LS"	""	
"158.088"	""	"6.03e+08"	"2.26e-03"	A	"0.735592"	"6.499879"	"1s2.2p"	"2P*"	"3/2"	"1s2.6d"	"2D"	"3/2"		"T5118LS"	""	
"158.088"	""	"3.62e+09"	"2.03e-02"	A	"0.735592"	"6.499899"	"1s2.2p"	"2P*"	"3/2"	"1s2.6d"	"2D"	"5/2"		"T5118LS"	""	
"158.862"	""	"3.12e+08"	"1.18e-03"	B	"0.733235"	"6.469442"	"1s2.2p"	"2P*"	"1/2"	"1s2.6s"	"2S"	"1/2"		"T5118LS"	""	
"158.928"	""	"6.23e+08"	"1.18e-03"	B	"0.735592"	"6.469442"	"1s2.2p"	"2P*"	"3/2"	"1s2.6s"	"2S"	"1/2"		"T5118LS"	""	
"162.556"	""	"5.79e+09"	"4.59e-02"	A	"0.000000"	"5.605876"	"1s2.2s"	"2S"	"1/2"	"1s2.4p"	"2P*"	"3/2"		"T5118LS"	""	
"162.564"	""	"5.79e+09"	"2.29e-02"	A	"0.000000"	"5.605577"	"1s2.2s"	"2S"	"1/2"	"1s2.4p"	"2P*"	"1/2"		"T5118LS"	""	
"166.875"	""	"5.48e+09"	"4.58e-02"	A	"0.733235"	"[6.193998]"	"1s2.2p"	"2P*"	"1/2"	"1s2.5d"	"2D"	"3/2"		"T5118LS"	""	
"166.946"	"52*"	"6.57e+09"	"4.12e-02"	A	"0.735592"	"6.194043"	"1s2.2p"	"2P*"	"3/2"	"1s2.5d"	"2D"	"5/2"		"T5118LS"	"L3543"	
"166.947"	"52*"	"1.10e+09"	"4.60e-03"	A	"0.735592"	"[6.193998]"	"1s2.2p"	"2P*"	"3/2"	"1s2.5d"	"2D"	"3/2"		"T5118LS"	"L3543"	
"168.514"	""	"5.57e+08"	"2.37e-03"	B	"0.733235"	"6.140903"	"1s2.2p"	"2P*"	"1/2"	"1s2.5s"	"2S"	"1/2"		"T5118LS"	""	
"168.587"	""	"1.11e+09"	"2.36e-03"	B	"0.735592"	"6.140903"	"1s2.2p"	"2P*"	"3/2"	"1s2.5s"	"2S"	"1/2"		"T5118LS"	""	
"186.063"	"52"	"1.18e+10"	"1.22e-01"	A	"0.733235"	"5.630868"	"1s2.2p"	"2P*"	"1/2"	"1s2.4d"	"2D"	"3/2"		"T5118LS"	"L3543"	
"186.149"	"62*"	"1.42e+10"	"1.11e-01"	A	"0.735592"	"5.630951"	"1s2.2p"	"2P*"	"3/2"	"1s2.4d"	"2D"	"5/2"		"T5118LS"	"L3543"	
"186.152"	"62*"	"2.36e+09"	"1.23e-02"	A	"0.735592"	"5.630868"	"1s2.2p"	"2P*"	"3/2"	"1s2.4d"	"2D"	"3/2"		"T5118LS"	"L3543"	
"190.155"	""	"1.15e+09"	"6.23e-03"	B+	"0.733235"	"5.525457"	"1s2.2p"	"2P*"	"1/2"	"1s2.4s"	"2S"	"1/2"		"T5118LS"	""	
"190.249"	""	"2.30e+09"	"6.24e-03"	B+	"0.735592"	"5.525457"	"1s2.2p"	"2P*"	"3/2"	"1s2.4s"	"2S"	"1/2"		"T5118LS"	""	
"209.274"	""	"1.21e+10"	"1.59e-01"	A	"0.000000"	"4.354417"	"1s2.2s"	"2S"	"1/2"	"1s2.3p"	"2P*"	"3/2"		"T5118LS"	""	
"209.308"	"90"	"1.21e+10"	"7.95e-02"	A	"0.000000"	"4.353721"	"1s2.2s"	"2S"	"1/2"	"1s2.3p"	"2P*"	"1/2"		"T5118LS"	"L3492"	
"247.561"	"90"	"3.55e+10"	"6.52e-01"	A	"0.733235"	"4.414217"	"1s2.2p"	"2P*"	"1/2"	"1s2.3d"	"2D"	"3/2"		"T5118LS"	"L4829"	
"247.706"	"120"	"4.26e+10"	"5.88e-01"	A	"0.735592"	"4.414417"	"1s2.2p"	"2P*"	"3/2"	"1s2.3d"	"2D"	"5/2"		"T5118LS"	"L4829"	
"247.719"	""	"7.09e+09"	"6.52e-02"	A	"0.735592"	"4.414217"	"1s2.2p"	"2P*"	"3/2"	"1s2.3d"	"2D"	"3/2"		"T5118LS"	""	
