ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"19.117875293"	"0.000000022"	""	"4.7392e+10"	"5.1936e-03"	AA	"0.00000000"	"(47.665707441)"	"1s"	"2S"	"1/2"	"6p"	"2P*"	"3/2"		"T7771"	""	
"19.117994445"	"0.000000022"	""	"4.7353e+10"	"2.5947e-03"	AA	"0.00000000"	"(47.665410365)"	"1s"	"2S"	"1/2"	"6p"	"2P*"	"1/2"		"T7771"	""	
"19.361181681"	"0.000000023"	""	"8.2580e+10"	"9.2816e-03"	AA	"0.00000000"	"(47.066706237)"	"1s"	"2S"	"1/2"	"5p"	"2P*"	"3/2"		"T7771"	""	
"19.361392863"	"0.000000023"	""	"8.2520e+10"	"4.6376e-03"	AA	"0.00000000"	"(47.066192864)"	"1s"	"2S"	"1/2"	"5p"	"2P*"	"1/2"		"T7771"	""	
"19.825676053"	"0.000000024"	""	"1.6380e+11"	"1.9305e-02"	AA	"0.00000000"	"(45.963983681)"	"1s"	"2S"	"1/2"	"4p"	"2P*"	"3/2"		"T7771"	""	
"19.826108575"	"0.000000025"	""	"1.6372e+11"	"9.6482e-03"	AA	"0.00000000"	"(45.962980941)"	"1s"	"2S"	"1/2"	"4p"	"2P*"	"1/2"		"T7771"	""	
"20.90945682"	"0.00000003"	""	"4.0176e+11"	"5.2668e-02"	AA	"0.00000000"	"(43.581574529)"	"1s"	"2S"	"1/2"	"3p"	"2P*"	"3/2"		"T7771"	""	
"20.91059731"	"0.00000003"	""	"4.0171e+11"	"2.6333e-02"	AA	"0.00000000"	"(43.57919753)"	"1s"	"2S"	"1/2"	"3p"	"2P*"	"1/2"		"T7771"	""	
"24.77920351"	"0.00000005"	""	"1.5044e+12"	"2.7697e-01"	AA	"0.00000000"	"(36.775477879)"	"1s"	"2S"	"1/2"	"2p"	"2P*"	"3/2"		"T7771"	""	
"24.78460996"	"0.00000005"	""	"1.5057e+12"	"1.3867e-01"	AA	"0.00000000"	"(36.767455769)"	"1s"	"2S"	"1/2"	"2p"	"2P*"	"1/2"		"T7771"	""	
"83.6158974"	"0.0000004"	""	"1.0326e+10"	"2.1647e-02"	AA	"(36.767455769)"	"(47.665706929)"	"2p"	"2P*"	"1/2"	"6d"	"2D"	"3/2"		"T7771"	""	
"83.6180537"	"0.0000004"	""	"5.8968e+08"	"6.1812e-04"	AA	"(36.767455769)"	"(47.665425890)"	"2p"	"2P*"	"1/2"	"6s"	"2S"	"1/2"		"T7771"	""	
"83.6190681"	"0.0000004"	""	"6.8698e+09"	"1.4403e-02"	AA	"(36.76786953)"	"(47.665707441)"	"2s"	"2S"	"1/2"	"6p"	"2P*"	"3/2"		"T7771"	""	
"83.6213477"	"0.0000004"	""	"6.8763e+09"	"7.2085e-03"	AA	"(36.76786953)"	"(47.665410365)"	"2s"	"2S"	"1/2"	"6p"	"2P*"	"1/2"		"T7771"	""	
"83.6767315"	"0.0000004"	""	"1.2365e+10"	"1.9469e-02"	AA	"(36.775477879)"	"(47.665805858)"	"2p"	"2P*"	"3/2"	"6d"	"2D"	"5/2"		"T7771"	""	
"83.6774917"	"0.0000004"	""	"2.0592e+09"	"2.1616e-03"	AA	"(36.775477879)"	"(47.665706929)"	"2p"	"2P*"	"3/2"	"6d"	"2D"	"3/2"		"T7771"	""	
"83.6796511"	"0.0000004"	""	"1.1853e+09"	"6.2213e-04"	AA	"(36.775477879)"	"(47.665425890)"	"2p"	"2P*"	"3/2"	"6s"	"2S"	"1/2"		"T7771"	""	
"88.4789753"	"0.0000005"	""	"1.8914e+10"	"4.4397e-02"	AA	"(36.767455769)"	"(47.066705359)"	"2p"	"2P*"	"1/2"	"5d"	"2D"	"3/2"		"T7771"	""	
"88.4825225"	"0.0000005"	""	"1.1892e+10"	"2.7917e-02"	AA	"(36.76786953)"	"(47.066706237)"	"2s"	"2S"	"1/2"	"5p"	"2P*"	"3/2"		"T7771"	""	
"88.4831480"	"0.0000005"	""	"1.0339e+09"	"1.2135e-03"	AA	"(36.767455769)"	"(47.066219666)"	"2p"	"2P*"	"1/2"	"5s"	"2S"	"1/2"		"T7771"	""	
"88.4869334"	"0.0000005"	""	"1.1905e+10"	"1.3975e-02"	AA	"(36.76786953)"	"(47.066192864)"	"2s"	"2S"	"1/2"	"5p"	"2P*"	"1/2"		"T7771"	""	
"88.5464747"	"0.0000005"	""	"2.2653e+10"	"3.9940e-02"	AA	"(36.775477879)"	"(47.066876310)"	"2p"	"2P*"	"3/2"	"5d"	"2D"	"5/2"		"T7771"	""	
"88.5479455"	"0.0000005"	""	"3.7728e+09"	"4.4348e-03"	AA	"(36.775477879)"	"(47.066705359)"	"2p"	"2P*"	"3/2"	"5d"	"2D"	"3/2"		"T7771"	""	
"88.5521248"	"0.0000005"	""	"2.0782e+09"	"1.2215e-03"	AA	"(36.775477879)"	"(47.066219666)"	"2p"	"2P*"	"3/2"	"5s"	"2S"	"1/2"		"T7771"	""	
"99.0881806"	"0.0000006"	""	"4.1381e+10"	"1.2182e-01"	AA	"(36.767455769)"	"(45.963981986)"	"2p"	"2P*"	"1/2"	"4d"	"2D"	"3/2"		"T7771"	""	
"99.0926206"	"0.0000006"	""	"2.3231e+10"	"6.8397e-02"	AA	"(36.76786953)"	"(45.963983681)"	"2s"	"2S"	"1/2"	"4p"	"2P*"	"3/2"		"T7771"	""	
