ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"437.265"	""	"4.43e+08"	"3.81e-02"	C+	"0.000000"	"2.0840158"	"2s2.2p2"	"3P"	"0"	"2s.2p2.(4P).3p"	"3D*"	"1"		"T5520LS"	""	
"437.286"	""	"5.98e+08"	"2.86e-02"	C+	"0.000444"	"2.0843576"	"2s2.2p2"	"3P"	"1"	"2s.2p2.(4P).3p"	"3D*"	"2"		"T5520LS"	""	
"437.329"	""	"7.97e+08"	"3.20e-02"	C+	"0.001192"	"2.0849046"	"2s2.2p2"	"3P"	"2"	"2s.2p2.(4P).3p"	"3D*"	"3"		"T5520LS"	""	
"437.358"	""	"3.32e+08"	"9.52e-03"	C+	"0.000444"	"2.0840158"	"2s2.2p2"	"3P"	"1"	"2s.2p2.(4P).3p"	"3D*"	"1"		"T5520LS"	""	
"437.443"	""	"1.99e+08"	"5.71e-03"	C+	"0.001192"	"2.0843576"	"2s2.2p2"	"3P"	"2"	"2s.2p2.(4P).3p"	"3D*"	"2"		"T5520LS"	""	
"437.515"	""	"2.21e+07"	"3.81e-04"	D	"0.001192"	"2.0840158"	"2s2.2p2"	"3P"	"2"	"2s.2p2.(4P).3p"	"3D*"	"1"		"T5520LS"	""	
"474.493"	""	"4.30e+08"	"4.35e-02"	C+	"0.000000"	"1.9205083"	"2s2.2p2"	"3P"	"0"	"2s2.2p.4d"	"3P*"	"1"		"T5520LS"	""	
"474.546"	""	"1.29e+09"	"1.45e-02"	C+	"0.000444"	"1.9207363"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4d"	"3P*"	"0"		"T5520LS"	""	
"474.602"	""	"3.22e+08"	"1.09e-02"	C+	"0.000444"	"1.9205083"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4d"	"3P*"	"1"		"T5520LS"	""	
"474.706"	""	"3.22e+08"	"1.81e-02"	C+	"0.000444"	"1.9200876"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4d"	"3P*"	"2"		"T5520LS"	""	
"474.787"	""	"5.37e+08"	"1.09e-02"	C+	"0.001192"	"1.9205083"	"2s2.2p2"	"3P"	"2"	"2s2.2p.4d"	"3P*"	"1"		"T5520LS"	""	
"474.891"	""	"9.66e+08"	"3.27e-02"	C+	"0.001192"	"1.9200876"	"2s2.2p2"	"3P"	"2"	"2s2.2p.4d"	"3P*"	"2"		"T5520LS"	""	
"475.647"	""	"1.17e+09"	"1.19e-01"	C+	"0.000000"	"1.9158463"	"2s2.2p2"	"3P"	"0"	"2s2.2p.4d"	"3D*"	"1"		"T5520LS"	""	
"475.698"	""	"1.58e+09"	"8.93e-02"	C+	"0.000444"	"1.9160851"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4d"	"3D*"	"2"		"T5520LS"	""	
"475.757"	""	"8.75e+08"	"2.97e-02"	C+	"0.000444"	"1.9158463"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4d"	"3D*"	"1"		"T5520LS"	""	
"475.803"	""	"2.10e+09"	"9.98e-02"	C+	"0.001192"	"1.9164099"	"2s2.2p2"	"3P"	"2"	"2s2.2p.4d"	"3D*"	"3"		"T5520LS"	""	
"475.884"	""	"5.25e+08"	"1.78e-02"	C+	"0.001192"	"1.9160851"	"2s2.2p2"	"3P"	"2"	"2s2.2p.4d"	"3D*"	"2"		"T5520LS"	""	
"475.943"	""	"5.83e+07"	"1.19e-03"	C	"0.001192"	"1.9158463"	"2s2.2p2"	"3P"	"2"	"2s2.2p.4d"	"3D*"	"1"		"T5520LS"	""	
"485.849"	""	"9.79e+08"	"4.85e-02"	B	"0.139571"	"2.0151906"	"2s2.2p2"	"1D"	"2"	"2s2.2p.5d"	"1F*"	"3"		"T5520"	""	
"487.379"	""	"6.32e+08"	"2.25e-02"	B	"0.139571"	"2.0093016"	"2s2.2p2"	"1D"	"2"	"2s2.2p.5d"	"1D*"	"2"		"T5520"	""	
"505.986"	""	"4.51e+09"	"1.04e-01"	C+	"0.426333"	"2.2273054"	"2s.2p3"	"5S*"	"2"	"2s.2p2.(4P).3d"	"5P"	"1"		"T5520LS"	""	
"506.054"	""	"4.51e+09"	"1.73e-01"	C+	"0.426333"	"2.2270627"	"2s.2p3"	"5S*"	"2"	"2s.2p2.(4P).3d"	"5P"	"2"		"T5520LS"	""	
"506.153"	""	"4.51e+09"	"2.43e-01"	C+	"0.426333"	"2.2267112"	"2s.2p3"	"5S*"	"2"	"2s.2p2.(4P).3d"	"5P"	"3"		"T5520LS"	""	
"508.484"	""	"6.47e+07"	"4.18e-03"	B	"0.000444"	"1.7925674"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4s"	"3P*"	"2"		"T6385n"	""	
"508.668"	""	"8.45e+07"	"9.83e-03"	B	"0.000000"	"1.7914788"	"2s2.2p2"	"3P"	"0"	"2s2.2p.4s"	"3P*"	"1"		"T6385n"	""	
"508.697"	""	"1.91e+08"	"7.41e-03"	B	"0.001192"	"1.7925674"	"2s2.2p2"	"3P"	"2"	"2s2.2p.4s"	"3P*"	"2"		"T6385n"	""	
"508.794"	""	"6.26e+07"	"2.43e-03"	B	"0.000444"	"1.7914788"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4s"	"3P*"	"1"		"T6385n"	""	
"508.928"	""	"2.51e+08"	"3.25e-03"	B	"0.000444"	"1.7910064"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4s"	"3P*"	"0"		"T6385n"	""	
"509.006"	""	"1.05e+08"	"2.45e-03"	B	"0.001192"	"1.7914788"	"2s2.2p2"	"3P"	"2"	"2s2.2p.4s"	"3P*"	"1"		"T6385n"	""	
"510.758"	""	"1.87e+09"	"1.02e-01"	B	"0.139571"	"1.9237178"	"2s2.2p2"	"1D"	"2"	"2s2.2p.4d"	"1F*"	"3"		"T5520"	""	
