configuration	term	J	energy
1s2	1S		0.0
1s.2s	3S		81.42507
1s.2s	1S		82.269384
1s.2p	3P*	0	82.2180262
1s.2p	3P*	1	82.2227922
1s.2p	3P*	2	82.2447282
1s.2p	1P*		82.822648
1s.3s	3S		96.2202
1s.3p	3P*		96.44234
1s.3s	1S		96.44332
1s.3d	3D		96.565
1s.3d	1D		96.5713
1s.3p	1P*		96.60415
1s.4s	3S		101.28792
1s.4p	3P*		101.37939
1s.4s	1S		101.37833
1s.4d	3D		101.42985
1s.4d	1D		101.43329
1s.4f	3F*		101.4336
1s.4f	1F*		101.43365
1s.4p	1P*		101.44583
1s.5s	3S		103.61003
1s.5p	3P*		103.65626
1s.5s	1S		103.65542
1s.5d	3D		103.68184
1s.5d	1D		103.68382
1s.5f	3F*		103.68385
1s.5f	1F*		103.68388
1s.5p	1P*		103.68985
1s.6s	3S		104.86377
1s.6s	1S		104.88975
1s.6p	3P*		104.89036
1s.6d	3D		104.90509
1s.6f	3F*		104.90625
1s.6f	1F*		104.90627
1s.6d	1D		104.90631
1s.6p	1P*		104.90966
1s.7s	3S		105.61668
1s.7s	1S		105.63293
1s.7p	3P*		105.63335
1s.7p	1P*		105.64545
1s.8s	3S		106.10391
1s.8s	1S		106.11474
1s.8p	3P*		106.11505
1s.8p	1P*		106.12313
1s.9s	3S		106.43721
1s.9s	1S		106.44479
1s.9p	3P*		106.44502
1s.9p	1P*		106.45068
1s.10s	3S		106.67521
1s.10s	1S		106.68072
1s.10p	3P*		106.68089
1s.10p	1P*		106.68501
