configuration	term	J	energy
1s	2S		0.0
2s	2S		75.080208
2p	2P*		75.1010429
3s	2S		88.9945944
3p	2P*		89.0007655
3d	2D		89.0060331
4s	2S		93.863377
4p	2P*		93.8659795
4d	2D		93.8682015
4f	2F*		93.8691529
5s	2S		96.1163734
5p	2P*		96.1177055
5d	2D		96.1188431
5f	2F*		96.1193302
5g	2G		96.1196007
6s	2S		97.3399899
6p	2P*		97.3407607
6d	2D		97.341419
6f	2F*		97.3417008
6g	2G		97.3418574
6h	2H*		97.341957
7s	2S		98.0776837
7p	2P*		98.0781691
7d	2D		98.0785836
7f	2F*		98.0787611
7g	2G		98.0788597
7h	2H*		98.0789224
7i	2I		98.0789658
8s	2S		98.5564202
8p	2P*		98.5567453
8d	2D		98.5570229
8f	2F*		98.5571419
8g	2G		98.5572079
8h	2H*		98.5572499
8i	2I		98.557279
8k	2K*		98.5573004
9s	2S		98.88461
9p	2P*		98.8848383
9d	2D		98.8850333
9f	2F*		98.8851168
9g	2G		98.8851632
9h	2H*		98.8851927
9i	2I		98.8852131
9k	2K*		98.8852281
9l	2L		98.8852396
10s	2S		99.1193444
10p	2P*		99.1195108
10d	2D		99.119653
10f	2F*		99.1197139
10g	2G		99.1197477
10h	2H*		99.1197692
10i	2I		99.1197841
10k	2K*		99.119795
10l	2L		99.1198034
10m	2M*		99.11981
11s	2S		99.2930104
11p	2P*		99.2931355
11d	2D		99.2932423
11f	2F*		99.293288
11g	2G		99.2933134
11h	2H*		99.2933296
11i	2I		99.2933408
11k	2K*		99.293349
11l	2L		99.2933553
11m	2M*		99.2933602
11n	2N		99.2933642
