ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"460.72843"	"0.00019"	"2000"	"5.54e+09"	"8.81e-02"	B	"0.000000000"	"1.97788324"	"2s2.2p5"	"2P*"	"3/2"	"2s.2p6"	"2S"	"1/2"		"c46"	"L1406"	
"462.39102"	"0.00019"	"1000"	"2.70e+09"	"8.66e-02"	B	"0.007111747"	"1.97788324"	"2s2.2p5"	"2P*"	"1/2"	"2s.2p6"	"2S"	"1/2"		"c46"	"L1406"	
"1907.49450"	"0.00007"	"400"	"2.8e+07"	"7.6e-03"	D	"2.042031079"	"2.51976092"	"2s2.2p4.(3P).3s"	"2P"	"3/2"	"2s2.2p4.(1D).3p"	"2P*"	"1/2"		"T8043"	"L9088"	
"1916.08223"	"0.00007"	"1000"	"6.9e+07"	"3.8e-02"	D	"2.042031079"	"2.517619776"	"2s2.2p4.(3P).3s"	"2P"	"3/2"	"2s2.2p4.(1D).3p"	"2P*"	"3/2"		"T8043"	"L9088"	
"1930.03513"	"0.00012"	"600"	"5.7e+07"	"3.2e-02"	D	"2.047610425"	"2.51976092"	"2s2.2p4.(3P).3s"	"2P"	"1/2"	"2s2.2p4.(1D).3p"	"2P*"	"1/2"		"T8043"	"L9088"	
"1938.82749"	"0.00008"	"400"	"1.3e+07"	"1.5e-02"	D	"2.047610425"	"2.517619776"	"2s2.2p4.(3P).3s"	"2P"	"1/2"	"2s2.2p4.(1D).3p"	"2P*"	"3/2"		"T8043"	"L9088"	
"2847.17003"	"0.00016"	""	"3.5e+06"	"8.5e-03"	D	"2.247163410"	"2.567224045"	"2s2.2p4.(3P).3p"	"4P*"	"1/2"	"2s2.2p4.(3P).3d"	"2P"	"3/2"		"T380"	""	
"2854.35147"	"0.00011"	""	"2.5e+06"	"2.0e-03"	D	"1.996866422"	"2.316121797"	"2s2.2p4.(3P).3s"	"4P"	"5/2"	"2s2.2p4.(3P).3p"	"2P*"	"3/2"		"T380"	"L9088c153"	
"2858.86278"	"0.00016"	"100"	"7.9e+07"	"9.7e-02"	D	"2.243470341"	"2.562221928"	"2s2.2p4.(3P).3p"	"4P*"	"5/2"	"2s2.2p4.(3P).3d"	"4P"	"5/2"		"T380"	"L5951"	
"2870.79805"	"0.00016"	"80"	"1.5e+06"	"1.9e-03"	D	"2.243470341"	"2.560896727"	"2s2.2p4.(3P).3p"	"4P*"	"5/2"	"2s2.2p4.(3P).3d"	"2F"	"5/2"		"T380"	"L5951"	
