configuration	term	J	energy
3p6.3d8	3F	4	0.0
3p6.3d8	3F	3	0.0124
3p6.3d8	3F	2	0.020682
3p6.3d8	1D	2	0.127865
3p6.3d8	3P	2	0.151832
3p6.3d8	3P	1	0.15471300000000002
3p6.3d8	3P	0	0.15701800000000002
3p6.3d8	1G	4	0.21058200000000002
3p6.3d8	1S	0	0.478707
3p6.3d7.(4F).4s	5F	5	0.4893862
3p6.3d7.(4F).4s	5F	4	0.49807879999999993
3p6.3d7.(4F).4s	5F	3	0.5048992999999999
3p6.3d7.(4F).4s	5F	2	0.5098741
3p6.3d7.(4F).4s	5F	1	0.5131184
3p6.3d7.(4F).4s	3F	4	0.5589583
3p6.3d7.(4F).4s	3F	3	0.570504
3p6.3d7.(4F).4s	3F	2	0.5783988
3p6.3d7.(4P).4s	5P	3	0.6476133000000001
3p6.3d7.(4P).4s	5P	2	0.6504998000000001
3p6.3d7.(4P).4s	5P	1	0.6546763000000001
3p6.3d7.(2G).4s	3G	5	0.6845770999999999
3p6.3d7.(2G).4s	3G	4	0.6893425999999999
3p6.3d7.(2G).4s	3G	3	0.6947249
3p6.3d7.(4P).4s	3P	2	0.7135544
3p6.3d7.(4P).4s	3P	1	0.7151845
3p6.3d7.(4P).4s	3P	0	0.7167803
3p6.3d7.(2P).4s	3P	2	0.7212042
3p6.3d7.(2G).4s	1G	4	0.7221801
3p6.3d7.(2P).4s	3P	1	0.7267284
3p6.3d7.(2P).4s	3P	0	0.7346735
3p6.3d7.(2H).4s	3H	6	0.7443849
3p6.3d7.(a 2D).4s	3D	3	0.7488118
3p6.3d7.(2H).4s	3H	5	0.749005
3p6.3d7.(a 2D).4s	3D	1	0.7497656
3p6.3d7.(2H).4s	3H	4	0.7547696999999999
3p6.3d7.(a 2D).4s	3D	2	0.7566565
3p6.3d7.(2P).4s	1P	1	0.7709693
3p6.3d7.(2H).4s	1H	5	0.7821788000000001
3p6.3d7.(a 2D).4s	1D	2	0.7895754
3p6.3d7.(2F).4s	3F	2	0.8915983000000001
3p6.3d7.(2F).4s	3F	3	0.8930035
3p6.3d7.(2F).4s	3F	4	0.8952099
3p6.3d7.(2F).4s	1F	3	0.9290814000000001
3p6.3d7.(4F).4p	5F*	5	1.0043328999999999
3p6.3d7.(4F).4p	5F*	4	1.0057777
3p6.3d7.(4F).4p	5F*	3	1.0135220999999999
3p6.3d7.(4F).4p	5D*	4	1.0196955
3p6.3d7.(4F).4p	5F*	2	1.0198402
3p6.3d7.(4F).4p	5F*	1	1.0242792
3p6.3d7.(4F).4p	5G*	6	1.0277985
3p6.3d7.(4F).4p	5D*	3	1.0291434000000002
3p6.3d7.(4F).4p	5G*	5	1.0310158999999999
3p6.3d7.(4F).4p	5D*	2	1.0356684
3p6.3d7.(4F).4p	5G*	4	1.0361573
3p6.3d7.(4F).4p	5D*	1	1.0397155999999999
3p6.3d7.(4F).4p	5G*	3	1.0398486999999998
3p6.3d7.(4F).4p	5D*	0	1.0415368
3p6.3d7.(4F).4p	5G*	2	1.0422253000000001
3p6.3d7.(4F).4p	3G*	5	1.0504381
3p6.3d7.(4F).4p	3F*	4	1.0588188
3p6.3d7.(4F).4p	3G*	4	1.0632153
3p6.3d7.(4F).4p	3F*	3	1.0684679
3p6.3d7.(4F).4p	3G*	3	1.0717079
3p6.3d7.(4F).4p	3F*	2	1.0763426
3p6.3d7.(4F).4p	3D*	3	1.0820863
3p6.3d7.(4F).4p	3D*	2	1.0905091
3p6.3d7.(4F).4p	3D*	1	1.0960020000000001
3p6.3d7.(b 2D).4s	3D	1	1.1043912
3p6.3d7.(b 2D).4s	3D	2	1.1063839
3p6.3d7.(b 2D).4s	3D	3	1.1099456
3p6.3d7.(4P).4p	5S*	2	1.1143192
3p6.3d7.(b 2D).4s	1D	2	1.1430346000000002
3p6.3d7.(4P).4p	5D*	2	1.1838553
3p6.3d7.(4P).4p	5D*	3	1.184228
3p6.3d7.(4P).4p	5D*	1	1.184264
3p6.3d7.(4P).4p	5D*	0	1.186379
3p6.3d7.(4P).4p	5D*	4	1.1874931
3p6.3d7.(4P).4p	3S*	1	1.192516
3p6.3d7.(2G).4p	3H*	5	1.1983207
3p6.3d7.(2G).4p	3F*	4	1.2009773000000001
3p6.3d7.(2G).4p	3H*	4	1.2042986
3p6.3d7.(2G).4p	3H*	6	1.2044089
3p6.3d7.(4P).4p	5P*	2	1.210329
3p6.3d7.(2P).4p	3P*	0	1.210753
3p6.3d7.(4P).4p	5P*	3	1.212859
3p6.3d7.(2G).4p	3F*	3	1.2134295
3p6.3d7.(2P).4p	3P*	1	1.2145066999999998
3p6.3d7.(2G).4p	1G*	4	1.2149441
3p6.3d7.(4P).4p	5P*	1	1.2150808000000002
3p6.3d7.(4P).4p	3D*	3	1.2155477
3p6.3d7.(4P).4p	3D*	2	1.2165503999999998
3p6.3d7.(2P).4p	3P*	2	1.2178408
3p6.3d7.(2G).4p	3G*	5	1.2182911
3p6.3d7.(4P).4p	3D*	1	1.2196356000000002
3p6.3d7.(2G).4p	1H*	5	1.2230808000000002
3p6.3d7.(2G).4p	3F*	2	1.2232111
3p6.3d7.(2G).4p	3G*	3	1.2241487
3p6.3d7.(2G).4p	3G*	4	1.2248775
3p6.3d7.(2G).4p	1F*	3	1.2304218999999998
3p6.3d7.(4P).4p	3P*	0	1.2332623999999999
