ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"304.0205"	"0.0004"	"470"	"8.03e+08"	"9.42e-03"	D+	"0.247059"	"3.244446"	"3d6"	"3H"	"6"	"3d5.(2G1).4p"	"3G*"	"5"		"T6653c93"	"L3739"	
"304.7037"	"0.0003"	"330"	"7.00e+08"	"7.97e-03"	D+	"0.251316"	"3.2419816"	"3d6"	"3H"	"5"	"3d5.(2G1).4p"	"3G*"	"4"		"T6653c93"	"L3739"	
"304.8575"	"0.0007"	"45H"	"1.86e+08"	"2.59e-03"	D+	"0.379337"	"3.368494"	"3d6"	"3D"	"2"	"3d5.(2P).4p"	"3P*"	"2"		"T6653c93"	"L3739"	
"304.9917"	"0.0011"	"210s"	"2.65e+08"	"3.69e-03"	D+	"0.247059"	"3.234901"	"3d6"	"3H"	"6"	"3d5.(2G1).4p"	"3H*"	"6"		"T6653c93"	"L3739"	
"305.1303"	"0.0007"	"190"	"8.23e+08"	"8.20e-03"	D+	"0.382010"	"3.368494"	"3d6"	"3D"	"3"	"3d5.(2P).4p"	"3P*"	"2"		"T6653c93"	"L3739"	
"305.3057"	"0.0003"	"140"	"3.98e+08"	"4.32e-03"	D+	"0.253872"	"3.2386405"	"3d6"	"3H"	"4"	"3d5.(2G1).4p"	"3G*"	"3"		"T6653c93"	"L3739"	
"305.8920"	"0.0004"	"59d"	"5.44e+07"	"9.33e-04"	D+	"0.2653972"	"3.244446"	"3d6"	"3F2"	"4"	"3d5.(2G1).4p"	"3G*"	"5"		"T6653c93"	"L3739"	
"306.0540"	"0.0008"	"44d"	"1.12e+09"	"5.25e-03"	D+	"0.380010"	"3.357481"	"3d6"	"3D"	"1"	"3d5.(2P).4p"	"3P*"	"0"		"T6653c93"	"L3739"	
"306.3365"	"0.0003"	"120G"	"1.09e+08"	"1.30e-03"	D+	"0.247059"	"3.2217850"	"3d6"	"3H"	"6"	"3d5.(2G1).4p"	"3H*"	"5"		"T6653c93"	"L3739"	
"306.4892"	"0.0003"	"40d"	"1.37e+08"	"1.50e-03"	D+	"0.2653972"	"3.2386405"	"3d6"	"3F2"	"4"	"3d5.(2G1).4p"	"3G*"	"3"		"T6653c93"	"L3739"	
"306.5648"	"0.0003"	"40d"	"5.57e+07"	"1.01e-03"	D+	"0.2694716"	"3.2419816"	"3d6"	"3F2"	"3"	"3d5.(2G1).4p"	"3G*"	"4"		"T6653c93"	"L3739"	
"306.6676"	"0.0003"	"200"	"4.51e+08"	"4.94e-03"	D+	"0.253872"	"3.225386"	"3d6"	"3H"	"4"	"3d5.(2G1).4p"	"3F*"	"3"		"T6653c93"	"L3739"	
"306.7754"	"0.0003"	"250"	"3.21e+08"	"4.54e-03"	D+	"0.251316"	"3.2217850"	"3d6"	"3H"	"5"	"3d5.(2G1).4p"	"3H*"	"5"		"T6653c93"	"L3739"	
"307.2263"	"0.0003"	"280H*"	"1.42e+08"	"1.64e-03"	D+	"0.251316"	"3.2174254"	"3d6"	"3H"	"5"	"3d5.(2G1).4p"	"3H*"	"4"		"T6653c93"	"L3739"	
"307.2307"	"0.0003"	"280H*"	"5.22e+07"	"7.39e-04"	D+	"0.253872"	"3.2199391"	"3d6"	"3H"	"4"	"3d5.(2G1).4p"	"3F*"	"4"		"T6653c93"	"L3739"	
"307.4913"	"0.0003"	"210"	"2.61e+08"	"3.70e-03"	D+	"0.253872"	"3.2174254"	"3d6"	"3H"	"4"	"3d5.(2G1).4p"	"3H*"	"4"		"T6653c93"	"L3739"	
"309.3501"	"0.0006"	"77d"	"5.84e+08"	"8.38e-03"	D+	"0.630202"	"3.575949"	"3d6"	"3P1"	"2"	"3d5.(2D1).4p"	"3P*"	"2"		"T6653c93"	"L3739,L3912"	
