configuration	term	J	energy
3p6.3d9	2D	5/2	0.0
3p6.3d9	2D	3/2	0.0137322
3p6.3d8.(3F).4s	4F	9/2	0.0764908
3p6.3d8.(3F).4s	4F	7/2	0.0850216
3p6.3d8.(3F).4s	4F	5/2	0.0921807
3p6.3d8.(3F).4s	4F	3/2	0.0971765
3p6.3d8.(3F).4s	2F	7/2	0.12348019999999998
3p6.3d8.(3F).4s	2F	5/2	0.1366497
3p6.3d8.(3P).4s	4P	5/2	0.2105781
3p6.3d8.(1D).4s	2D	3/2	0.2168467
3p6.3d8.(3P).4s	4P	3/2	0.22588670000000002
3p6.3d8.(3P).4s	4P	1/2	0.22632159999999998
3p6.3d8.(1D).4s	2D	5/2	0.22814829999999997
3p6.3d8.(3P).4s	2P	3/2	0.2649138
3p6.3d8.(3P).4s	2P	1/2	0.2696755
3p6.3d8.(1G).4s	2G	9/2	0.29615749999999996
3p6.3d8.(1G).4s	2G	7/2	0.2963763
3p6.3d7.4s2	4F	9/2	0.4651605
3p6.3d8.(3F).4p	4D*	7/2	0.4698297000000001
3p6.3d7.4s2	4F	7/2	0.4757356
3p6.3d8.(3F).4p	4D*	5/2	0.48058809999999996
3p6.3d7.4s2	4F	5/2	0.48331720000000006
3p6.3d8.(3F).4p	4G*	9/2	0.48629920000000004
3p6.3d8.(3F).4p	4G*	11/2	0.4874959
3p6.3d7.4s2	4F	3/2	0.48845
3p6.3d8.(3F).4p	4D*	3/2	0.48875459999999993
3p6.3d8.(3F).4p	4D*	1/2	0.49369040000000003
3p6.3d8.(3F).4p	4G*	7/2	0.49447749999999996
3p6.3d8.(3F).4p	4F*	9/2	0.4971604
3p6.3d8.(3F).4p	4G*	5/2	0.5013674
3p6.3d8.(3F).4p	2G*	9/2	0.5039275
3p6.3d8.(3F).4p	4F*	7/2	0.5050044
3p6.3d8.(3F).4p	4F*	5/2	0.5109954000000001
3p6.3d8.(3F).4p	2G*	7/2	0.5136940999999999
3p6.3d8.(3F).4p	4F*	3/2	0.5141778
