Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Reference
"1s2.2s"	"2S"	"1/2"	""	"0.000000"	""	""	"L7288"
"1s2.2p"	"2P*"	"1/2"	""	"0.878234"	""	""	"L7288"
"1s2.2p"	"2P*"	"3/2"	""	"0.883086"	""	""	"L7288"
"1s2.3s"	"2S"	"1/2"	""	"5.832472"	""	""	"L7288"
"1s2.3p"	"2P*"	"1/2"	""	"6.070070"	""	""	"L7288"
"1s2.3p"	"2P*"	"3/2"	""	"6.071497"	""	""	"L7288"
"1s2.3d"	"2D"	"3/2"	""	"6.147642"	""	""	"L7288"
"1s2.3d"	"2D"	"5/2"	""	"6.148107"	""	""	"L7288"
"1s2.4s"	"2S"	"1/2"	""	"7.77034"	""	""	"L7288"
"1s2.4p"	"2P*"	"1/2"	""	"7.867276"	""	""	"L7288"
"1s2.4p"	"2P*"	"3/2"	""	"7.867859"	""	""	"L7288"
"1s2.4d"	"2D"	"3/2"	""	"7.899593"	""	""	"L7288"
"1s2.4d"	"2D"	"5/2"	""	"7.899788"	""	""	"L7288"
"1s2.4f"	"2F*"	"5/2"	""	"7.901393"	""	""	"L7288"
"1s2.4f"	"2F*"	"7/2"	""	"7.901478"	""	""	"L7288"
"1s2.5s"	"2S"	"1/2"	""	"8.6451"	""	""	"L7288"
"1s2.5p"	"2P*"	"1/2"	""	"8.6942"	""	""	"L7288"
"1s2.5p"	"2P*"	"3/2"	""	"8.6942"	""	""	"L7288"
"1s2.5d"	"2D"	"3/2"	""	"8.71036"	""	""	"L7288"
"1s2.5d"	"2D"	"5/2"	""	"8.71044"	""	""	"L7288"
"1s2.5f"	"2F*"	"5/2"	""	"8.71158"	""	""	"L7288"
"1s2.5g"	"2G"	"7/2"	""	"8.71158"	""	""	"L7288"
"1s2.5f"	"2F*"	"7/2"	""	"8.71158"	""	""	"L7288"
"1s2.5g"	"2G"	"9/2"	""	"8.71158"	""	""	"L7288"
"1s2.6s"	"2S"	"1/2"	""	"9.1134"	""	""	"L7288"
"1s2.6p"	"2P*"	"1/2"	""	"9.1412"	""	""	"L7288"
"1s2.6p"	"2P*"	"3/2"	""	"9.1412"	""	""	"L7288"
"1s2.6d"	"2D"	"3/2"	""	"9.15067"	""	""	"L7288"
"1s2.6d"	"2D"	"5/2"	""	"9.15080"	""	""	"L7288"
"1s2.6f"	"2F*"	"5/2"	"["	"9.15154"	"]"	""	"L7288"
"1s2.6f"	"2F*"	"7/2"	"["	"9.15154"	"]"	""	"L7288"
"1s2.6g"	"2G"	"7/2"	"["	"9.15164"	"]"	""	"L7288"
"1s2.6h"	"2H*"	"9/2"	"["	"9.15164"	"]"	""	"L7288"
"1s2.6g"	"2G"	"9/2"	"["	"9.15164"	"]"	""	"L7288"
"1s2.6h"	"2H*"	"11/2"	"["	"9.15164"	"]"	""	"L7288"
"1s2.7s"	"2S"	"1/2"	""	"9.3932"	""	""	"L7288"
"1s2.7p"	"2P*"	"1/2"	""	"9.4100"	""	""	"L7288"
"1s2.7p"	"2P*"	"3/2"	""	"9.4100"	""	""	"L7288"
"1s2.7d"	"2D"	"3/2"	""	"9.41621"	""	""	"L7288"
"1s2.7d"	"2D"	"5/2"	""	"9.41643"	""	""	"L7288"
