ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"17.8052"	""	"1.84e+02"	""	C	"0.00000"	"51.179856"	"1s2"	"1S"	"0"	"1s.4s"	"3S"	"1"	M1	"T4905"	""	
"18.6270"	""	"9.365e+11"	"1.461e-01"	AA	"0.00000"	"48.921827"	"1s2"	"1S"	"0"	"1s.3p"	"1P*"	"1"		"T5997"	""	
"18.6377"	""	"1.451e+08"	""	AA	"0.00000"	"48.893760"	"1s2"	"1S"	"0"	"1s.3d"	"1D"	"2"	E2	"T3908"	""	
"18.7307"	""	"3.57e+02"	""	C	"0.00000"	"48.650908"	"1s2"	"1S"	"0"	"1s.3s"	"3S"	"1"	M1	"T4905"	""	
"21.6020"	""	"3.309e+12"	"6.945e-01"	AA	"0.00000"	"42.184383"	"1s2"	"1S"	"0"	"1s.2p"	"1P*"	"1"		"T5997"	""	
"21.8044"	""	"3.31e+05"	""	A	"0.00000"	"41.792803"	"1s2"	"1S"	"0"	"1s.2p"	"3P*"	"2"	M2	"T1494"	""	
"22.1012"	""	"1.04e+03"	""	AA	"0.00000"	"41.231553"	"1s2"	"1S"	"0"	"1s.2s"	"3S"	"1"	M1	"T1896"	""	
"78.8619"	""	"4.61e+09"	"1.29e-02"	A	"41.787244"	"53.342475"	"1s.2p"	"3P*"	"0"	"1s.7d"	"3D"	"1"		"T5231LS"	""	
"78.8656"	""	"6.22e+09"	"9.67e-03"	A	"41.787791"	"53.342475"	"1s.2p"	"3P*"	"1"	"1s.7d"	"3D"	"2"		"T5231LS"	""	
"78.8656"	""	"3.45e+09"	"3.22e-03"	A	"41.787791"	"53.342475"	"1s.2p"	"3P*"	"1"	"1s.7d"	"3D"	"1"		"T5231LS"	""	
"78.8998"	""	"2.30e+08"	"1.29e-04"	A	"41.792803"	"53.342475"	"1s.2p"	"3P*"	"2"	"1s.7d"	"3D"	"1"		"T5231LS"	""	
"78.8998"	""	"8.28e+09"	"1.08e-02"	A	"41.792803"	"53.342475"	"1s.2p"	"3P*"	"2"	"1s.7d"	"3D"	"3"		"T5231LS"	""	
"78.8998"	""	"2.07e+09"	"1.93e-03"	A	"41.792803"	"53.342475"	"1s.2p"	"3P*"	"2"	"1s.7d"	"3D"	"2"		"T5231LS"	""	
"81.4697"	""	"7.515e+09"	"2.243e-02"	AA	"41.787244"	"52.972592"	"1s.2p"	"3P*"	"0"	"1s.6d"	"3D"	"1"		"T5997LS"	""	
"81.4737"	""	"1.014e+10"	"1.682e-02"	AA	"41.787791"	"52.972592"	"1s.2p"	"3P*"	"1"	"1s.6d"	"3D"	"2"		"T5997LS"	""	
"81.4737"	""	"5.635e+09"	"5.608e-03"	AA	"41.787791"	"52.972592"	"1s.2p"	"3P*"	"1"	"1s.6d"	"3D"	"1"		"T5997LS"	""	
