configuration	term	J	energy
2s2.2p4	3P	2	0.0
2s2.2p4	3P	1	0.00144222
2s2.2p4	3P	0	0.00206837
2s2.2p4	1D	2	0.1445986
2s2.2p4	1S	0	0.30794067
2s2.2p3.(4S*).3s	5S*	2	0.6722253
2s2.2p3.(4S*).3s	3S*	1	0.69980733
2s2.2p3.(4S*).3p	5P	1	0.78939198
2s2.2p3.(4S*).3p	5P	2	0.7894104
2s2.2p3.(4S*).3p	5P	3	0.7894439
2s2.2p3.(4S*).3p	3P	1	0.80766134
2s2.2p3.(4S*).3p	3P	2	0.80766643
2s2.2p3.(4S*).3p	3P	0	0.80766786
2s2.2p3.(4S*).4s	5S*	2	0.87004796
2s2.2p3.(4S*).4s	3S*	1	0.87686717
2s2.2p3.(4S*).3d	5D*	4	0.8877621
2s2.2p3.(4S*).3d	5D*	3	0.88776289
2s2.2p3.(4S*).3d	5D*	2	0.88776401
2s2.2p3.(4S*).3d	5D*	1	0.88776494
2s2.2p3.(4S*).3d	5D*	0	0.88776539
2s2.2p3.(4S*).3d	3D*	1	0.88837947
2s2.2p3.(4S*).3d	3D*	2	0.8883801
2s2.2p3.(4S*).3d	3D*	3	0.88838092
2s2.2p3.(4S*).4p	5P	1	0.90300157
2s2.2p3.(4S*).4p	5P	2	0.9030077
2s2.2p3.(4S*).4p	5P	3	0.9030186
2s2.2p3.(4S*).4p	3P	1	0.90835982
2s2.2p3.(4S*).4p	3P	2	0.90836056
2s2.2p3.(4S*).4p	3P	0	0.90836292
2s2.2p3.(2D*).3s	3D*	3	0.92161364
2s2.2p3.(2D*).3s	3D*	2	0.92172408
2s2.2p3.(2D*).3s	3D*	1	0.92179603
2s2.2p3.(4S*).5s	5S*	2	0.93055582
2s2.2p3.(4S*).5s	3S*	1	0.93324677
2s2.2p3.(2D*).3s	1D*	2	0.93552522
2s2.2p3.(4S*).4d	5D*	4	0.93737946
2s2.2p3.(4S*).4d	5D*	3	0.93737984
2s2.2p3.(4S*).4d	5D*	2	0.93738037
2s2.2p3.(4S*).4d	5D*	1	0.93738082
2s2.2p3.(4S*).4d	5D*	0	0.93738104
2s2.2p3.(4S*).4d	3D*	3	0.9377701
2s2.2p3.(4S*).4d	3D*	2	0.93777073
2s2.2p3.(4S*).4d	3D*	1	0.93777115
2s2.2p3.(4S*).4f	5F	2	0.93831573
2s2.2p3.(4S*).4f	5F	5	0.93831573
2s2.2p3.(4S*).4f	5F	3	0.93831573
2s2.2p3.(4S*).4f	5F	1	0.93831573
2s2.2p3.(4S*).4f	5F	4	0.93831573
2s2.2p3.(4S*).4f	3F	3	0.93831658
2s2.2p3.(4S*).4f	3F	4	0.93831658
2s2.2p3.(4S*).4f	3F	2	0.93831658
2s2.2p3.(4S*).5p	5P	1	0.94430735
2s2.2p3.(4S*).5p	5P	2	0.94431061
2s2.2p3.(4S*).5p	5P	3	0.94431516
2s2.2p3.(4S*).5p	3P	2	0.94653279
2s2.2p3.(4S*).5p	3P	1	0.94653334
2s2.2p3.(4S*).5p	3P	0	0.94653538
2s2.2p3.(4S*).6s	5S*	2	0.95700634
2s2.2p3.(4S*).6s	3S*	1	0.95833611
2s2.2p3.(4S*).5d	5D*	4	0.96034201
2s2.2p3.(4S*).5d	5D*	3	0.96034222
2s2.2p3.(4S*).5d	5D*	2	0.96034251
2s2.2p3.(4S*).5d	5D*	1	0.96034275
2s2.2p3.(4S*).5d	5D*	0	0.96034287
2s2.2p3.(4S*).5d	3D*	2	0.96055756
2s2.2p3.(4S*).5d	3D*	3	0.96055756
2s2.2p3.(4S*).5d	3D*	1	0.96055756
2s2.2p3.(4S*).5f	5F	2	0.96085497
2s2.2p3.(4S*).5f	5F	5	0.96085497
2s2.2p3.(4S*).5f	5F	3	0.96085497
2s2.2p3.(4S*).5f	5F	1	0.96085497
2s2.2p3.(4S*).5f	5F	4	0.96085497
2s2.2p3.(4S*).5f	3F	3	0.96085569
2s2.2p3.(4S*).5f	3F	4	0.96085569
2s2.2p3.(4S*).5f	3F	2	0.96085569
2s2.2p3.(4S*).6p	5P	1	0.96401512
2s2.2p3.(4S*).6p	5P	2	0.96401661
2s2.2p3.(4S*).6p	5P	3	0.96401899
2s2.2p3.(4S*).6p	3P	1	0.96514144
2s2.2p3.(4S*).6p	3P	2	0.96514144
2s2.2p3.(4S*).6p	3P	0	0.96514144
2s2.2p3.(4S*).7s	5S*	2	0.9709127
2s2.2p3.(4S*).7s	3S*	1	0.97166523
2s2.2p3.(4S*).6d	5D*	4	0.97279076
2s2.2p3.(4S*).6d	5D*	3	0.97279086
2s2.2p3.(4S*).6d	5D*	2	0.97279101
2s2.2p3.(4S*).6d	5D*	1	0.97279113
2s2.2p3.(4S*).6d	5D*	0	0.97279119
2s2.2p3.(4S*).6d	3D*	2	0.97292158
2s2.2p3.(4S*).6d	3D*	3	0.97292158
2s2.2p3.(4S*).6d	3D*	1	0.97292158
2s2.2p3.(4S*).6f	5F	2	0.97309798
2s2.2p3.(4S*).6f	5F	5	0.97309798
2s2.2p3.(4S*).6f	5F	3	0.97309798
2s2.2p3.(4S*).6f	5F	1	0.97309798
2s2.2p3.(4S*).6f	5F	4	0.97309798
2s2.2p3.(4S*).6f	3F	3	0.97309835
2s2.2p3.(4S*).6f	3F	4	0.97309835
2s2.2p3.(4S*).6f	3F	2	0.97309835
2s2.2p3.(4S*).6g	3G*	4	0.97312297
2s2.2p3.(4S*).6g	3G*	5	0.97312297
2s2.2p3.(4S*).6g	3G*	3	0.97312297
2s2.2p3.(4S*).6g	5G*	3	0.97312297
2s2.2p3.(4S*).6g	5G*	6	0.97312297
2s2.2p3.(4S*).6g	5G*	4	0.97312297
2s2.2p3.(4S*).6g	5G*	2	0.97312297
2s2.2p3.(4S*).6g	5G*	5	0.97312297
2s2.2p3.(4S*).8s	5S*	2	0.97912032
2s2.2p3.(4S*).8s	3S*	1	0.97958678
2s2.2p3.(4S*).7d	5D*	4	0.98028164
2s2.2p3.(4S*).7d	5D*	3	0.98028171
2s2.2p3.(4S*).7d	5D*	2	0.98028182
2s2.2p3.(4S*).7d	5D*	1	0.9802819
2s2.2p3.(4S*).7d	5D*	0	0.98028193
2s2.2p3.(4S*).7d	3D*	2	0.9803664
2s2.2p3.(4S*).7d	3D*	3	0.9803664
