configuration	term	J	energy
2s2.2p5	2P*	3/2	0.0
2s2.2p5	2P*	1/2	0.06628
2s.2p6	2S	1/2	4.14376
2s2.2p4.(3P).3s	4P	5/2	11.4795
2s2.2p4.(3P).3s	4P	3/2	11.52
2s2.2p4.(3P).3s	2P	3/2	11.6403
2s2.2p4.(3P).3s	2P	1/2	11.6875
2s2.2p4.(1D).3s	2D	5/2	12.0024
2s2.2p4.(1D).3s	2D	3/2	12.0024
2s2.2p4.(1S).3s	2S	1/2	12.5373
2s2.2p4.(3P).3d	4F	5/2	13.6407
2s2.2p4.(3P).3d	4F	3/2	13.6544
2s2.2p4.(3P).3d	4P	3/2	13.6694
2s2.2p4.(3P).3d	4P	5/2	13.6876
2s2.2p4.(3P).3d	2P	1/2	13.7173
2s2.2p4.(3P).3d	2D	3/2	13.7303
2s2.2p4.(3P).3d	2D	5/2	13.7606
2s2.2p4.(3P).3d	2P	3/2	13.7721
2s2.2p4.(1D).3d	2S	1/2	14.1108
2s2.2p4.(1D).3d	2F	5/2	14.144
2s2.2p4.(1D).3d	2P	3/2	14.1444
2s2.2p4.(1D).3d	2D	5/2	14.1587
2s2.2p4.(1D).3d	2P	1/2	14.1649
2s2.2p4.(1D).3d	2D	3/2	14.1753
2s2.2p4.(1S).3d	2D	5/2	14.64
2s2.2p4.(1S).3d	2D	3/2	14.643
2s.2p5.(3P*).3s	2P*	3/2	15.42
2s2.2p4.(3P).4s	2P	3/2	15.4525
2s.2p5.(3P*).3s	2P*	1/2	15.4628
2s2.2p4.(3P).4s	2P	1/2	15.5041
2s2.2p4.(1D).4s	2D	5/2	15.8716
2s2.2p4.(1D).4s	2D	3/2	15.8716
2s2.2p4.(3P).4d		3/2	16.2086
2s2.2p4.(3P).4d		1/2	16.2086
2s2.2p4.(3P).4d		1/2	16.2223
2s2.2p4.(3P).4d		3/2	16.2223
2s2.2p4.(3P).4d		1/2	16.2411
2s2.2p4.(3P).4d		3/2	16.2411
2s2.2p4.(3P).4d		1/2	16.2573
2s2.2p4.(3P).4d		3/2	16.2573
2s2.2p4.(1S).4s	2S	1/2	16.4171
2s2.2p4.(1D).4d	2S?	1/2	16.657
2s2.2p4.(1D).4d	2P?	3/2	16.6637
2s2.2p4.(1D).4d		1/2	16.6779
2s2.2p4.(1D).4d		3/2	16.6779
2s2.2p4.(3P).5s	2P	3/2	17.0013
2s2.2p4.(1S).4d	2D	5/2	17.177
2s2.2p4.(1S).4d	2D	3/2	17.177
2s2.2p4.(1D).5s	2D	3/2	17.4382
2s2.2p4.(1D).5s	2D	5/2	17.4382
2s2.2p4.(1S).5d	2D	5/2	18.3501
2s2.2p4.(1S).5d	2D	3/2	18.3501
