configuration	term	J	energy
3s2.3p2	3P	0	0.0
3s2.3p2	3P	1	0.0015027
3s2.3p2	3P	2	0.0042749
3s2.3p2	1D	2	0.0809416
3s2.3p2	1S	0	0.1966116
3s.3p3	5S*	2	0.4164219
3s.3p3	3D*	1	0.594615
3s.3p3	3D*	2	0.5948054
3s.3p3	3D*	3	0.5951227
3s.3p3	3P*	2	0.6995256
3s.3p3	3P*	1	0.6999655
3s.3p3	3P*	0	0.7000637
3s2.3p.3d	1D*	2	0.7081474
3s2.3p.4s	3P*	0	0.7891349
3s2.3p.4s	3P*	1	0.7904691
3s2.3p.4s	3P*	2	0.7939378
3s2.3p.3d	3F*	2	0.8001298000000001
3s2.3p.3d	3F*	3	0.8016126
3s2.3p.3d	3F*	4	0.8036658
3s2.3p.4s	1P*	1	0.8100546
3s2.3p.4p	1P	1	0.9261726
3s2.3p.3d	1P*	1	0.9367667
3s2.3p.4p	3D	1	0.9401142
3s2.3p.4p	3D	2	0.9416955
3s2.3p.3d	3P*	2	0.9443433000000001
3s2.3p.4p	3D	3	0.9446911
3s2.3p.3d	3P*	1	0.9454934000000002
3s2.3p.3d	3P*	0	0.9471744000000001
3s2.3p.3d	3D*	3	0.9481758
3s2.3p.3d	3D*	1	0.9482081
3s2.3p.3d	3D*	2	0.9486449
3s2.3p.4p	3P	0	0.9588722
3s2.3p.4p	3P	1	0.9595858
3s2.3p.4p	3P	2	0.9618394
3s2.3p.4p	3S	1	0.9659545
3s2.3p.3d	1F*	3	0.9783386000000001
3s2.3p.4p	1D	2	0.9834661
3s.3p3	3S*	1	1.0047154
3s2.3p.4p	1S	0	1.0161326
3s.3p3	1D*	2	1.0261492
3s.3p3	1P*	1	1.078409
3s2.3p.5s	3P*	0	1.123995
3s2.3p.5s	3P*	1	1.1250089
3s2.3p.5s	3P*	2	1.1289761
3s2.3p.5s	1P*	1	1.1339101999999999
3s2.3p.4d	3F*	2	1.1385983999999998
3s2.3p.4d	3F*	3	1.1402582
3s2.3p.4d	3F*	4	1.1426481000000002
3s2.3p.4d	3P*	2	1.1606556000000001
3s2.3p.4d	3D*	1	1.1627691
3s2.3p.4d	1D*	2	1.1641938
3s2.3p.4d	3D*	3	1.165405
3s2.3p.4d	3P*	0	1.1655064
3s2.3p.4d	3P*	1	1.1658212
3s2.3p.4d	3D*	2	1.1659635
3s2.3p.5p	1P	1	1.176534
3s2.3p.5p	3D	1	1.1807229
3s2.3p.5p	3D	2	1.1815962
3s2.3p.5p	3D	3	1.1848249
3s2.3p.5p	3P	0	1.1851767
