ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"1534.752"	""	"4.4e+04"	"2.3e-05"	E	"0.0000000"	"0.59375542"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(1D).4s"	"2D"	"5/2"		"T1220"	""	
"1534.772"	""	"8.2e+03"	"2.9e-06"	E	"0.0000000"	"0.59374736"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(1D).4s"	"2D"	"3/2"		"T1220"	""	
"1671.671"	"180"	"3.9e+07"	"8.2e-03"	D	"0.0000000"	"0.54512333"	"3s2.3p3"	"4S*"	"3/2"	"3s.3p4"	"4P"	"1/2"		"T8043"	"L5148"	
"1674.595"	"600"	"4.0e+07"	"1.7e-02"	D	"0.0000000"	"0.54417151"	"3s2.3p3"	"4S*"	"3/2"	"3s.3p4"	"4P"	"3/2"		"T8043"	"L5148"	
"1679.697"	"600"	"3.9e+07"	"2.5e-02"	D	"0.0000000"	"0.54251873"	"3s2.3p3"	"4S*"	"3/2"	"3s.3p4"	"4P"	"5/2"		"T8043"	"L5148"	
"1718.970"	""	"2.6e+05"	"1.2e-04"	E	"0.0000000"	"0.53012383"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(3P).4s"	"2P"	"3/2"		"T1220"	""	
"1727.815"	""	"1.5e+05"	"3.4e-05"	E	"0.0000000"	"0.52741015"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(3P).4s"	"2P"	"1/2"		"T1220"	""	
"1774.949"	"600"	"2.17e+08"	"1.54e-01"	C	"0.0000000"	"0.51340472"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(3P).4s"	"4P"	"5/2"		"T1220"	"L5148"	
"1782.829"	"500"	"2.14e+08"	"1.02e-01"	C	"0.0000000"	"0.51113539"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(3P).4s"	"4P"	"3/2"		"T1220"	"L5148"	
"1787.648"	"400"	"2.13e+08"	"5.10e-02"	C	"0.0000000"	"0.50975751"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(3P).4s"	"4P"	"1/2"		"T1220"	"L5148"	
"1858.871"	"500"	"2.32e+07"	"1.80e-02"	C	"0.1035292"	"0.59375542"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p2.(1D).4s"	"2D"	"5/2"		"T1220"	"L5148"	
"1858.901"	""	"2.54e+08"	"1.32e-01"	C	"0.1035292"	"0.59374736"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p2.(1D).4s"	"2D"	"3/2"		"T1220"	""	
"1859.410"	"400"	"2.64e+08"	"1.37e-01"	C	"0.1036715"	"0.59375542"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p2.(1D).4s"	"2D"	"5/2"		"T1220"	"L5148"	
"1859.441"	""	"2.26e+07"	"7.81e-03"	C	"0.1036715"	"0.59374736"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p2.(1D).4s"	"2D"	"3/2"		"T1220"	""	
"2136.143"	"400"	"2.11e+07"	"1.44e-02"	C	"0.1035292"	"0.53012383"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p2.(3P).4s"	"2P"	"3/2"		"T1220"	"L5148"	
"2136.856"	"400"	"2.83e+08"	"1.29e-01"	C	"0.1036715"	"0.53012383"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p2.(3P).4s"	"2P"	"3/2"		"T1220"	"L5148"	
"2149.819"	"400"	"3.18e+08"	"1.10e-01"	C	"0.1035292"	"0.52741015"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p2.(3P).4s"	"2P"	"1/2"		"T1220"	"L5148"	
"2153.616"	"280"	"4.85e+07"	"6.74e-02"	C	"0.1706139"	"0.59374736"	"3s2.3p3"	"2P*"	"1/2"	"3s2.3p2.(1D).4s"	"2D"	"3/2"		"T1220"	"L5148"	
"2154.749"	"500"	"5.8e+07"	"6.1e-02"	C	"0.1708444"	"0.59375542"	"3s2.3p3"	"2P*"	"3/2"	"3s2.3p2.(1D).4s"	"2D"	"5/2"		"T1220"	"L5148"	
