configuration	term	J	energy
2s2.2p	2P*	1/2	0.0
2s2.2p	2P*	3/2	0.119698
2s.2p2	4P	1/2	1.76678
2s.2p2	4P	3/2	1.81046
2s.2p2	4P	5/2	1.87197
2s.2p2	2D	3/2	3.1594
2s.2p2	2D	5/2	3.16214
2s.2p2	2S	1/2	4.0057
2s.2p2	2P	1/2	4.23516
2s.2p2	2P	3/2	4.296
2p3	4S*	3/2	5.55941
2p3	2D*	3/2	6.2869
2p3	2D*	5/2	6.2921
2p3	2P*	1/2	7.0534
2p3	2P*	3/2	7.06966
2s2.3d	2D	3/2	25.036
2s2.3d	2D	5/2	25.043
2s.2p.(3P*).3s	4P*	5/2	25.285
2s.2p.(3P*).3p	2P	1/2	25.886
2s.2p.(3P*).3p	2P	3/2	25.953
2s.2p.(3P*).3p	2D	3/2	26.388
2s.2p.(3P*).3p	2D	5/2	26.468
2s.2p.(3P*).3p	2S	1/2	26.698
2s.2p.(3P*).3d	4D*	5/2	26.89
2s.2p.(3P*).3d	4D*	3/2	26.903
2s.2p.(3P*).3d	2D*	5/2	26.943
2s.2p.(3P*).3d	4D*	7/2	26.952
2s.2p.(3P*).3d	4P*	5/2	27.008
2s.2p.(3P*).3d	4P*	3/2	27.036
2s.2p.(3P*).3d	2F*	5/2	27.322
2s.2p.(3P*).3d	2F*	7/2	27.396
2s.2p.(3P*).3d	2P*	3/2	27.443
2s.2p.(3P*).3d	2P*	1/2	27.477
2s.2p.(1P*).3p	2D	3/2	27.894
2s.2p.(1P*).3p	2D	5/2	27.894
2s.2p.(1P*).3d	2F*	5/2	28.506
2s.2p.(1P*).3d	2F*	7/2	28.506
2s.2p.(1P*).3d	2D*	5/2	28.62
2s2.4d	2D	3/2	32.289
2s2.4d	2D	5/2	32.289
2s.2p.(3P*).4p	2D	5/2	34.008
2s.2p.(3P*).4d	4D*	7/2	34.209
2s.2p.(3P*).4d	2F*	5/2	34.325
2s.2p.(3P*).4d	2F*	7/2	34.37
2s2.5d	2D	3/2	35.64
2s2.5d	2D	5/2	35.64
2s.2p.(1P*).4d	2F*	5/2	35.84
2s.2p.(1P*).4d	2F*	7/2	35.84
2s2.6d	2D	5/2	37.43
2s2.7d	2D	5/2	38.53
