ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"152.282"	"20g*"	"3.63e+08"	"2.52e-03"	B+	"0.000000"	"[5.98406]"	"2p6.3s"	"2S"	"1/2"	"2p6.9p"	"2P*"	"3/2"		"T7942c84"	"L4882"	
"155.865"	"30g"	"5.29e+08"	"1.93e-03"	B+	"0.000000"	"[5.8465]"	"2p6.3s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"1/2"		"T7942c84"	"L4882"	
"161.494"	"30g*"	"7.65e+08"	"5.99e-03"	B+	"0.000000"	"5.642733"	"2p6.3s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"3/2"		"T7942c84"	"L4882"	
"161.514"	"30g*"	"7.85e+08"	"3.07e-03"	B+	"0.000000"	"5.642045"	"2p6.3s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"1/2"		"T7942c84"	"L4882"	
"171.328"	"40g*"	"1.19e+09"	"1.05e-02"	B+	"0.000000"	"5.318830"	"2p6.3s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"3/2"		"T7942c84"	"L4882"	
"171.365"	"40g*"	"1.22e+09"	"5.38e-03"	B+	"0.000000"	"5.317711"	"2p6.3s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"1/2"		"T7942c84"	"L4882"	
"180.353"	"5"	"5.28e+08"	"5.15e-03"	B+	"0.964791"	"6.01747"	"2p6.3p"	"2P*"	"1/2"	"2p6.9d"	"2D"	"3/2"		"T7942c84"	"L4882"	
"180.765"	"10*"	"1.06e+08"	"5.21e-04"	B+	"0.976311"	"6.01747"	"2p6.3p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"3/2"		"T7942c84"	"L4882"	
"180.765"	"10*"	"6.39e+08"	"4.70e-03"	B+	"0.976311"	"6.01747"	"2p6.3p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"5/2"		"T7942c84"	"L4882"	
"184.823"	"20"	"7.33e+08"	"7.50e-03"	B+	"0.964791"	"5.89527"	"2p6.3p"	"2P*"	"1/2"	"2p6.8d"	"2D"	"3/2"		"T7942c84"	"L4882"	
"185.256"	"30*"	"8.88e+08"	"6.85e-03"	B+	"0.976311"	"5.89527"	"2p6.3p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"5/2"		"T7942c84"	"L4882"	
"185.256"	"30*"	"1.48e+08"	"7.61e-04"	B+	"0.976311"	"5.89527"	"2p6.3p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"3/2"		"T7942c84"	"L4882"	
"188.028"	"5"	"3.62e+08"	"1.92e-03"	B+	"0.964791"	"5.81123"	"2p6.3p"	"2P*"	"1/2"	"2p6.8s"	"2S"	"1/2"		"T7942c84"	"L4882"	
"188.476"	"5"	"7.26e+08"	"1.93e-03"	B+	"0.976311"	"5.81123"	"2p6.3p"	"2P*"	"3/2"	"2p6.8s"	"2S"	"1/2"		"T7942c84"	"L4882"	
"191.479"	"60g"	"1.93e+09"	"2.12e-02"	B+	"0.000000"	"4.759088"	"2p6.3s"	"2S"	"1/2"	"2p6.5p"	"2P*"	"3/2"		"T7942c84"	"L4882"	
"191.560"	"40g"	"1.99e+09"	"1.09e-02"	B+	"0.000000"	"4.757079"	"2p6.3s"	"2S"	"1/2"	"2p6.5p"	"2P*"	"1/2"		"T7942c84"	"L4882"	
"191.786"	"30"	"1.05e+09"	"1.16e-02"	B+	"0.964791"	"5.71626"	"2p6.3p"	"2P*"	"1/2"	"2p6.7d"	"2D"	"3/2"		"T7942c84"	"L4882"	
"192.252"	"40*"	"2.12e+08"	"1.17e-03"	B+	"0.976311"	"5.71626"	"2p6.3p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"3/2"		"T7942c84"	"L4882"	
"192.252"	"40*"	"1.27e+09"	"1.06e-02"	B+	"0.976311"	"5.71626"	"2p6.3p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"5/2"		"T7942c84"	"L4882"	
"197.112"	"5"	"5.65e+08"	"3.29e-03"	B+	"0.964791"	"5.587879"	"2p6.3p"	"2P*"	"1/2"	"2p6.7s"	"2S"	"1/2"		"T7942c84"	"L4882"	
"197.605"	"10"	"1.13e+09"	"3.32e-03"	B+	"0.976311"	"5.587879"	"2p6.3p"	"2P*"	"3/2"	"2p6.7s"	"2S"	"1/2"		"T7942c84"	"L4882"	
"203.675"	"40"	"1.54e+09"	"1.92e-02"	B+	"0.964791"	"5.438925"	"2p6.3p"	"2P*"	"1/2"	"2p6.6d"	"2D"	"3/2"		"T7942c84"	"L4882"	
