Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3p6.3d.4s"	"3D"	"1"	" 0.0000000"	""	"0.501"	"                                                  "	"L7185"
"3p6.3d.4s"	"3D"	"2"	" 0.0006171"	""	"1.163"	"                                                  "	""
"3p6.3d.4s"	"3D"	"3"	" 0.0016199"	""	"1.330"	"                                                  "	""
"3p6.3d.4s"	"1D"	"2"	" 0.0231548"	""	"0.998"	"                                                  "	""
"3p6.3d2"	"3F"	"2"	" 0.0437670"	""	"0.665"	"                                                  "	""
"3p6.3d2"	"3F"	"3"	" 0.0445024"	""	"1.083"	"                                                  "	""
"3p6.3d2"	"3F"	"4"	" 0.0454521"	""	""	"                                                  "	""
"3p6.3d2"	"1D"	"2"	" 0.0997342"	""	""	"                                                  "	""
"3p6.4s2"	"1S"	"0"	" 0.1069496"	""	""	"                                                  "	""
"3p6.3d2"	"3P"	"0"	" 0.1100273"	""	""	"                                                  "	""
"3p6.3d2"	"3P"	"1"	" 0.1102770"	""	"1.487"	"                                                  "	""
"3p6.3d2"	"3P"	"2"	" 0.1107592"	""	"1.481"	"                                                  "	""
"3p6.3d2"	"1G"	"4"	" 0.1299587"	""	""	"                                                  "	""
"3p6.3d2"	"1S"	"0"	" 0.236521"	""	""	"                                                  "	""
"3p6.3d.4p"	"1D*"	"2"	" 0.2376707"	""	"0.999"	"  99                                              "	""
"3p6.3d.4p"	"3F*"	"2"	" 0.2500855"	""	"0.671"	"  99                                              "	""
"3p6.3d.4p"	"3F*"	"3"	" 0.2515320"	""	"1.086"	"  99                                              "	""
"3p6.3d.4p"	"3F*"	"4"	" 0.2537090"	""	"1.233"	" 100                                              "	""
"3p6.3d.4p"	"3D*"	"1"	" 0.2544055"	""	"0.506"	" 100                                              "	""
"3p6.3d.4p"	"3D*"	"2"	" 0.2553488"	""	"1.162"	"  99                                              "	""
"3p6.3d.4p"	"3D*"	"3"	" 0.2566235"	""	"1.323"	"  99                                              "	""
"3p6.3d.4p"	"3P*"	"0"	" 0.2709768"	""	""	"  94             :     6  4s.4p           3P*     "	""
