ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"2113.5158"	"0.0004"	"7g"	"3.2e+06"	"3.2e-03"	C	"0.000000000"	"0.43116169"	"3d.4s2"	"2D"	"3/2"	"3d2.(3F).5p"	"2D*"	"5/2"		"T3038"	"L2110,L4189c12"	
"2117.3203"	"0.0004"	"9g"	"2.0e+07"	"1.3e-02"	C	"0.000000000"	"0.43038695"	"3d.4s2"	"2D"	"3/2"	"3d2.(3F).5p"	"2D*"	"3/2"		"T3038"	"L2110,L4189c12"	
"2121.0622"	"0.0004"	"9g"	"2.0e+07"	"1.3e-02"	C	"0.001534001"	"0.43116169"	"3d.4s2"	"2D"	"5/2"	"3d2.(3F).5p"	"2D*"	"5/2"		"T3038"	"L2110,L4189c12"	
"2262.9921"	"0.0009"	"6g"	"5.8e+06"	"4.5e-03"	C	"0.000000000"	"0.40268238"	"3d.4s2"	"2D"	"3/2"	"3d2.(3P).4p"	"2P*"	"3/2"		"T3038"	"L4189c12"	
"2267.2945"	"0.0010"	"9g"	"4.8e+07"	"1.8e-02"	C	"0.000000000"	"0.40191825"	"3d.4s2"	"2D"	"3/2"	"3d2.(3P).4p"	"2P*"	"1/2"		"T3038"	"L4189c12"	
"2271.6458"	"0.0009"	"9g"	"4.6e+07"	"2.4e-02"	C	"0.001534001"	"0.40268238"	"3d.4s2"	"2D"	"5/2"	"3d2.(3P).4p"	"2P*"	"3/2"		"T3038"	"L4189c12"	
"2281.5362"	"0.0009"	"9g"	"2.8e+07"	"3.3e-02"	C	"0.000000000"	"0.39940942"	"3d.4s2"	"2D"	"3/2"	"3d2.(1G).4p"	"2F*"	"5/2"		"T3038"	"L4189c12"	
"2290.3326"	"0.0009"	"2g"	"4.1e+06"	"3.2e-03"	C	"0.001534001"	"0.39940942"	"3d.4s2"	"2D"	"5/2"	"3d2.(1G).4p"	"2F*"	"5/2"		"T3038"	"L4189c12"	
"2312.0020"	"0.0008"	"4g"	"4.1e+06"	"4.9e-03"	C	"0.000000000"	"0.39414630"	"3d.4s2"	"2D"	"3/2"	"3d.4s.(1D).5p"	"2D*"	"5/2"		"T3038"	"L4189c12"	
"2316.3999"	"0.0010"	"5g"	"2.5e+07"	"2.0e-02"	C	"0.000000000"	"0.39339799"	"3d.4s2"	"2D"	"3/2"	"3d.4s.(1D).5p"	"2D*"	"3/2"		"T3038"	"L4189c12"	
