configuration	term	J	energy
2s2.2p4	3P	2	0.0
2s2.2p4	3P	1	0.0367
2s2.2p4	3P	0	0.05071
2s2.2p4	1D	2	0.424375
2s2.2p4	1S	0	0.90526
2s.2p5	3P*	2	3.3094
2s.2p5	3P*	1	3.3424
2s.2p5	3P*	0	3.3604
2s.2p5	1P*	1	4.6078
2p6	1S	0	7.73718
2s2.2p3.(4S*).3s	3S*	1	10.6843
2s2.2p3.(2D*).3s	3D*	2	11.1644
2s2.2p3.(2D*).3s	3D*	3	11.1644
2s2.2p3.(2D*).3s	3D*	1	11.1644
2s2.2p3.(2D*).3s	1D*	2	11.2623
2s2.2p3.(2P*).3s	3P*	0	11.4959
2s2.2p3.(2P*).3s	3P*	1	11.4966
2s2.2p3.(2P*).3s	3P*	2	11.5006
2s2.2p3.(2P*).3s	1P*	1	11.5979
2s2.2p3.(4S*).3d	3D*	2	12.4603
2s2.2p3.(4S*).3d	3D*	1	12.4603
2s2.2p3.(4S*).3d	3D*	3	12.4621
2s2.2p3.(2D*).3d	3F*?	2	12.9951
2s2.2p3.(2D*).3d	3D*	3	13.0131
2s2.2p3.(2D*).3d	3D*	2	13.0137
2s2.2p3.(2D*).3d	1P*	1	13.0242
2s2.2p3.(2D*).3d	3P*	2	13.0809
2s2.2p3.(2D*).3d	1D*	2	13.0888
2s2.2p3.(2D*).3d	3P*	1	13.0926
2s2.2p3.(2D*).3d	3S*	1	13.1335
2s2.2p3.(2D*).3d	1F*	3	13.19
2s2.2p3.(2P*).3d	3P*	0	13.3071
2s2.2p3.(2P*).3d	3P*	1	13.3123
2s2.2p3.(2P*).3d	3P*	2	13.3214
2s2.2p3.(2P*).3d	3D*	2	13.3636
2s2.2p3.(2P*).3d	3D*	3	13.3718
2s2.2p3.(2P*).3d	1D*?	2	13.3961
2s2.2p3.(2P*).3d	1F*	3	13.4291
2s.2p4.(4P).3s	3P	2	13.6642
2s.2p4.(4P).3s	3P	1	13.6953
2s.2p4.(4P).3s	3P	0	13.7094
2s.2p4.(2D).3s	3D	3	14.4976
2s2.2p3.(2D*).4s	3D*	3	14.8642
2s2.2p3.(2D*).4s	1D*	2	14.9028
2s2.2p3.(4S*).4d	3D*	3	14.9789
2s.2p4.(2S).3s	3S	1	15.1566
2s2.2p3.(2P*).4s	3P*	2	15.217
2s2.2p3.(2P*).4s	1P*	1	15.2365
2s2.2p3.(2D*).4d	3D*	2	15.5561
2s2.2p3.(2D*).4d	3D*	3	15.5561
2s2.2p3.(2D*).4d	3P*	2	15.5919
2s2.2p3.(2D*).4d	3S*	1	15.6071
2s2.2p3.(2D*).4d	1F*	3	15.6208
2s2.2p3.(2P*).4d	3P*	2	15.8663
2s2.2p3.(2P*).4d	3D*	3	15.8965
2s2.2p3.(2P*).4d	1F*	3	15.9269
2s2.2p3.(4S*).5d	3D*	3	16.1207
2s2.2p3.(2D*).5d	3D*	3	16.7137
2s2.2p3.(2D*).5d	3P*	2	16.7321
2s2.2p3.(2P*).5s	1P*	1	16.7471
2s.2p4.(4P).4s	3P	2	17.2018
