ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"49.987"	""	"2.80e+11"	"1.05e-01"	C	"0.000000"	"18.2301?"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"3/2"		"c70,LS"	""	
"50.019"	""	"2.79e+11"	"1.57e-01"	C	"0.000000"	"18.2184"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"5/2?"		"c70,LS"	""	
"51.559"	""	"5.24e+09"	"3.13e-03"	D	"0.630306"	"18.305?"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(3P).4d"	"2D"	"5/2"		"c70,LS"	""	
"51.566"	""	"7.33e+10"	"2.92e-02"	D	"0.632606"	"18.305?"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(3P).4d"	"2D"	"5/2"		"c70,LS"	""	
"51.718"	""	"1.89e+11"	"1.01e-01"	C	"0.632606"	"18.2525?"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(3P).4d"	"2F"	"7/2"		"c70,LS"	""	
"51.819"	""	"1.76e+11"	"1.06e-01"	C	"0.630306"	"18.2159?"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(3P).4d"	"2F"	"5/2"		"c70,LS"	""	
"51.826"	""	"1.25e+10"	"5.04e-03"	D	"0.632606"	"18.2159?"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(3P).4d"	"2F"	"5/2"		"c70,LS"	""	
"52.554"	""	"1.71e+11"	"1.06e-01"	C	"0.9649"	"18.305?"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(3P).4d"	"2D"	"5/2"		"c70,LS"	""	
"53.763"	""	"1.78e+09"	"7.73e-04"	E	"0.630306"	"17.5801?"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(3P).4s"	"2P"	"3/2"		"c70,LS"	""	
"53.770"	""	"1.61e+10"	"4.64e-03"	D	"0.632606"	"17.5801?"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(3P).4s"	"2P"	"3/2"		"c70,LS"	""	
"54.829"	""	"1.50e+09"	"1.35e-03"	D	"0.96000"	"17.5801?"	"2s2.2p3"	"2P*"	"1/2"	"2s2.2p2.(3P).4s"	"2P"	"3/2"		"c70,LS"	""	
"54.846"	""	"7.50e+09"	"3.38e-03"	D	"0.9649"	"17.5801?"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(3P).4s"	"2P"	"3/2"		"c70,LS"	""	
"58.696"	""	"2.26e+08"	"5.82e-05"	D	"0.000000"	"15.5252?"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(1D).3d"	"2S"	"1/2"		"c69"	""	
"58.885"	""	"1.12e+11"	"2.92e-02"	D	"0.000000"	"15.4754?"	"2s2.2p3"	"4S*"	"3/2"	"2s.2p3.(5S*).3p"	"4P"	"1/2"		"c70,LS"	""	
"58.885"	""	"1.12e+11"	"8.76e-02"	D	"0.000000"	"15.4754?"	"2s2.2p3"	"4S*"	"3/2"	"2s.2p3.(5S*).3p"	"4P"	"5/2"		"c70,LS"	""	
"58.885"	""	"1.12e+11"	"5.84e-02"	D	"0.000000"	"15.4754?"	"2s2.2p3"	"4S*"	"3/2"	"2s.2p3.(5S*).3p"	"4P"	"3/2"		"c70,LS"	""	
"58.888"	""	"1.83e+09"	"9.52e-04"	C	"0.000000"	"15.4747"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(1D).3d?"	"2P?"	"3/2"		"c69"	""	
"58.942"	""	"3.86e+08"	"1.00e-04"	C	"0.000000"	"15.4605"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(1D).3d?"	"2P?"	"1/2"		"c69"	""	
"59.257"	""	"3.48e+08"	"2.75e-04"	D	"0.000000"	"15.3782"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(1D).3d"	"2D"	"5/2"		"c69"	""	
"59.314"	""	"9.17e+07"	"4.84e-05"	D	"0.000000"	"15.3635"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(1D).3d"	"2D"	"3/2"		"c69"	""	
"59.354"	""	"1.12e+08"	"8.87e-05"	D	"0.000000"	"15.3531"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(1D).3d"	"2F"	"5/2"		"c69"	""	
"60.223"	""	"2.96e+07"	"2.41e-05"	D	"0.000000"	"15.1315"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"2D"	"5/2"		"c69"	""	
"60.266"	""	"1.10e+07"	"5.99e-06"	D	"0.000000"	"15.1208"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"2D"	"3/2"		"c69"	""	
"60.989"	""	"8.72e+11"	"2.43e-01"	B	"0.000000"	"14.9415"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"4P"	"1/2"		"c69"	""	
"61.019"	""	"8.55e+11"	"4.77e-01"	A	"0.000000"	"14.9341"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"4P"	"3/2"		"c69"	""	
"61.070"	""	"8.31e+11"	"6.97e-01"	A	"0.000000"	"14.9217"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"4P"	"5/2"		"c69"	""	
"61.198"	""	"2.34e+09"	"1.97e-03"	C	"0.000000"	"14.8905"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"2F"	"5/2"		"c69"	""	
"61.388"	""	"6.49e+09"	"3.66e-03"	E	"0.630306"	"15.4747"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).3d?"	"2P?"	"3/2"		"c69"	""	
"61.398"	""	"1.31e+11"	"4.93e-02"	B	"0.632606"	"15.4747"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).3d?"	"2P?"	"3/2"		"c69"	""	
"61.447"	""	"1.97e+11"	"5.59e-02"	B	"0.630306"	"15.4605"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).3d?"	"2P?"	"1/2"		"c69"	""	
"61.539"	""	"1.07e+10"	"6.10e-03"	D	"0.000000"	"14.8080"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"2P"	"3/2"		"c69"	""	
"61.790"	""	"2.24e+11"	"1.92e-01"	D	"0.630306"	"15.3782"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).3d"	"2D"	"5/2"		"c69"	""	
"61.799"	""	"1.43e+11"	"8.18e-02"	E	"0.632606"	"15.3782"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).3d"	"2D"	"5/2"		"c69"	""	
"61.851"	""	"3.82e+11"	"2.19e-01"	B	"0.630306"	"15.3635"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).3d"	"2D"	"3/2"		"c69"	""	
"61.861"	""	"4.65e+10"	"1.78e-02"	C	"0.632606"	"15.3635"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).3d"	"2D"	"3/2"		"c69"	""	
"61.895"	""	"6.17e+11"	"5.32e-01"	D	"0.630306"	"15.3531"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).3d"	"2F"	"5/2"		"c69"	""	
"61.905"	""	"2.65e+11"	"1.52e-01"	D	"0.632606"	"15.3531"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).3d"	"2F"	"5/2"		"c69"	""	
"61.914"	""	"9.22e+11"	"7.07e-01"	A	"0.632606"	"15.3508"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).3d"	"2F"	"7/2"		"c69"	""	
"62.565"	""	"1.21e+11"	"7.10e-02"	C	"0.96000"	"15.5252?"	"2s2.2p3"	"2P*"	"1/2"	"2s2.2p2.(1D).3d"	"2S"	"1/2"		"c69"	""	
"62.586"	""	"2.97e+11"	"8.72e-02"	A	"0.9649"	"15.5252?"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(1D).3d"	"2S"	"1/2"		"c69"	""	
"62.782"	""	"6.20e+10"	"7.32e-02"	A	"0.96000"	"15.4747"	"2s2.2p3"	"2P*"	"1/2"	"2s2.2p2.(1D).3d?"	"2P?"	"3/2"		"c69"	""	
"62.804"	""	"3.66e+11"	"2.17e-01"	B	"0.9649"	"15.4747"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(1D).3d?"	"2P?"	"3/2"		"c69"	""	
"62.841"	""	"8.67e+10"	"7.70e-02"	E	"0.630306"	"15.1315"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(3P).3d"	"2D"	"5/2"		"c69"	""	
"62.844"	""	"2.70e+11"	"1.60e-01"	B	"0.96000"	"15.4605"	"2s2.2p3"	"2P*"	"1/2"	"2s2.2p2.(1D).3d?"	"2P?"	"1/2"		"c69"	""	
"62.851"	""	"2.46e+11"	"1.46e-01"	B	"0.632606"	"15.1315"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(3P).3d"	"2D"	"5/2"		"c69"	""	
"62.865"	""	"8.41e+10"	"2.49e-02"	D	"0.9649"	"15.4605"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(1D).3d?"	"2P?"	"1/2"		"c69"	""	
"62.887"	""	"1.68e+11"	"9.98e-02"	D	"0.630306"	"15.1208"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(3P).3d"	"2D"	"3/2"		"c69"	""	
"62.897"	""	"3.39e+10"	"1.34e-02"	C	"0.632606"	"15.1208"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(3P).3d"	"2D"	"3/2"		"c69"	""	
"63.224"	""	"3.67e+11"	"3.30e-01"	B	"0.9649"	"15.3782"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(1D).3d"	"2D"	"5/2"		"c69"	""	
"63.267"	""	"2.39e+11"	"2.87e-01"	C	"0.96000"	"15.3635"	"2s2.2p3"	"2P*"	"1/2"	"2s2.2p2.(1D).3d"	"2D"	"3/2"		"c69"	""	
"63.289"	""	"2.12e+10"	"1.27e-02"	E	"0.9649"	"15.3635"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(1D).3d"	"2D"	"3/2"		"c69"	""	
"63.675"	""	"1.08e+08"	"3.29e-05"	D	"0.630306"	"14.9415"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(3P).3d"	"4P"	"1/2"		"c69"	""	
"63.708"	""	"5.15e+06"	"3.13e-06"	D	"0.630306"	"14.9341"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(3P).3d"	"4P"	"3/2"		"c69"	""	
"63.718"	""	"5.60e+08"	"2.27e-04"	C	"0.632606"	"14.9341"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(3P).3d"	"4P"	"3/2"		"c69"	""	
"63.732"	""	"1.81e+11"	"1.47e-01"	B	"0.632606"	"14.9310"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(3P).3d"	"2F"	"7/2"		"c69"	""	
"63.763"	""	"1.13e+08"	"1.03e-04"	C	"0.630306"	"14.9217"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(3P).3d"	"4P"	"5/2"		"c69"	""	
"63.773"	""	"4.63e+08"	"2.83e-04"	C	"0.632606"	"14.9217"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(3P).3d"	"4P"	"5/2"		"c69"	""	
"63.879"	""	"1.04e+10"	"3.17e-03"	C	"0.630306"	"14.8959"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(3P).3d"	"4D"	"1/2?"		"c69"	""	
