ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"232.542"	"0.010"	""	"7.3e+07"	"1.2e-03"	E	"1.4618"	"5.38048"	"3s.3p2"	"4P"	"1/2"	"3s.3p.(3P*).3d"	"2P*"	"3/2"		"T4907c21"	"L11926"	
"249.641"	"0.010"	""	"1.9e+08"	"8.9e-04"	E	"1.93237"	"5.58268"	"3s.3p2"	"2D"	"3/2"	"3s.3p.(1P*).3d"	"2P*"	"1/2"		"T4907c21"	"L11926"	
"260.510"	"0.010"	""	"1.3e+09"	"1.3e-02"	E	"1.93743"	"5.43543"	"3s.3p2"	"2D"	"5/2"	"3s.3p.(1P*).3d"	"2F*"	"5/2"		"T4907c21"	"L11926"	
"261.890"	"0.010"	""	"7.9e+07"	"1.1e-03"	E	"1.5246"	"5.00420"	"3s.3p2"	"4P"	"5/2"	"3s.3p.(3P*).3d"	"2F*"	"7/2"		"T4907c21"	"L11926"	
"288.650"	"0.010"	""	"2.3e+10"	"2.9e-01"	E	"1.4618"	"4.61875"	"3s.3p2"	"4P"	"1/2"	"3s.3p.(3P*).3d"	"4D*"	"1/2"		"T4907c21"	"L11926"	
"293.336"	"0.010"	""	"1.8e+10"	"1.2e-01"	E	"1.4877"	"4.59427"	"3s.3p2"	"4P"	"3/2"	"3s.3p.(3P*).3d"	"4P*"	"1/2"		"T4907c21"	"L11926"	
"293.643"	"0.010"	""	"1.7e+10"	"2.2e-01"	D	"1.5246"	"4.62795"	"3s.3p2"	"4P"	"5/2"	"3s.3p.(3P*).3d"	"4D*"	"5/2"		"T4907c21"	""	
"295.668"	"0.010"	""	"1.4e+10"	"2.8e-01"	D	"1.4877"	"4.56977"	"3s.3p2"	"4P"	"3/2"	"3s.3p.(3P*).3d"	"4P*"	"5/2"		"T4907c21"	"L11926"	
"301.589"	"0.010"	""	"6.7e+09"	"9.1e-02"	D	"2.56113"	"5.58268"	"3s.3p2"	"2P"	"1/2"	"3s.3p.(1P*).3d"	"2P*"	"1/2"		"T4907c21"	"L11926"	
"302.519"	"0.010"	""	"1.2e+09"	"1.6e-02"	E	"1.93743"	"4.94969"	"3s.3p2"	"2D"	"5/2"	"3s.3p.(3P*).3d"	"2F*"	"5/2"		"T4907c21"	"L11926"	
