configuration	term	J	energy
3d2.(3F).4s	a 4F	3/2	0.0
3d2.(3F).4s	a 4F	5/2	0.000857632
3d2.(3F).4s	a 4F	7/2	0.002056765
3d2.(3F).4s	a 4F	9/2	0.003585343
3d3	b 4F	3/2	0.008274006
3d3	b 4F	5/2	0.0089661
3d3	b 4F	7/2	0.009908718
3d3	b 4F	9/2	0.011079485
3d2.(3F).4s	a 2F	5/2	0.042179427
3d2.(3F).4s	a 2F	7/2	0.044631289000000005
3d2.(1D).4s	a 2D	3/2	0.079376532
3d2.(1D).4s	a 2D	5/2	0.079684295
3d3	a 2G	7/2	0.081993872
3d3	a 2G	9/2	0.083091926
3d3	a 4P	1/2	0.0853287
3d3	a 4P	3/2	0.08562084800000001
3d3	a 4P	5/2	0.086735779
3d3	a 2P	1/2	0.089769049
3d2.(3P).4s	b 4P	1/2	0.08996848
3d2.(3P).4s	b 4P	3/2	0.090495895
3d3	a 2P	3/2	0.090907995
3d2.(3P).4s	b 4P	5/2	0.09135270699999999
3d3	b 2D2	3/2	0.11508250800000001
3d3	a 2H	9/2	0.11552228099999999
3d3	b 2D2	5/2	0.11626181699999999
3d3	a 2H	11/2	0.116412696
3d2.(1G).4s	b 2G	9/2	0.13903705
3d2.(1G).4s	b 2G	7/2	0.139111295
3d2.(3P).4s	b 2P	1/2	0.150504282
3d2.(3P).4s	b 2P	3/2	0.151500372
3d3	b 2F	7/2	0.190379997
3d3	b 2F	5/2	0.190926441
3d.4s2	c 2D	3/2	0.227463109
3d.4s2	c 2D	5/2	0.22957518899999999
3d2.(3F).4p	z 4G*	5/2	0.269228875
3d2.(3F).4p	z 4G*	7/2	0.2709618
3d2.(3F).4p	z 4G*	9/2	0.273091521
3d2.(3F).4p	z 4G*	11/2	0.275575718
3d2.(3F).4p	z 4F*	3/2	0.281002181
3d2.(3F).4p	z 4F*	5/2	0.282115381
3d2.(3F).4p	z 4F*	7/2	0.283528681
3d2.(3F).4p	z 2F*	5/2	0.28438376600000004
3d2.(3F).4p	z 4F*	9/2	0.285236295
3d2.(3F).4p	z 2F*	7/2	0.286966357
3d2.(3F).4p	z 2D*	3/2	0.28938780199999997
3d2.(1S).4s	a 2S	1/2	0.28967297
3d2.(3F).4p	z 2D*	5/2	0.291838663
3d3	d 2D1	3/2	0.294115872
3d3	d 2D1	5/2	0.294639092
3d2.(3F).4p	z 4D*	1/2	0.296456625
3d2.(3F).4p	z 4D*	3/2	0.29709699300000003
3d2.(3F).4p	z 4D*	5/2	0.29796703199999997
3d2.(3F).4p	z 4D*	7/2	0.29859666100000004
