ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"1910.61231"	"0.00011"	"45"	"3.80e+08"	"1.04e-01"	A'	"0.000000000"	"0.47695027"	"3d2.(3F).4s"	"a 4F"	"3/2"	"3d.(2D).4s.4p.(3P*)"	"4D*"	"1/2"		"T7471"	"u37"	
"1910.95380"	"0.00011"	"67"	"1.79e+08"	"9.8e-02"	A	"0.000000000"	"0.47686504"	"3d2.(3F).4s"	"a 4F"	"3/2"	"3d.(2D).4s.4p.(3P*)"	"4F*"	"3/2"		"T7471"	"u37"	
"2440.90443"	"0.00010"	"47"	"5.1e+07"	"4.6e-02"	C	"0.115082508"	"0.488414229"	"3d3"	"b 2D2"	"3/2"	"3d.(2D).4s.4p.(3P*)"	"w 2D*"	"3/2"		"T2805"	"u37"	
"2443.42585"	"0.00010"	"7:"	"4.0e+06"	"5.4e-03"	D	"0.115082508"	"0.488028981"	"3d3"	"b 2D2"	"3/2"	"3d.(2D).4s.4p.(3P*)"	"w 2D*"	"5/2"		"T2403n"	"L5432"	
"2448.63938"	"0.00010"	"6"	"3.7e+06"	"2.2e-03"	D	"0.116261817"	"0.488414229"	"3d3"	"b 2D2"	"5/2"	"3d.(2D).4s.4p.(3P*)"	"w 2D*"	"3/2"		"T2403n"	"u37"	
"2451.17681"	"0.00010"	"73"	"4.5e+07"	"4.1e-02"	C	"0.116261817"	"0.488028981"	"3d3"	"b 2D2"	"5/2"	"3d.(2D).4s.4p.(3P*)"	"w 2D*"	"5/2"		"T2805"	"u37"	
"2473.67281"	"0.00007"	"4"	"2.08e+06"	"1.91e-03"	B'	"0.000000000"	"0.368386251"	"3d2.(3F).4s"	"a 4F"	"3/2"	"3d2.(3P).4p"	"y 4D*"	"3/2"		"T7385"	"L17999"	
"2474.94199"	"0.00007"	"17"	"6.51e+05"	"4.78e-04"	C+	"0.003585343"	"0.371782680"	"3d2.(3F).4s"	"a 4F"	"9/2"	"3d2.(3P).4p"	"y 4D*"	"7/2"		"T7385"	"u37"	
"2477.95081"	"0.00006"	"14"	"7.9e+05"	"5.5e-04"	D	"0.002056765"	"0.369807024"	"3d2.(3F).4s"	"a 4F"	"7/2"	"3d2.(3P).4p"	"y 4D*"	"5/2"		"T2403n"	"u37"	
"2479.44515"	"0.00010"	"10"	"5.12e+05"	"3.1e-04"	D+	"0.000857632"	"0.368386251"	"3d2.(3F).4s"	"a 4F"	"5/2"	"3d2.(3P).4p"	"y 4D*"	"3/2"		"T7385"	"u37"	
"2482.23858"	"0.00012"	"4:"	"2.0e+06"	"1.2e-03"	D	"0.042179427"	"0.409294441"	"3d2.(3F).4s"	"a 2F"	"5/2"	"3d2.(3P).4p"	"x 2D*"	"3/2"		"T2403n"	"L5432"	
"2499.70456"	"0.00006"	"21"	"1.37e+06"	"9.63e-04"	C	"0.044631289"	"0.409181191"	"3d2.(3F).4s"	"a 2F"	"7/2"	"3d2.(3P).4p"	"x 2D*"	"5/2"		"T7385"	"u37"	
"2511.64666"	"0.00007"	"9"	"3.61e+05"	"4.6e-04"	D+	"0.008966100"	"0.371782680"	"3d3"	"b 4F"	"5/2"	"3d2.(3P).4p"	"y 4D*"	"7/2"		"T7385"	"L17999"	
"2518.18906"	"0.00007"	"160"	"5.01e+06"	"4.76e-03"	B+	"0.009908718"	"0.371782680"	"3d3"	"b 4F"	"7/2"	"3d2.(3P).4p"	"y 4D*"	"7/2"		"T7385"	"u37"	
"2520.56384"	"0.00007"	"12"	"4.61e+05"	"6.59e-04"	C'	"0.008274006"	"0.369807024"	"3d3"	"b 4F"	"3/2"	"3d2.(3P).4p"	"y 4D*"	"5/2"		"T7385"	"u37"	
"2525.39828"	"0.00006"	"206"	"8.21e+06"	"7.85e-03"	B+	"0.008966100"	"0.369807024"	"3d3"	"b 4F"	"5/2"	"3d2.(3P).4p"	"y 4D*"	"5/2"		"T7385"	"u37"	
"2526.36257"	"0.00007"	"1350"	"4.06e+07"	"3.11e-02"	B+	"0.011079485"	"0.371782680"	"3d3"	"b 4F"	"9/2"	"3d2.(3P).4p"	"y 4D*"	"7/2"		"T7385"	"u37"	
"2530.50837"	"0.00009"	"154"	"7.48e+06"	"7.18e-03"	B+	"0.008274006"	"0.368386251"	"3d3"	"b 4F"	"3/2"	"3d2.(3P).4p"	"y 4D*"	"3/2"		"T7385"	"u37"	
"2532.01262"	"0.00006"	"930"	"3.71e+07"	"2.67e-02"	B+	"0.009908718"	"0.369807024"	"3d3"	"b 4F"	"7/2"	"3d2.(3P).4p"	"y 4D*"	"5/2"		"T7385"	"u37"	
"2535.38108"	"0.00008"	"610"	"2.95e+07"	"1.90e-02"	B+	"0.008966100"	"0.368386251"	"3d3"	"b 4F"	"5/2"	"3d2.(3P).4p"	"y 4D*"	"3/2"		"T7385"	"u37"	
"2536.63216"	"0.00009"	"384"	"4.86e+07"	"2.34e-02"	B+	"0.008274006"	"0.367516888"	"3d3"	"b 4F"	"3/2"	"3d2.(3P).4p"	"y 4D*"	"1/2"		"T7385"	"u37"	
"2556.75284"	"0.00016"	"355*"	"3.2e+07"	"4.2e-02"	D	"0.042179427"	"0.398595205"	"3d2.(3F).4s"	"a 2F"	"5/2"	"3d2.(1G).4p"	"y 2G*"	"7/2"		"T2403n"	"u37"	
"2569.73747"	"0.00009"	"29"	"1.65e+06"	"2.5e-03"	D+	"0.079376532"	"0.433991375"	"3d2.(1D).4s"	"a 2D"	"3/2"	"3d2.(1G).4p"	"x 2F*"	"5/2"		"T7385"	"u37"	
"2571.80245"	"0.00007"	"274"	"1.26e+07"	"1.56e-02"	B+	"0.044631289"	"0.398961402"	"3d2.(3F).4s"	"a 2F"	"7/2"	"3d2.(1G).4p"	"y 2G*"	"9/2"		"T7385"	"u37"	
"2573.41716"	"0.00007"	"62"	"2.13e+06"	"1.69e-03"	B'	"0.011079485"	"0.365187270"	"3d3"	"b 4F"	"9/2"	"3d2.(1D).4p"	"y 2F*"	"7/2"		"T7385"	"u37"	
"2574.46313"	"0.00012"	"12"	"2.7e+06"	"2.7e-03"	C	"0.044631289"	"0.398595205"	"3d2.(3F).4s"	"a 2F"	"7/2"	"3d2.(1G).4p"	"y 2G*"	"7/2"		"T2805"	"u37"	
"2582.48407"	"0.00007"	"50"	"4.24e+06"	"5.65e-03"	C+	"0.079684295"	"0.432548834"	"3d2.(1D).4s"	"a 2D"	"5/2"	"3d2.(1G).4p"	"x 2F*"	"7/2"		"T7385"	"u37"	
"2604.87430"	"0.00006"	"18"	"4.25e+05"	"3.24e-04"	C	"0.009908718"	"0.359740205"	"3d3"	"b 4F"	"7/2"	"3d2.(1D).4p"	"y 2D*"	"5/2"		"T7385"	"u37"	
"2636.23318"	"0.00010"	"469"	"1.9e+08"	"2.0e-01"	D	"0.281002181"	"0.626672304"	"3d2.(3F).4p"	"z 4F*"	"3/2"	"3d2.(3F).4d"	"f 4F"	"3/2"		"T2805"	"u37"	
"2639.3501"	"0.0003"	"790"	"1.7e+08"	"1.8e-01"	D	"0.282115381"	"0.62737728"	"3d2.(3F).4p"	"z 4F*"	"5/2"	"3d2.(3F).4d"	"f 4F"	"5/2"		"T2805"	"u37"	
"2642.81412"	"0.00008"	"1290"	"1.9e+08"	"2.0e-01"	D	"0.283528681"	"0.628338043"	"3d2.(3F).4p"	"z 4F*"	"7/2"	"3d2.(3F).4d"	"f 4F"	"7/2"		"T2805"	"u37"	
"2646.65334"	"0.00009"	"2180"	"2.7e+08"	"2.8e-01"	D	"0.285236295"	"0.629545478"	"3d2.(3F).4p"	"z 4F*"	"9/2"	"3d2.(3F).4d"	"f 4F"	"9/2"		"T2805"	"u37"	
"2714.56168"	"0.00008"	"7"	"1.5e+06"	"1.7e-03"	D	"0.079376532"	"0.415072366"	"3d2.(1D).4s"	"a 2D"	"3/2"	"3d2.(3P).4p"	"y 2P*"	"3/2"		"T2403n"	"u37"	
"2717.05265"	"0.00008"	"72"	"3.78e+06"	"2.79e-03"	B'	"0.079684295"	"0.415072366"	"3d2.(1D).4s"	"a 2D"	"5/2"	"3d2.(3P).4p"	"y 2P*"	"3/2"		"T7385"	"u37"	
"2718.10227"	"0.00012"	"34"	"2.88e+06"	"6.38e-04"	C+	"0.083091926"	"0.418350485"	"3d3"	"a 2G"	"9/2"	"3d2.(1G).4p"	"z 2H*"	"11/2"		"T7385"	"u37"	
"2720.20877"	"0.00008"	"34"	"6.49e+06"	"3.60e-03"	C+	"0.079376532"	"0.414375470"	"3d2.(1D).4s"	"a 2D"	"3/2"	"3d2.(3P).4p"	"y 2P*"	"1/2"		"T7385"	"u37"	
"2726.58042"	"0.00013"	"31"	"2.41e+06"	"3.36e-03"	C+	"0.081993872"	"0.416209963"	"3d3"	"a 2G"	"7/2"	"3d2.(1G).4p"	"z 2H*"	"9/2"		"T7385"	"u37"	
"2747.35457"	"0.00011"	"305"	"2.6e+08"	"3.9e-01"	D	"0.284383766"	"0.616072679"	"3d2.(3F).4p"	"z 2F*"	"5/2"	"3d2.(3F).4d"	"e 2G"	"7/2"		"T2805"	"u37"	
"2752.41966"	"0.00014"	"540"	"3.7e+08"	"5.3e-01"	D	"0.286966357"	"0.618044885"	"3d2.(3F).4p"	"z 2F*"	"7/2"	"3d2.(3F).4d"	"e 2G"	"9/2"		"T2805"	"u37"	
"2753.49844"	"0.00011"	"770"	"1.1e+08"	"1.6e-01"	D	"0.298596661"	"0.629545478"	"3d2.(3F).4p"	"z 4D*"	"7/2"	"3d2.(3F).4d"	"f 4F"	"9/2"		"T2805"	"u37"	
"2758.31419"	"0.00008"	"418"	"7.2e+07"	"1.1e-01"	D	"0.297967032"	"0.628338043"	"3d2.(3F).4p"	"z 4D*"	"5/2"	"3d2.(3F).4d"	"f 4F"	"7/2"		"T2403n"	"u37"	
"2759.0718"	"0.0004"	"250"	"9.9e+07"	"1.7e-01"	D	"0.297096993"	"0.62737728"	"3d2.(3F).4p"	"z 4D*"	"3/2"	"3d2.(3F).4d"	"f 4F"	"5/2"		"T2403n"	"u37"	
"2759.61169"	"0.00011"	"126"	"4.4e+07"	"1.0e-01"	D	"0.296456625"	"0.626672304"	"3d2.(3F).4p"	"z 4D*"	"1/2"	"3d2.(3F).4d"	"f 4F"	"3/2"		"T2403n"	"u37"	
"2762.10240"	"0.00008"	"70"	"1.04e+07"	"1.19e-02"	B+	"0.079376532"	"0.409294441"	"3d2.(1D).4s"	"a 2D"	"3/2"	"3d2.(3P).4p"	"x 2D*"	"3/2"		"T7385"	"u37"	
"2763.05087"	"0.00008"	"28"	"2.88e+06"	"4.94e-03"	C+	"0.079376532"	"0.409181191"	"3d2.(1D).4s"	"a 2D"	"3/2"	"3d2.(3P).4p"	"x 2D*"	"5/2"		"T7385"	"u37"	
"2763.58110"	"0.00010"	"70"	"7.2e+06"	"8.2e-03"	D	"0.298596661"	"0.628338043"	"3d2.(3F).4p"	"z 4D*"	"7/2"	"3d2.(3F).4d"	"f 4F"	"7/2"		"T2403n"	"u37"	
"2764.73925"	"0.00015"	":"	"1.7e+05"	"2.6e-04"	D	"0.042179427"	"0.371782680"	"3d2.(3F).4s"	"a 2F"	"5/2"	"3d2.(3P).4p"	"y 4D*"	"7/2"		"T2403n"	""	
"2764.97365"	"0.00010"	"56"	"7.4e+07"	"8.5e-02"	D	"0.297096993"	"0.626672304"	"3d2.(3F).4p"	"z 4D*"	"3/2"	"3d2.(3F).4d"	"f 4F"	"3/2"		"T2403n"	"u37"	
"2765.63167"	"0.00008"	"126"	"1.13e+07"	"1.30e-02"	B+	"0.079684295"	"0.409181191"	"3d2.(1D).4s"	"a 2D"	"5/2"	"3d2.(3P).4p"	"x 2D*"	"5/2"		"T7385"	"u37"	
"2766.01260"	"0.00014"	"8"	"1.68e+06"	"1.9e-03"	D+	"0.085620848"	"0.415072366"	"3d3"	"a 4P"	"3/2"	"3d2.(3P).4p"	"y 2P*"	"3/2"		"T7385"	"u37"	
"2781.41115"	"0.00014"	":"	"2.5e+06"	"2.9e-03"	D	"0.042179427"	"0.369807024"	"3d2.(3F).4s"	"a 2F"	"5/2"	"3d2.(3P).4p"	"y 4D*"	"5/2"		"T2805"	""	
"2785.45981"	"0.00009"	"22"	"1.02e+06"	"1.19e-03"	B'	"0.044631289"	"0.371782680"	"3d2.(3F).4s"	"a 2F"	"7/2"	"3d2.(3P).4p"	"y 4D*"	"7/2"		"T7385"	"u37"	
"2805.64610"	"0.00009"	"470"	"4.6e+08"	"7.2e-01"	D	"0.269228875"	"0.594026449"	"3d2.(3F).4p"	"z 4G*"	"5/2"	"3d2.(3F).4d"	"e 4H"	"7/2"		"T2805"	"u37"	
"2807.29829"	"0.00010"	"36"	"1.01e+07"	"1.19e-02"	B	"0.089769049"	"0.414375470"	"3d3"	"a 2P"	"1/2"	"3d2.(3P).4p"	"y 2P*"	"1/2"		"T7385"	"u37"	
"2811.05640"	"0.00009"	"590"	"5.1e+08"	"7.6e-01"	D	"0.270961800"	"0.595134254"	"3d2.(3F).4p"	"z 4G*"	"7/2"	"3d2.(3F).4d"	"e 4H"	"9/2"		"T2805"	"u37"	
"2811.12649"	"0.00009"	"103"	"1.88e+07"	"2.23e-02"	B+	"0.090907995"	"0.415072366"	"3d3"	"a 2P"	"3/2"	"3d2.(3P).4p"	"y 2P*"	"3/2"		"T7385"	"u37"	
"2812.85005"	"0.00012"	"7"	"9.85e+05"	"2.34e-03"	C'	"0.085328700"	"0.409294441"	"3d3"	"a 4P"	"1/2"	"3d2.(3P).4p"	"x 2D*"	"3/2"		"T7385"	"u37"	
"2816.37435"	"0.00014"	"15"	"1.41e+06"	"2.52e-03"	C	"0.085620848"	"0.409181191"	"3d3"	"a 4P"	"3/2"	"3d2.(3P).4p"	"x 2D*"	"5/2"		"T7385"	"u37"	
"2817.18294"	"0.00009"	"20"	"8.30e+06"	"4.94e-03"	B'	"0.090907995"	"0.414375470"	"3d3"	"a 2P"	"3/2"	"3d2.(3P).4p"	"y 2P*"	"1/2"		"T7385"	"u37"	
"2818.64406"	"0.00009"	"780"	"3.8e+08"	"5.4e-01"	D	"0.273091521"	"0.596391317"	"3d2.(3F).4p"	"z 4G*"	"9/2"	"3d2.(3F).4d"	"e 4H"	"11/2"		"T2805"	"u37"	
"2820.69565"	"0.00009"	"82"	"6.5e+07"	"7.8e-02"	D	"0.270961800"	"0.594026449"	"3d2.(3F).4p"	"z 4G*"	"7/2"	"3d2.(3F).4d"	"e 4H"	"7/2"		"T2403n"	"u37"	
"2821.19172"	"0.00014"	"19"	"1.20e+06"	"1.91e-03"	B'	"0.042179427"	"0.365187270"	"3d2.(3F).4s"	"a 2F"	"5/2"	"3d2.(1D).4p"	"y 2F*"	"7/2"		"T7385"	"u37"	
"2822.08235"	"0.00008"	"70"	"7.9e+07"	"1.3e-01"	D	"0.269228875"	"0.592134777"	"3d2.(3F).4p"	"z 4G*"	"5/2"	"3d2.(3F).4d"	"e 4G"	"7/2"		"T2805"	"u37"	
"2827.94605"	"0.00009"	"115"	"1.0e+08"	"1.5e-01"	D	"0.270961800"	"0.593198163"	"3d2.(3F).4p"	"z 4G*"	"7/2"	"3d2.(3F).4d"	"e 4G"	"9/2"		"T2805"	"u37"	
"2828.89007"	"0.00014"	"1180"	"4.4e+08"	"6.2e-01"	D	"0.275575718"	"0.597704549"	"3d2.(3F).4p"	"z 4G*"	"11/2"	"3d2.(3F).4d"	"e 4H"	"13/2"		"T2805"	"u37"	
"2829.47742"	"0.00010"	"136"	"1.2e+08"	"1.4e-01"	D	"0.269228875"	"0.591290838"	"3d2.(3F).4p"	"z 4G*"	"5/2"	"3d2.(3F).4d"	"e 4G"	"5/2"		"T2403n"	"u37"	
"2829.64637"	"0.00009"	"130"	"9.1e+07"	"1.1e-01"	D	"0.273091521"	"0.595134254"	"3d2.(3F).4p"	"z 4G*"	"9/2"	"3d2.(3F).4d"	"e 4H"	"9/2"		"T2403n"	"u37"	
"2833.00869"	"0.00015"	"208"	"2.04e+07"	"2.45e-02"	B+	"0.042179427"	"0.363839948"	"3d2.(3F).4s"	"a 2F"	"5/2"	"3d2.(1D).4p"	"y 2F*"	"5/2"		"T7385"	"u37"	
"2834.84489"	"0.00009"	"118"	"7.9e+07"	"1.1e-01"	D	"0.273091521"	"0.594543694"	"3d2.(3F).4p"	"z 4G*"	"9/2"	"3d2.(3F).4d"	"e 4G"	"11/2"		"T2805"	"u37"	
"2837.30922"	"0.00009"	"121"	"1.2e+08"	"1.4e-01"	D	"0.270961800"	"0.592134777"	"3d2.(3F).4p"	"z 4G*"	"7/2"	"3d2.(3F).4d"	"e 4G"	"7/2"		"T2805"	"u37"	
"2840.46990"	"0.00010"	"122"	"8.3e+07"	"1.0e-01"	D	"0.275575718"	"0.596391317"	"3d2.(3F).4p"	"z 4G*"	"11/2"	"3d2.(3F).4d"	"e 4H"	"11/2"		"T2805"	"u37"	
"2842.77039"	"0.00007"	"292"	"2.39e+07"	"2.90e-02"	B+	"0.044631289"	"0.365187270"	"3d2.(3F).4s"	"a 2F"	"7/2"	"3d2.(1D).4p"	"y 2F*"	"7/2"		"T7385"	"u37"	
"2844.78441"	"0.00010"	"14"	"1.5e+07"	"1.4e-02"	D	"0.270961800"	"0.591290838"	"3d2.(3F).4p"	"z 4G*"	"7/2"	"3d2.(3F).4d"	"e 4G"	"5/2"		"T2403n"	"u37"	
"2846.76083"	"0.00009"	"129"	"1.2e+08"	"1.5e-01"	D	"0.273091521"	"0.593198163"	"3d2.(3F).4p"	"z 4G*"	"9/2"	"3d2.(3F).4d"	"e 4G"	"9/2"		"T2805"	"u37"	
"2851.93939"	"0.00011"	"123"	"3.49e+07"	"8.51e-02"	B+	"0.089769049"	"0.409294441"	"3d3"	"a 2P"	"1/2"	"3d2.(3P).4p"	"x 2D*"	"3/2"		"T7385"	"u37"	
"2854.76921"	"0.00008"	"31"	"3.74e+06"	"3.43e-03"	B+	"0.044631289"	"0.363839948"	"3d2.(3F).4s"	"a 2F"	"7/2"	"3d2.(1D).4p"	"y 2F*"	"5/2"		"T7385"	"u37"	
"2856.24921"	"0.00009"	"14"	"1.4e+07"	"1.4e-02"	D	"0.273091521"	"0.592134777"	"3d2.(3F).4p"	"z 4G*"	"9/2"	"3d2.(3F).4d"	"e 4G"	"7/2"		"T2403n"	"u37"	
"2856.92333"	"0.00010"	"167"	"1.5e+08"	"1.8e-01"	D	"0.275575718"	"0.594543694"	"3d2.(3F).4p"	"z 4G*"	"11/2"	"3d2.(3F).4d"	"e 4G"	"11/2"		"T2805"	"u37"	
"2857.45285"	"0.00011"	"9"	"1.16e+06"	"2.1e-03"	D+	"0.115082508"	"0.433991375"	"3d3"	"b 2D2"	"3/2"	"3d2.(1G).4p"	"x 2F*"	"5/2"		"T7385"	"u37"	
"2859.24993"	"0.00015"	"22"	"3.50e+06"	"2.86e-03"	B	"0.042179427"	"0.360887855"	"3d2.(3F).4s"	"a 2F"	"5/2"	"3d2.(1D).4p"	"y 2D*"	"3/2"		"T7385"	"u37"	
"2862.14147"	"0.00009"	"16"	"3.62e+06"	"4.45e-03"	C+	"0.090907995"	"0.409294441"	"3d3"	"a 2P"	"3/2"	"3d2.(3P).4p"	"x 2D*"	"3/2"		"T7385"	"u37"	
"2863.15990"	"0.00009"	"177"	"3.44e+07"	"6.34e-02"	B+	"0.090907995"	"0.409181191"	"3d3"	"a 2P"	"3/2"	"3d2.(3P).4p"	"x 2D*"	"5/2"		"T7385"	"u37"	
"2869.58313"	"0.00015"	"49"	"4.26e+06"	"5.26e-03"	B+	"0.042179427"	"0.359740205"	"3d2.(3F).4s"	"a 2F"	"5/2"	"3d2.(1D).4p"	"y 2D*"	"5/2"		"T7385"	"u37"	
"2874.95394"	"0.00010"	"4"	"1.40e+06"	"2.2e-03"	D+	"0.081993872"	"0.398961402"	"3d3"	"a 2G"	"7/2"	"3d2.(1G).4p"	"y 2G*"	"9/2"		"T7385"	"u37"	
"2878.27926"	"0.00016"	"178"	"4.13e+07"	"5.13e-02"	B+	"0.081993872"	"0.398595205"	"3d3"	"a 2G"	"7/2"	"3d2.(1G).4p"	"y 2G*"	"7/2"		"T7385"	"u37"	
"2881.13961"	"0.00009"	"9"	"1.92e+06"	"3.19e-03"	C+	"0.116261817"	"0.432548834"	"3d3"	"b 2D2"	"5/2"	"3d2.(1G).4p"	"x 2F*"	"7/2"		"T7385"	"u37"	
"2884.94812"	"0.00012"	"214"	"4.20e+07"	"5.24e-02"	B+	"0.083091926"	"0.398961402"	"3d3"	"a 2G"	"9/2"	"3d2.(1G).4p"	"y 2G*"	"9/2"		"T7385"	"u37"	
