ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"45.876"	""	"4.5e+09"	"1.4e-03"	D	"2.1554"	"22.019"	"2p6.3p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"3/2"		"T3334LS"	""	
"47.889"	""	"6.5e+09"	"2.2e-03"	D	"2.1554"	"21.184"	"2p6.3p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"3/2"		"T3334LS"	""	
"51.380"	""	"1.0e+10"	"4.0e-03"	D	"2.1554"	"19.891"	"2p6.3p"	"2P*"	"3/2"	"2p6.6d"	"2D"	"3/2"		"T3334LS"	""	
"52.897"	""	"2.4e+10"	"5.0e-03"	D	"2.1554"	"19.38"	"2p6.3p"	"2P*"	"3/2"	"2p6.6s"	"2S"	"1/2"		"T3334LS"	""	
"53.318"	""	"2.0e+09"	"8.5e-04"	E	"4.9751"	"22.066"	"2p6.3d"	"2D"	"5/2"	"2p6.8f"	"2F*"	"5/2"		"T3334LS"	""	
"53.781"	""	"2.8e+08"	"1.2e-04"	E	"4.964"	"21.908"	"2p6.3d"	"2D"	"3/2"	"2p6.8p"	"2P*"	"3/2"		"T3334LS"	""	
"53.781"	""	"2.8e+09"	"6.1e-04"	E	"4.964"	"21.908"	"2p6.3d"	"2D"	"3/2"	"2p6.8p"	"2P*"	"1/2"		"T3334LS"	""	
"53.817"	""	"2.5e+09"	"7.2e-04"	E	"4.9751"	"21.908"	"2p6.3d"	"2D"	"5/2"	"2p6.8p"	"2P*"	"3/2"		"T3334LS"	""	
"55.974"	""	"3.3e+09"	"1.6e-03"	D	"4.9751"	"21.255"	"2p6.3d"	"2D"	"5/2"	"2p6.7f"	"2F*"	"5/2"		"T3334LS"	""	
"56.786"	""	"4.4e+09"	"1.1e-03"	D	"4.964"	"21.011"	"2p6.3d"	"2D"	"3/2"	"2p6.7p"	"2P*"	"1/2"		"T3334LS"	""	
"56.786"	""	"4.4e+08"	"2.1e-04"	E	"4.964"	"21.011"	"2p6.3d"	"2D"	"3/2"	"2p6.7p"	"2P*"	"3/2"		"T3334LS"	""	
"56.826"	""	"3.9e+09"	"1.3e-03"	D	"4.9751"	"21.011"	"2p6.3d"	"2D"	"5/2"	"2p6.7p"	"2P*"	"3/2"		"T3334LS"	""	
"58.490"	""	"1.7e+10"	"8.7e-03"	D	"2.1554"	"17.7354"	"2p6.3p"	"2P*"	"3/2"	"2p6.5d"	"2D"	"3/2"		"T3334LS"	""	
"60.645"	""	"5.6e+09"	"3.1e-03"	D	"4.9751"	"20.001"	"2p6.3d"	"2D"	"5/2"	"2p6.6f"	"2F*"	"5/2"		"T3334LS"	""	
"62.201"	""	"7.4e+08"	"4.3e-04"	E	"4.964"	"19.614"	"2p6.3d"	"2D"	"3/2"	"2p6.6p"	"2P*"	"3/2"		"T3334LS"	""	
"62.239"	""	"7.6e+09"	"2.2e-03"	D	"4.964"	"19.605"	"2p6.3d"	"2D"	"3/2"	"2p6.6p"	"2P*"	"1/2"		"T3334LS"	""	
"62.249"	""	"6.7e+09"	"2.6e-03"	D	"4.9751"	"19.614"	"2p6.3d"	"2D"	"5/2"	"2p6.6p"	"2P*"	"3/2"		"T3334LS"	""	
"70.327"	""	"1.1e+10"	"8.2e-03"	D	"4.9751"	"17.9326"	"2p6.3d"	"2D"	"5/2"	"2p6.5f"	"2F*"	"5/2"		"T3334LS"	""	
"74.254"	""	"1.5e+09"	"1.2e-03"	E	"4.964"	"17.2360"	"2p6.3d"	"2D"	"3/2"	"2p6.5p"	"2P*"	"3/2"		"T3334LS"	""	
"74.368"	""	"1.5e+10"	"6.2e-03"	D	"4.964"	"17.2171"	"2p6.3d"	"2D"	"3/2"	"2p6.5p"	"2P*"	"1/2"		"T3334LS"	""	
"90.612"	""	"4.79e+09"	"1.18e-02"	C'	"11.8509"	"21.908"	"2p6.4s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"3/2"		"T3334"	""	
"90.612"	""	"4.79e+09"	"5.90e-03"	C'	"11.8509"	"21.908"	"2p6.4s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"1/2"		"T3334"	""	
"97.287"	""	"7.8e+09"	"2.2e-02"	C	"12.6521"	"22.019"	"2p6.4p"	"2P*"	"1/2"	"2p6.8d"	"2D"	"3/2"		"T3334LS"	"L11926"	
"97.683"	""	"9.2e+09"	"2.0e-02"	C	"12.6919"	"22.021"	"2p6.4p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"5/2"		"T3334LS"	""	
"97.702"	""	"1.5e+09"	"2.1e-03"	D	"12.6919"	"22.019"	"2p6.4p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"3/2"		"T3334LS"	""	
"99.482"	""	"7.0e+09"	"2.1e-02"	C'	"11.8509"	"21.011"	"2p6.4s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"3/2"		"T3334"	""	
"99.482"	""	"7.0e+09"	"1.0e-02"	C'	"11.8509"	"21.011"	"2p6.4s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"1/2"		"T3334"	""	
"99.543"	""	"3.1e+09"	"4.6e-03"	D	"12.6521"	"21.81"	"2p6.4p"	"2P*"	"1/2"	"2p6.8s"	"2S"	"1/2"		"T3334LS"	"L11926"	
"99.655"	""	"2.9e+10"	"4.3e-02"	D	"4.9751"	"14.1193"	"2p6.3d"	"2D"	"5/2"	"2p6.4f"	"2F*"	"5/2"		"T3334LS"	""	
"99.978"	""	"6.0e+09"	"4.5e-03"	D	"12.6919"	"21.81"	"2p6.4p"	"2P*"	"3/2"	"2p6.8s"	"2S"	"1/2"		"T3334LS"	""	
