configuration	term	J	energy
3s2.3p2	3P	0	0.0
3s2.3p2	3P	1	0.0381
3s2.3p2	3P	2	0.08585
3s2.3p2	1D	2	0.29624
3s2.3p2	1S	0	0.61739
3s.3p3	3D*	1	2.01375
3s.3p3	3D*	2	2.01456
3s.3p3	3D*	3	2.02396
3s.3p3	3P*	0	2.31404
3s.3p3	3P*	1	2.31596
3s.3p3	3P*	2	2.31769
3s.3p3	1D*	2	2.55127
3s.3p3	3S*	1	2.98806
3s.3p3	1P*	1	3.11047
3s2.3p.3d	3P*	2	3.5156
3s2.3p.3d	3P*	1	3.5662
3s2.3p.3d	3D*	1	3.6371
3s2.3p.3d	3D*	2	3.6518
3s2.3p.3d	3D*	3	3.6561
3s2.3p.3d	1F*	3	4.0104
3s2.3p.4s	3P*	1	7.884
3s2.3p.4s	3P*	2	7.956
3s2.3p.4s	1P*	1	8.007
3s2.3p.4d	3D*	3	9.756
3s2.3p.4d	1F*	3	9.893
