configuration	term	J	energy
3d3.4s2	a 4F	3/2	0.0
3d3.4s2	a 4F	5/2	0.001251926
3d3.4s2	a 4F	7/2	0.0029473290000000003
3d3.4s2	a 4F	9/2	0.0050388970000000005
3d4.(5D).4s	a 6D	1/2	0.01924853
3d4.(5D).4s	a 6D	3/2	0.019621593
3d4.(5D).4s	a 6D	5/2	0.02023155
3d4.(5D).4s	a 6D	7/2	0.021062743999999998
3d4.(5D).4s	a 6D	9/2	0.022096485
3d4.(5D).4s	a 4D	1/2	0.07666497900000001
3d4.(5D).4s	a 4D	3/2	0.07724112799999999
3d4.(5D).4s	a 4D	5/2	0.078173427
3d4.(5D).4s	a 4D	7/2	0.079423731
3d3.4s2	a 4P	1/2	0.08697711400000001
3d3.4s2	a 4P	3/2	0.08781916099999999
3d3.4s2	a 4P	5/2	0.08952858
3d3.4s2	a 2G	7/2	0.09925995
3d3.4s2	a 2G	9/2	0.101156074
3d3.4s2	a 2P	3/2	0.12576899
3d3.4s2	a 2P	1/2	0.12585427
3d3.4s2	2D2	3/2	0.13226819
3d3.4s2	2D2	5/2	0.13257857
3d4.(3H).4s	a 4H	7/2	0.135869535
3d4.(3H).4s	a 4H	9/2	0.13622858300000001
3d4.(3H).4s	a 4H	11/2	0.136698596
3d4.(3H).4s	a 4H	13/2	0.137263782
3d4.(3P2).4s	b 4P	1/2	0.137404372
3d3.4s2	a 2H	9/2	0.13763581
3d3.4s2	a 2H	11/2	0.13910338
3d4.(3P2).4s	b 4P	3/2	0.139155782
3d4.(3P2).4s	b 4P	5/2	0.141902824
3d4.(3F2).4s	b 4F	3/2	0.14274817
3d4.(3F2).4s	b 4F	5/2	0.14296743
3d4.(3F2).4s	b 4F	7/2	0.143289718
3d4.(3F2).4s	b 4F	9/2	0.143714004
3d3.(4F).4s.4p.(3P*)	z 6G*	3/2	0.14909686
3d3.(4F).4s.4p.(3P*)	z 6G*	5/2	0.14990229
3d3.(4F).4s.4p.(3P*)	z 6G*	7/2	0.15102099
3d3.(4F).4s.4p.(3P*)	z 6G*	9/2	0.15244407
3d3.(4F).4s.4p.(3P*)	z 6G*	11/2	0.15416096099999999
3d4.(3G).4s	a 4G	5/2	0.155415903
3d4.(3G).4s	a 4G	7/2	0.155981098
3d3.(4F).4s.4p.(3P*)	z 6G*	13/2	0.156159624
3d4.(3G).4s	a 4G	9/2	0.15657457
3d4.(3G).4s	a 4G	11/2	0.15712130300000002
3d3.(4F).4s.4p.(3P*)	z 6D*	1/2	0.16481132099999998
3d3.(4F).4s.4p.(3P*)	z 6F*	1/2	0.16512253699999999
3d3.(4F).4s.4p.(3P*)	z 6D*	3/2	0.16517854
3d3.(4F).4s.4p.(3P*)	z 6F*	3/2	0.16561435
3d3.(4F).4s.4p.(3P*)	z 6D*	5/2	0.16583320699999998
3d3.(4F).4s.4p.(3P*)	z 6F*	5/2	0.16638693
3d3.(4F).4s.4p.(3P*)	z 6D*	7/2	0.166782647
3d3.(4F).4s.4p.(3P*)	z 6F*	7/2	0.167422193
3d3.(4F).4s.4p.(3P*)	z 6D*	9/2	0.16801982
3d3.(4F).4s.4p.(3P*)	z 6F*	9/2	0.16870654100000002
3d3.(4F).4s.4p.(3P*)	z 6F*	11/2	0.17022532
3d4.(3P2).4s	b 2P	1/2	0.17136420600000002
3d4.(3H).4s	b 2H	9/2	0.17335517
3d4.(3F2).4s	a 2F	5/2	0.17338064
3d4.(3F2).4s	a 2F	7/2	0.173852549
3d4.(3H).4s	b 2H	11/2	0.174463426
