Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"3p6.3d7"	"4F"	"9/2"	""	"0.00000"	""	"0.00009"	"  99                                        "	"L9171"
"3p6.3d7"	"4F"	"7/2"	""	"0.01943"	""	"0.00009"	" 100                                        "	""
"3p6.3d7"	"4F"	"5/2"	""	"0.03297"	""	"0.00009"	" 100                                        "	""
"3p6.3d7"	"4F"	"3/2"	""	"0.04204"	""	"0.00009"	"  99                                        "	""
"3p6.3d7"	"4P"	"5/2"	""	"0.21374"	""	"0.00009"	"  99                                        "	""
"3p6.3d7"	"4P"	"3/2"	""	"0.21543"	""	"0.00009"	"  86             :    14  3d7          2P   "	""
"3p6.3d7"	"4P"	"1/2"	""	"0.22668"	""	"0.00009"	"  95             :     5  3d7          2P   "	""
"3p6.3d7"	"2G"	"9/2"	""	"0.23024"	""	"0.00009"	"  95             :     4  3d7          2H   "	""
"3p6.3d7"	"2G"	"7/2"	""	"0.24865"	""	"0.00009"	" 100                                        "	""
"3p6.3d7"	"2P"	"3/2"	""	"0.27685"	""	"0.00009"	"  73             :    13  3d7          4P   "	""
"3p6.3d7"	"2P"	"1/2"	""	"0.29304"	""	"0.00009"	"  95             :     5  3d7          4P   "	""
"3p6.3d7"	"2H"	"11/2"	""	"0.31043"	""	"0.00009"	" 100                                        "	""
"3p6.3d7"	"2D2"	"5/2"	""	"0.31685"	""	"0.00009"	"  76             :    23  3d7          2D1  "	""
"3p6.3d7"	"2H"	"9/2"	""	"0.32783"	""	"0.00009"	"  96             :     4  3d7          2G   "	""
"3p6.3d7"	"2D2"	"3/2"	""	"0.34544"	""	"0.00009"	"  68             :    16  3d7          2D1  "	""
"3p6.3d7"	"2F"	"5/2"	""	"0.50436"	""	"0.00009"	" 100                                        "	""
"3p6.3d7"	"2F"	"7/2"	""	"0.51156"	""	"0.00009"	" 100                                        "	""
"3p6.3d7"	"2D1"	"3/2"	""	"0.78331"	""	"0.00009"	"  80             :    20  3d7          2D1  "	""
"3p6.3d7"	"2D1"	"5/2"	""	"0.79313"	""	"0.00009"	"  76             :    23  3d7          2D1  "	""
"3d6.(5D).4p"	"6D*"	"9/2"	"["	"3.36655"	"]"	"0.00009"	"  96                                        "	""
"3d6.(5D).4p"	"6D*"	"7/2"	"["	"3.36974"	"]"	"0.00009"	"  93                                        "	""
"3d6.(5D).4p"	"6D*"	"5/2"	"["	"3.37593"	"]"	"0.00009"	"  95                                        "	""
"3d6.(5D).4p"	"6D*"	"3/2"	"["	"3.38109"	"]"	"0.00009"	"  97                                        "	""
"3d6.(5D).4p"	"6D*"	"1/2"	"["	"3.38445"	"]"	"0.00009"	"  98                                        "	""
"3d6.(5D).4p"	"6F*"	"7/2"	""	"3.44761"	""	"0.00009"	"  84             :     5  3d6.(5D).4p  4D*  "	""
"3d6.(5D).4p"	"6F*"	"5/2"	""	"3.44833"	""	"0.00009"	"  90             :     5  3d6.(5D).4p  4D*  "	""
"3d6.(5D).4p"	"6F*"	"9/2"	""	"3.44862"	""	"0.00009"	"  89             :     7  3d6.(5D).4p  4F*  "	""
"3d6.(5D).4p"	"6F*"	"3/2"	""	"3.44873"	""	"0.00009"	"  92             :     5  3d6.(5D).4p  4D*  "	""
"3d6.(5D).4p"	"6F*"	"11/2"	"["	"3.44880"	"]"	"0.00009"	"  99                                        "	""
"3d6.(5D).4p"	"6F*"	"1/2"	""	"3.44883"	""	"0.00009"	"  94             :     5  3d6.(5D).4p  4D*  "	""
"3d6.(5D).4p"	"6P*"	"7/2"	""	"3.47136"	""	"0.00009"	"  71             :    15  3d6.(5D).4p  4D*  "	""
"3d6.(5D).4p"	"6P*"	"5/2"	""	"3.49414"	""	"0.00009"	"  74             :    18  3d6.(5D).4p  4D*  "	""
"3d6.(5D).4p"	"4D*"	"7/2"	""	"3.49768"	""	"0.00009"	"  74             :    21  3d6.(5D).4p  6P*  "	""
"3d6.(5D).4p"	"4F*"	"9/2"	""	"3.50546"	""	"0.00009"	"  90             :     8  3d6.(5D).4p  6F*  "	""
"3d6.(5D).4p"	"4D*"	"5/2"	""	"3.50765"	""	"0.00009"	"  71             :    22  3d6.(5D).4p  6P*  "	""
"3d6.(5D).4p"	"6P*"	"3/2"	""	"3.50955"	""	"0.00009"	"  76             :    18  3d6.(5D).4p  4D*  "	""
"3d6.(5D).4p"	"4D*"	"3/2"	""	"3.51439"	""	"0.00009"	"  71             :    21  3d6.(5D).4p  6P*  "	""
"3d6.(5D).4p"	"4D*"	"1/2"	""	"3.51735"	""	"0.00009"	"  89             :     5  3d6.(5D).4p  6F*  "	""
"3d6.(5D).4p"	"4F*"	"7/2"	""	"3.52349"	""	"0.00009"	"  92             :     6  3d6.(5D).4p  6F*  "	""
"3d6.(5D).4p"	"4F*"	"5/2"	""	"3.53545"	""	"0.00009"	"  94                                        "	""
"3d6.(5D).4p"	"4F*"	"3/2"	""	"3.54350"	""	"0.00009"	"  96                                        "	""
"3d6.(5D).4p"	"4P*"	"5/2"	""	"3.55860"	""	"0.00009"	"  95                                        "	""
"3d6.(5D).4p"	"4P*"	"3/2"	""	"3.57053"	""	"0.00009"	"  96                                        "	""
"3d6.(5D).4p"	"4P*"	"1/2"	""	"3.57636"	""	"0.00009"	"  97                                        "	""
"3d6.(3P2).4p"	"4P*"	"3/2"	""	"3.69384"	""	"0.00009"	"  21             :    19  3d6.(3P1).4p 4P*  "	""
"3d6.(3H).4p"	"4G*"	"11/2"	""	"3.70860"	""	"0.00009"	"  69             :    17  3d6.(3F2).4p 4G*  "	""
"3d6.(3H).4p"	"4G*"	"9/2"	""	"3.71350"	""	"0.00009"	"  37             :    25  3d6.(3F2).4p 4G*  "	""
"3d6.4p"	"*"	"5/2"	""	"3.71541"	""	"0.00009"	"  19  4P*        :    17  3d6.(3P1).4p 4P*  "	""
"3d6.4p"	"*"	"7/2"	""	"3.71768"	""	"0.00009"	"  19  4G*        :    13  3d6.(3H).4p  4H*  "	""
"3d6.(3H).4p"	"4I*"	"11/2"	""	"3.71805"	""	"0.00009"	"  48             :    32  3d6.(3H).4p  4H*  "	""
"3d6.(3H).4p"	"4I*"	"13/2"	""	"3.71846"	""	"0.00009"	"  45             :    36  3d6.(3H).4p  4H*  "	""
"3d6.4p"	"*"	"9/2"	""	"3.71864"	""	"0.00009"	"  34  4H*        :    31  3d6.(3H).4p  4I*  "	""
"3d6.(3H).4p"	"4G*"	"7/2"	""	"3.71966"	""	"0.00009"	"  30             :    17  3d6.(3F2).4p 4G*  "	""
"3d6.(3F2).4p"	"4G*"	"5/2"	""	"3.72197"	""	"0.00009"	"  42             :    34  3d6.(3H).4p  4G*  "	""
"3d6.(3H).4p"	"4I*"	"9/2"	""	"3.73693"	""	"0.00009"	"  46             :    18  3d6.(3H).4p  2G*  "	""
"3d6.4p"	"*"	"7/2"	""	"3.73858"	""	"0.00009"	"  21  4H*        :    18  3d6.(3F2).4p 4D*  "	""
"3d6.(3F2).4p"	"4F*"	"5/2"	""	"3.74119"	""	"0.00009"	"  45             :    14  3d6.(3F1).4p 4F*  "	""
"3d6.4p"	"*"	"5/2"	""	"3.74300"	""	"0.00009"	"  27  2D*        :    23  3d6.(3P2).4p 4P*  "	""
"3d6.(3F2).4p"	"4F*"	"3/2"	""	"3.74461"	""	"0.00009"	"  43             :    13  3d6.(3F1).4p 4F*  "	""
"3d6.4p"	"*"	"3/2"	""	"3.74586"	""	"0.00009"	"  21  4D*        :    16  3d6.(3P2).4p 4F*  "	""
"3d6.(3F2).4p"	"4F*"	"9/2"	""	"3.74998"	""	"0.00009"	"  38             :    14  3d6.(3F1).4p 4F*  "	""
"3d6.(3H).4p"	"4I*"	"11/2"	""	"3.75039"	""	"0.00009"	"  43             :    39  3d6.(3H).4p  4H*  "	""
"3d6.(3P2).4p"	"4D*"	"7/2"	""	"3.75190"	""	"0.00009"	"  49             :    25  3d6.(3P1).4p 4D*  "	""
"3d6.(3H).4p"	"4H*"	"13/2"	""	"3.75282"	""	"0.00009"	"  52             :    34  3d6.(3H).4p  4I*  "	""
"3d6.4p"	"*"	"9/2"	""	"3.75582"	""	"0.00009"	"  28  4H*        :    23  3d6.(3H).4p  2G*  "	""
"3d6.4p"	"*"	"7/2"	""	"3.75602"	""	"0.00009"	"  21  4F*        :    19  3d6.(3H).4p  2G*  "	""
"3d6.4p"	"*"	"7/2"	""	"3.76433"	""	"0.00009"	"  38  4D*        :    11  3d6.(3H).4p  2G*  "	""
"3d6.(3P2).4p"	"4D*"	"1/2"	""	"3.76926"	""	"0.00009"	"  54             :    23  3d6.(3P1).4p 4D*  "	""
"3d6.(3F2).4p"	"4D*"	"5/2"	""	"3.77133"	""	"0.00009"	"  49             :    11  3d6.(3F2).4p 4F*  "	""
"3d6.(3H).4p"	"2I*"	"13/2"	""	"3.77139"	""	"0.00009"	"  75             :    19  3d6.(3H).4p  4I*  "	""
"3d6.4p"	"*"	"3/2"	""	"3.77359"	""	"0.00009"	"  19  4P*        :    17  3d6.(3P1).4p 4P*  "	""
"3d6.(3F2).4p"	"4D*"	"3/2"	""	"3.77769"	""	"0.00009"	"  57             :    12  3d6.(3D).4p  4D*  "	""
"3d6.(3F2).4p"	"4D*"	"1/2"	""	"3.78097"	""	"0.00009"	"  61             :    13  3d6.(3D).4p  4D*  "	""
"3d6.(3H).4p"	"2I*"	"11/2"	""	"3.78155"	""	"0.00009"	"  67             :     8  3d6.(3F2).4p 4G*  "	""
"3d6.(3P2).4p"	"4D*"	"5/2"	""	"3.78479"	""	"0.00009"	"  39             :    17  3d6.(3P1).4p 4D*  "	""
"3d6.4p"	"*"	"3/2"	""	"3.78540"	""	"0.00009"	"  22  4D*        :    16  3d6.(3P2).4p 2D*  "	""
"3d6.(3F2).4p"	"4G*"	"9/2"	""	"3.78785"	""	"0.00009"	"  28             :    12  3d6.(3H).4p  4G*  "	""
"3d6.4p"	"*"	"5/2"	""	"3.78844"	""	"0.00009"	"  20  2F*        :    17  3d6.(3G).4p  4G*  "	""
"3d6.(3F2).4p"	"4G*"	"7/2"	""	"3.79008"	""	"0.00009"	"  26             :    14  3d6.(3H).4p  4G*  "	""
"3d6.(3F2).4p"	"4G*"	"11/2"	""	"3.79316"	""	"0.00009"	"  47             :    17  3d6.(3H).4p  2I*  "	""
"3d6.(3G).4p"	"4F*"	"9/2"	""	"3.79452"	""	"0.00009"	"  49             :    25  3d6.(3G).4p  4G*  "	""
"3d6.4p"	"*"	"11/2"	""	"3.80110"	""	"0.00009"	"  31  2H*        :    21  3d6.(3G).4p  4G*  "	""
"3d6.4p"	"*"	"7/2"	""	"3.80622"	""	"0.00009"	"  16  4F*        :    11  3d6.(3F2).4p 2F*  "	""
"3d6.4p"	"*"	"7/2"	""	"3.80693"	""	"0.00009"	"  29  4F*        :    20  3d6.(3G).4p  4G*  "	""
"3d6.(3H).4p"	"4G*"	"5/2"	""	"3.80808"	""	"0.00009"	"  30             :    13  3d6.(3F2).4p 4G*  "	""
"3d6.4p"	"*"	"1/2"	""	"3.80905"	""	"0.00009"	"  27  2S*        :    23  3d6.(3P2).4p 2P*  "	""
"3d6.4p"	"*"	"9/2"	""	"3.80929"	""	"0.00009"	"  27  2H*        :    14  3d6.(3F2).4p 2G*  "	""
"3d6.(3G).4p"	"4G*"	"11/2"	""	"3.81769"	""	"0.00009"	"  44             :    17  3d6.(3H).4p  4G*  "	""
"3d6.4p"	"*"	"5/2"	""	"3.81929"	""	"0.00009"	"  34  4F*        :    17  3d6.(3G).4p  4G*  "	""
"3d6.(3P2).4p"	"2P*"	"3/2"	""	"3.81986"	""	"0.00009"	"  38             :    25  3d6.(3P1).4p 2P*  "	""
"3d6.4p"	"*"	"9/2"	""	"3.82235"	""	"0.00009"	"  27  2G*        :    14  3d6.(3G).4p  4G*  "	""
"3d6.(3F2).4p"	"2G*"	"7/2"	""	"3.82642"	""	"0.00009"	"  51             :    11  3d6.(3F1).4p 2G*  "	""
"3d6.4p"	"*"	"9/2"	""	"3.82650"	""	"0.00009"	"  28  4G*        :    20  3d6.(3H).4p  2H*  "	""
"3d6.4p"	"*"	"7/2"	""	"3.82921"	""	"0.00009"	"  33  4G*        :    20  3d6.(3G).4p  4F*  "	""
"3d6.(3G).4p"	"4F*"	"3/2"	""	"3.82987"	""	"0.00009"	"  49             :    15  3d6.(3D).4p  4F*  "	""
"3d6.(3G).4p"	"4G*"	"5/2"	""	"3.83198"	""	"0.00009"	"  40             :    23  3d6.(3G).4p  4F*  "	""
"3d6.(3G).4p"	"4H*"	"13/2"	""	"3.83306"	""	"0.00009"	"  83             :    11  3d6.(3H).4p  4H*  "	""
"3d6.(3P2).4p"	"2S*"	"1/2"	""	"3.83399"	""	"0.00009"	"  43             :    16  3d6.(3P1).4p 2S*  "	""
"3d6.(3G).4p"	"4H*"	"7/2"	""	"3.83414"	""	"0.00009"	"  50             :    13  3d6.(3F2).4p 2G*  "	""
"3d6.(3G).4p"	"4H*"	"11/2"	""	"3.83497"	""	"0.00009"	"  66             :    12  3d6.(3H).4p  2H*  "	""
"3d6.(3G).4p"	"4H*"	"9/2"	""	"3.83523"	""	"0.00009"	"  61             :    10  3d6.(3G).4p  4G*  "	""
