Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3d10.4s2"	"1S"	"0"	" 0.000000000"	"0.000000017"	""	"  97                        "	"L9171"
"3d10.4s.4p"	"3P*"	"0"	" 0.294442391"	"0.000000009"	""	"  98                        "	"L9761"
"3d10.4s.4p"	"3P*"	"1"	" 0.296174540"	"0.0000"	"1.496"	"  98                        "	"L9761"
"3d10.4s.4p"	"3P*"	"2"	" 0.299718710"	"0.000000008"	"1.505"	"  98                        "	"L9761"
"3d10.4s.4p"	"1P*"	"1"	" 0.425975457"	"0.000000022"	""	"  95                        "	"L9761"
"3d10.4s.5s"	"3S"	"1"	" 0.489097437"	"0.000000007"	"2.001"	" 100                        "	"L9761"
"3d10.4s.5s"	"1S"	"0"	" 0.50838874"	"0.00000003"	""	"  98                        "	"L9761,L4741"
"3d10.4s.5p"	"3P*"	"0"	" 0.55813162"	"0.00000005"	""	"  99                        "	"L4741,L18676"
"3d10.4s.5p"	"3P*"	"1"	" 0.55837359"	"0.00000004"	""	"  99                        "	"L4741"
"3d10.4s.5p"	"3P*"	"2"	" 0.55888778"	"0.00000003"	""	"  99                        "	"L4741,L18676"
"3d10.4s.4d"	"1D"	"2"	" 0.569164025"	"0.000000024"	""	"  95                        "	"L9761"
"3d10.4s.4d"	"3D"	"1"	" 0.571990902"	"0.000000012"	""	" 100                        "	"L9761"
"3d10.4s.4d"	"3D"	"2"	" 0.572020684"	"0.000000014"	""	" 100                        "	"L9761"
"3d10.4s.4d"	"3D"	"3"	" 0.572065942"	"0.000000019"	""	" 100                        "	"L9761"
"3d10.4s.5p"	"1P*"	"1"	" 0.57328207"	"0.00000006"	""	"  95                        "	"L18676"
"3d10.4s.6s"	"3S"	"1"	" 0.596262887"	"0.000000022"	""	" 100                        "	"L9761,L18676"
"3d10.4s.6s"	"1S"	"0"	" 0.601779494"	"0.00000003"	""	"  97                        "	"L9761"
"3d10.4s.6p"	"3P*"	"0"	" 0.62030752"	"0.00000007"	""	" 100                        "	"L18676"
"3d10.4s.6p"	"3P*"	"1"	" 0.62039706"	"0.00000007"	""	"  99                        "	"L18676"
"3d10.4s.6p"	"3P*"	"2"	" 0.62058949"	"0.00000006"	""	" 100                        "	"L18676"
"3d10.4s.5d"	"1D"	"2"	" 0.622746446"	"0.000000024"	""	"  96                        "	"L9761"
"3d10.4s.5d"	"3D"	"1"	" 0.624939105"	"0.000000013"	""	" 100                        "	"L9761"
"3d10.4s.5d"	"3D"	"2"	" 0.624953370"	"0.000000014"	""	" 100                        "	"L9761"
"3d10.4s.5d"	"3D"	"3"	" 0.624975035"	"0.000000020"	""	" 100                        "	"L9761"
"3d10.4s.6p"	"1P*"	"1"	" 0.62519509"	"0.00000006"	""	"  97                        "	"L18676"
"3d10.4s.4f"	"3F*"	"2"	" 0.62725980"	"0.00000009"	""	" 100                        "	"L18676"
"3d10.4s.4f"	"3F*"	"3"	" 0.62726027"	"0.00000012"	""	"  95                        "	"L18676"
"3d10.4s.4f"	"3F*"	"4"	" 0.62726172"	"0.00000007"	""	" 100                        "	"L18676"
"3d10.4s.4f"	"1F*"	"3"	" 0.62726364"	"0.00000009"	""	"  95                        "	"L18676"
"3d10.4s.7s"	"3S"	"1"	" 0.635571943"	"0.000000015"	""	" 100                        "	"L9761"
"3d10.4s.7s"	"1S"	"0"	" 0.63792099"	"0.00000004"	""	"  97                        "	"L9761"
"3d10.4s.7p"	"3P*"	"0"	" 0.64679334"	"0.00000015"	""	" 100                        "	"L18676"
"3d10.4s.7p"	"3P*"	"1"	" 0.64683650"	"0.00000008"	""	" 100                        "	"L18676"
"3d10.4s.7p"	"3P*"	"2"	" 0.64692947"	"0.00000010"	""	" 100                        "	"L18676"
"3d10.4s.6d"	"1D"	"2"	" 0.64746472"	"0.00000009"	""	"  97                        "	"L18676"
"3d10.4s.6d"	"3D"	"1"	" 0.648932750"	"0.000000015"	""	" 100                        "	"L9761"
"3d10.4s.6d"	"3D"	"2"	" 0.648940371"	"0.000000014"	""	" 100                        "	"L9761"
"3d10.4s.6d"	"3D"	"3"	" 0.648951932"	"0.000000019"	""	" 100                        "	"L9761"
"3d10.4s.7p"	"1P*"	"1"	" 0.64899523"	"0.00000007"	""	"  97                        "	"L4741"
"3d10.4s.5f"	"3F*"	"2"	" 0.65006005"	"0.00000014"	""	" 100                        "	"L18676"
"3d10.4s.5f"	"3F*"	"3"	" 0.65006021"	"0.00000010"	""	"  95                        "	"L18676"
"3d10.4s.5f"	"3F*"	"4"	" 0.65006129"	"0.00000012"	""	" 100                        "	"L18676"
"3d10.4s.5f"	"1F*"	"3"	" 0.65006261"	"0.00000005"	""	"  95                        "	"L4741"
"3d10.4s.5g"	"1G"	"4"	" 0.65036437"	"0.00000010"	""	"  72                        "	"L18676"
"3d10.4s.5g"	"3G"	"3"	" 0.65036437"	"0.00000009"	""	" 100                        "	"L18676"
"3d10.4s.5g"	"3G"	"4"	" 0.65036437"	"0.00000011"	""	"  72                        "	"L18676"
"3d10.4s.5g"	"3G"	"5"	" 0.65036437"	"0.00000011"	""	" 100                        "	"L18676"
"3d10.4s.8s"	"3S"	"1"	" 0.654502"	"0.000005"	""	" 100                        "	"L3428"
"3d10.4s.8s"	"1S"	"0"	" 0.6557134"	"0.0000019"	""	"  97                        "	"L3284"
"3d10.4s.8p"	"3P*"	"0"	" 0.6606303"	"0.0000015"	""	" 100                        "	"L3284,L18491"
"3d10.4s.8p"	"3P*"	"1"	" 0.6606575"	"0.0000010"	""	" 100                        "	"L3641,L3284"
"3d10.4s.8p"	"3P*"	"2"	" 0.6607065"	"0.0000014"	""	" 100                        "	"L18491,L3284"
"3d10.4s.7d"	"1D"	"2"	" 0.6608235"	"0.0000015"	""	"  97                        "	"L3641"
"3d10.4s.7d"	"3D"	"1"	" 0.661817"	"0.000006"	""	" 100                        "	"L3428"
"3d10.4s.7d"	"3D"	"2"	" 0.661817"	"0.000006"	""	" 100                        "	"L3428"
"3d10.4s.8p"	"1P*"	"1"	" 0.6618199"	"0.0000015"	""	"  98                        "	"L3641"
"3d10.4s.7d"	"3D"	"3"	" 0.6618264"	"0.000003"	""	" 100                        "	"L3284"
"3d10.4s.6f"	"3F*"	"2"	" 0.6624381"	"0.0000018"	""	" 100                        "	"L18491"
