ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"29.416"	"2g*"	"1.29e+10"	"3.34e-03"	C+	"0.00000"	"30.979"	"1s2.2s"	"2S"	"1/2"	"1s2.9p"	"2P*"	"3/2"		"T5118c4,LS"	"L695"	
"29.416"	"2g*"	"1.29e+10"	"1.67e-03"	C+	"0.00000"	"30.979"	"1s2.2s"	"2S"	"1/2"	"1s2.9p"	"2P*"	"1/2"		"T5118c4,LS"	"L695"	
"29.793"	"3g*"	"1.83e+10"	"2.44e-03"	B	"0.00000"	"30.587"	"1s2.2s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"1/2"		"T5118c4,LS"	"L695"	
"29.793"	"3g*"	"1.83e+10"	"4.88e-03"	B	"0.00000"	"30.587"	"1s2.2s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"3/2"		"T5118c4,LS"	"L695"	
"30.376"	"4g*"	"2.73e+10"	"7.55e-03"	B	"0.00000"	"30.000"	"1s2.2s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"3/2"		"T5331"	"L695"	
"30.376"	"4g*"	"2.75e+10"	"3.80e-03"	B	"0.00000"	"30.000"	"1s2.2s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"1/2"		"T5331"	"L695"	
"31.313"	"5g*"	"4.32e+10"	"1.27e-02"	A	"0.00000"	"29.102"	"1s2.2s"	"2S"	"1/2"	"1s2.6p"	"2P*"	"3/2"		"T5331"	"L695"	
"31.313"	"5g*"	"4.36e+10"	"6.40e-03"	A	"0.00000"	"29.102"	"1s2.2s"	"2S"	"1/2"	"1s2.6p"	"2P*"	"1/2"		"T5331"	"L695"	
"31.426"	"1"	"2.71e+10"	"8.02e-03"	B	"1.60400"	"30.601"	"1s2.2p"	"2P*"	"1/2"	"1s2.8d"	"2D"	"3/2"		"T5118c4,LS"	"L695"	
"31.483"	"2"	"3.23e+10"	"7.20e-03"	B+	"1.65676"	"30.601"	"1s2.2p"	"2P*"	"3/2"	"1s2.8d"	"2D"	"5/2"		"T5118c4,LS"	"L695"	
"31.483"	""	"5.38e+09"	"8.00e-04"	C+	"1.65676"	"30.601"	"1s2.2p"	"2P*"	"3/2"	"1s2.8d"	"2D"	"3/2"		"T5118c4,LS"	""	
"32.069"	"2"	"4.16e+10"	"1.28e-02"	B	"1.60400"	"30.020"	"1s2.2p"	"2P*"	"1/2"	"1s2.7d"	"2D"	"3/2"		"T5331"	"L695"	
"32.129"	"3"	"4.96e+10"	"1.15e-02"	B+	"1.65676"	"30.020"	"1s2.2p"	"2P*"	"3/2"	"1s2.7d"	"2D"	"5/2"		"T5331"	"L695"	
"32.129"	""	"8.25e+09"	"1.28e-03"	B	"1.65676"	"30.020"	"1s2.2p"	"2P*"	"3/2"	"1s2.7d"	"2D"	"3/2"		"T5331"	""	
"33.0066"	"9g*"	"7.49e+10"	"2.45e-02"	A	"0.00000"	"27.609"	"1s2.2s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"3/2"		"T7164,T5331,T5593"	"L695"	
"33.0066"	"9g*"	"7.50e+10"	"1.22e-02"	A	"0.00000"	"27.609"	"1s2.2s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"1/2"		"T7164,T5331,T5593"	"L695"	
"33.108"	"3"	"6.82e+10"	"2.24e-02"	A	"1.60400"	"29.128"	"1s2.2p"	"2P*"	"1/2"	"1s2.6d"	"2D"	"3/2"		"T5331"	"L695"	
"33.172"	""	"1.36e+10"	"2.24e-03"	B+	"1.65676"	"29.128"	"1s2.2p"	"2P*"	"3/2"	"1s2.6d"	"2D"	"3/2"		"T5331"	""	
"33.172"	"5"	"8.14e+10"	"2.01e-02"	A	"1.65676"	"29.128"	"1s2.2p"	"2P*"	"3/2"	"1s2.6d"	"2D"	"5/2"		"T5331"	"L695"	
"34.9976"	"9"	"1.27e+11"	"4.65e-02"	A+	"1.60400"	"[27.6420]"	"1s2.2p"	"2P*"	"1/2"	"1s2.5d"	"2D"	"3/2"		"T7164,T5331,T5593"	"L695"	
"35.0673"	"10"	"1.49e+11"	"4.11e-02"	A+	"1.65676"	"[27.6430]"	"1s2.2p"	"2P*"	"3/2"	"1s2.5d"	"2D"	"5/2"		"T7164,T5331,T5593"	"L695"	
"35.0686"	""	"2.48e+10"	"4.56e-03"	A	"1.65676"	"[27.6420]"	"1s2.2p"	"2P*"	"3/2"	"1s2.5d"	"2D"	"3/2"		"T7164,T5331,T5593"	""	
"35.1657"	"2"	"9.13e+09"	"1.69e-03"	A	"1.60400"	"27.518"	"1s2.2p"	"2P*"	"1/2"	"1s2.5s"	"2S"	"1/2"		"T5331,T5593"	"L695"	
"35.2374"	"2"	"1.83e+10"	"1.71e-03"	A	"1.65676"	"27.518"	"1s2.2p"	"2P*"	"3/2"	"1s2.5s"	"2S"	"1/2"		"T7164,T5331,T5593"	"L695"	
